Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English)
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%87%D9%84-%D9%8A%D9%88%D8%AC%D8%AF-%D9%83%D9%88%D8%B1%D8%B3%D8%A7%D8%AA-%D9%85%D8%AC%D8%A7%D9%86%D9%8A%D9%87-%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D9%84%D8%BA%D9%87-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D9%87-%D9%88%D8%AA%D9%83%D9%88%D9%86-%D9%85%D9%81%D9%8A%D8%AF%D8%A9-%D9%88%D9%81%D8%B9%D8%A7%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9,هل يوجد كورسات مجانيه لتعليم اللغه الإنجليزية في القاهره وتكون مفيدة وفعالة في القاهرة؟,Are there free courses to teach English in Cairo that are useful and effective in Cairo?,"القاهره هي عاصمه جمهوريه مصر العربيه , و هي مدينتي التي اعيش فيها ,  و بكل اسف لا توجد مراكز كبري تقدم الكورسات المجانيه في اطار القاهره الكبري الا فيما يخص الماركز الخاصه بالجمعيات الخيريه . 
فيمكن ان تجد كورسات اللغه الانجليزيه المجانيه التي تقدمها جمعيه رساله , فهي كورسات مجربه و لي احد الاصدقاء يقوم بالتدريس فيها . 
و هناك الكورسات المجانيه من خلال مواقع الانترنت , كما و يمكنك ان تجد كورسات مجانيه في الجمعيات الدينيه الملحقه بالمساجد . ","Cairo is the capital of the Arab Republic of Egypt, and it is the city in which I live. Unfortunately, there are no major centers that offer free courses within the framework of Greater Cairo, except for centers for charitable organizations. 
You can find free English language courses offered by the Resala Association. They are proven courses and I have a friend who teaches them. 
There are free courses through websites, and you can also find free courses in religious associations attached to mosques. "
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%85%D8%A7-%D9%87%D9%8A-%D8%B9%D9%82%D9%88%D8%A8%D8%A9-%D8%A5%D8%B0%D8%A7-%D9%87%D8%B1%D8%A8%D8%AA-%D9%81%D8%AA%D8%A7%D8%A9-%D9%85%D9%86-%D8%A8%D9%8A%D8%AA-%D8%A3%D9%87%D9%84%D9%87%D8%A7-%D9%82%D8%A8%D9%84-%D8%A3%D9%88-%D8%A8%D8%B9%D8%AF-%D8%B3%D9%86-%D8%A7%D9%84%D8%B1%D8%B4%D8%AF-%D9%85%D8%B9-%D9%85%D9%86-%D8%AA%D8%AD%D8%A8-%D9%81%D9%8A-%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%AD%D8%A7%D9%84%D8%A9-%D8%A8%D9%85%D8%A7%D8%B0%D8%A7-%D9%8A%D8%AA%D8%B5%D8%B1%D9%81-%D9%85%D8%B9%D8%A7%D9%87%D8%A7-%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86,ما هي عقوبة إذا هربت فتاة من بيت أهلها قبل أو بعد سن الرشد مع من تحب في هذه الحالة بماذا يتصرف معاها القانون؟,"What is the penalty if a girl runs away from her family’s home before or after the age of majority with her loved one? In this case, what does the law do with her?","ان الهروب من البيت , لا يشكل جريمه في كافة القوانين الداخليه , فأن تلك الفعله و ان تطلبت ان يكون هناك جزاء تاديبي من الاباء , فأنها ولا شك لا تشكل جريمه تماما وفقا لأي قانون . 
الا ان ما يثار بشأن تلك الافعال , هو مدي مسئوليه من تهرب معه الفتاه , و في هذا الصدد نؤكد ان الامر يختلف بين ما ان كانت الفتاة قاصر ام بالغه لسن الرشد , حيث انها و ان كانت قد بلغت سن الرشد فلا يمكن ان يعاقب احد علي هذا . 
اما ان كانت الفتاة قاصرا , فيمكن ان يعاقب شريكها و من ساعدها علي الهرب بتهمه خطف قاصر , او المساعده علي اخفاء قاصر . ","Running away from home does not constitute a crime under all internal laws. This act, even if it requires a disciplinary penalty from the parents, certainly does not constitute a crime at all according to any law. 
However, what is raised regarding these actions is the extent of the responsibility of the person who eloped with the girl, and in this regard we confirm that the matter differs between whether the girl is a minor or has reached the age of majority, since even if she has I have reached the age of majority, so no one can be punished for this. 
But if the girl is a minor, her partner and whoever helped her escape can be punished on charges of kidnapping a minor, or helping to hide a minor. "
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%84%D9%85%D8%A7%D8%B0%D8%A7-%D9%84%D9%85-%D9%8A%D8%AA%D9%85-%D8%AA%D8%B3%D9%85%D9%8A%D8%A9-%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A8%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%81%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D9%85%D9%83%D8%A7%D9%86-%D8%A7%D9%84%D8%B9%D9%84%D9%85-%D8%A7%D9%88%D9%84%D8%A7,لماذا لم يتم تسمية وزارة التربية و التعليم بالتعليم قبل التربية فالمدرسة مكان العلم اولا؟,"Why was the Ministry of Education not named Education before Education, as the school is the place of knowledge first?","يعتبر مسمى وزارة التربية و التعليم بهذا الاسم ايمانا منها بدور المدرسة فى تربية الطلاب و تعديل سلوكياتهم و عادتهم قبل التعليم
فيمضى الطلاب معظم اوقات يومهم فى المدرسة فيجب ان يعمل المعلمون على تقويم الطلاب اخلاقيا اولا قبل التعليم لان التربية تأتى دائما فى المقدمة قبل العلم
فطالب خلوق و غير موفق دراسيا افضل من طالب متفوق يقوم بنشر العديد من سلوكياته وسط زملائه 
و بالطبع المدرسة تحرص على ان يتوافر الميزتين فى كل طالب ان يكون متفوق فى دراسته و خلوق و مهذب ..","The Ministry of Education was given this name out of its belief in the role of the school in raising students and modifying their behavior and habits before education.
Students spend most of their day in school, so teachers must work to evaluate students morally first before teaching, because education always comes first before science.
An immoral student who is not academically successful is better than an outstanding student who spreads many of his behaviors among his colleagues 
Of course, the school is keen to ensure that every student possesses the two characteristics: to be excellent in his studies and to be polite and courteous."
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%85%D8%A7-%D9%87%D9%88-%D8%A7%D9%84%D9%87%D8%AF%D9%81-%D9%85%D9%86-%D8%B3%D9%86-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5,ما هو الهدف من سن قانون التعليم الخاص؟,What is the purpose of enacting the special education law?,"اخي السائل , ان قانون التعليم الخاص , هو من القوانين الوضعيه المطبقه في العديد من الدول العربيه , و هو ناتج عن فكره الخصخصه التي تنتهجها بعض الدول العربيه , في ظل التحول من النظام الأشتراكي الي النظام الرأسمالي او النظام المختلط . 
فببساطه تقوم الدول التي كانت تحتكر منظومه التعليم بالسماح للاشخاص الخاصه بأنشاء جامعات خاصه و مدارس خاصه . 
و الفكره من سن ذلك القانون ان تلك المدارس و الجامعات تقوم بالتدريس بانظمه تعليم مستحدثه , تساعد علي انماء العمليه التعليميه برمتها , فالمتابع للعمليه التعليميه في جمهوريه مصر العربيه , يجد ان الجامعات الخاصه قد قامت بتطوير العمليه التعليميه بشكل كبير , كما و ان الجامعات الخاصه قد قامت باخراج اجيال جديده من من الاطباء و المهندسين , كما و قد قامت بتدريس مناهج تعليميه جديده كليا , فان كنت متابعا ستجد ان خريجي الجامعه الامريكيه و الجامعه الالمانيه في مصر يجدون فرص عمل افضل , و ينخرطون في بيئه العمل بشكل افضل في المجتمع , و ستجد ان هناك الجامعات الجديده التي لم يعرفها النظام التعليمي , مثل جامعة نظم المعلومات التي نشأت في بدايه عهدها كجامعه خاصه الي ان ارتأت وزاره التعليم العالي انشاء كليه لتدريس نظم المعلومات و لغات البرمجه و الحاسب الالي . 
و اما عن الهدف من سن القانون , فهو يكمن في تنظيم عمليه انشاء الجامعات الخاصه و المدارس الخاصه , و امكانيه الرقابه عليها , و توفيق اوضاعها , و تحديد طريقه التدريس فيها , و طريقه تعاملها مع وزارتي التربيه و التعليم ووزاره التعليم العالي . ","My brother questioner, the private education law is one of the positive laws applied in many Arab countries, and it results from the idea of ​​privatization pursued by some Arab countries, in light of the transition from the socialist system to the capitalist system or the mixed system. 
Simply, the countries that used to monopolize the education system allow private individuals to establish private universities and private schools. 
The idea behind enacting this law is that these schools and universities teach using modern educational systems that help develop the entire educational process. Anyone who follows the educational process in the Arab Republic of Egypt will find that private universities have developed the educational process. In a significant way, private universities have produced new generations of doctors and engineers, and have taught completely new educational curricula. If you are following, you will find that graduates of the American University and the German University in Egypt find better job opportunities and are engaged in The work environment is better in society, and you will find that there are new universities that the educational system did not know about, such as the University of Information Systems, which was established at the beginning of its era as a private university until the Ministry of Higher Education decided to establish a college to teach information systems, programming languages, and computers. 
As for the goal of enacting the law, it lies in organizing the process of establishing private universities and private schools, and the possibility of monitoring them, reconciling their conditions, determining the method of teaching in them, and the way they deal with the Ministries of Education. And Education and the Ministry of Higher Education. "
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%84%D9%85%D8%A7%D8%B0%D8%A7-%D9%84%D8%A7-%D9%8A%D9%88%D8%AC%D8%AF-%D9%85%D8%B7%D8%A7%D8%B1-%D9%81%D9%8A-%D9%85%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D8%B1%D9%85%D8%A9,لماذا لا يوجد مطار في مكة المكرمة؟,Why is there no airport in Mecca?,"يوجد مجموعة من الأسباب المختلفة المُتوقع أن تكون واحدة منها هي السبب لعدم وجود مطار في مكة المكرمة:
 
أولًا: بسبب قوة الجذب المغناطيسي التي تقع في منطقة مكة المكرمة
 التي تؤثر على طبقات الهواء الموجودة فوق المنطقة؛ مما يجعل من المستحيل على شيء أن يحلق فوقها، ولذلك لا يوجد مطار في مكة المكرمة.
تُعتبر الكعبة المشرفة مركز الأرض؛ بحيث تقع في المنتصف وليس بها أي ميلان أو انحراف، وهي أول نقطة تستقبل شروق الشمس، وبناءً عليه فهي تقوم بجذب الشحنات المغناطيسية للمنطقة التي توجد بها؛ وهي مكة المكرمة.
وبناءً عليه ينتج فراغ هوائي لأعلى طبقات الجو العليا مما يجعل من المستحيل التحليق فوقها، كما أن الخرائط الملاحية أشارت لوجود مثلث فوق منطقة الكعبة، يُمنع على أي طائرة التحليق فوقه، ولذلك لم يتم بناء مطار في مكة المكرمة.

ثانيًا: وجود مكة المكرمة في منطقة جبلية
تقع مكة المكرمة بين حزام جبال السروات، وذلك يُحدث صدى صوتي مرتفع للغاية إذا ما حلّقت الطائرات حولها، وهذا قد يؤثر على المسلمين القادمين لأداء مناسك الحج والعمرة، وقد يُشتت تركيزهم وتتأثر سكينتهم، ولذلك تمنع الطائرات من التحليق فوقها.
 
ثالثًا: قدسية الكعبة المشرفة
يُمنع غير المسلمين من دخول الحرم المكي والمناطق المقدسة، وكما يُمنع أي شيء قد يؤثر على سكينتها وأمانها، ولذلك يُعتقد أنّ جعل مكة مسارًا للطائرات، وبناء مطار بها والدخول في دوامة صعود وهبوط الطائرات يُعتبر تدنيسًا لقدسية المكان.
وهناك أقوال تقول أن الطيور والطائرات لا تحلق رأسيًا أعلى الكعبة، لأنّ البيت المعمور يقع في السماء فوق الكعبة مباشرة، وهو البيت الذي تطوف حوله الملائكة، وبناءً عليه لا يمكن للطيور والطائرات التحليق فوق الكعبة.
علمًا أنّه لا يوجد في الدين الإسلامي ما يمنع تحليق الطائرات فوق مكة. ","There are a number of different reasons, one of which is expected to be the reason for the lack of an airport in Mecca:
 
First: due to the force of magnetic attraction that is located in the Mecca region,
  which affects the air layers above the region; Which makes it impossible for anything to fly over it, and therefore there is no airport in Mecca.
The Holy Kaaba is considered the center of the earth. It is located in the middle and does not have any tilt or deviation. It is the first point that receives the sunrise, and accordingly it attracts magnetic charges to the area in which it is located. It is Mecca.
Accordingly, an air vacuum is produced in the upper layers of the atmosphere, which makes it impossible to fly over them. Also, navigational charts indicated the presence of a triangle above the Kaaba area, over which it is forbidden for any plane to fly, and therefore no airport was built in Mecca.

Second: The presence of Mecca in a mountainous area.
Mecca is located between the Sarawat mountain belt, and this creates a very loud sound echo if planes fly around it. This may affect Muslims coming to perform Hajj and Umrah rituals, and their concentration may be distracted and their tranquility affected, and therefore planes are prevented from flying. above it.
 
Third: The sanctity of the Holy Kaaba.
Non-Muslims are prohibited from entering the Holy Mosque in Mecca and the holy areas, and anything that might affect its tranquility and safety is prohibited. Therefore, it is believed that making Mecca a path for aircraft, building an airport there, and entering into the whirlpool of planes ascending and descending is considered a desecration of the sanctity of the place.
There are sayings that say that birds and planes do not fly vertically above the Kaaba, because Al-Bayt Al-Ma’mur is located in the sky directly above the Kaaba, and it is the house around which the angels circumambulate, and accordingly, birds and planes cannot fly above the Kaaba.
Note that there is nothing in the Islamic religion that prevents airplanes from flying over Mecca. "
Arabic,Ujeeb,Author,https://ujeeb.com/%D8%A8%D9%85%D8%A7%D8%B0%D8%A7-%D8%AA%D8%AE%D8%AA%D9%84%D9%81-%D8%B9%D9%82%D9%88%D8%A8%D8%A9-%D8%AC%D8%B1%D8%A7%D8%A6%D9%85-%D8%A7%D9%84%D8%B4%D8%B1%D9%81-%D8%B9%D9%86-%D8%B9%D9%82%D9%88%D8%A8%D8%A9-%D8%AC%D8%B1%D8%A7%D8%A6%D9%85-%D8%A7%D9%84%D9%82%D8%AA%D9%84-%D8%A7%D9%84%D8%B9%D9%85%D8%AF,بماذا تختلف عقوبة جرائم الشرف عن عقوبة جرائم القتل العمد؟,How does the punishment for honor crimes differ from the punishment for premeditated murder?,"ان جرائم الشرف , او جرائم المساس بالشرف , هي من الجرائم التي تحتمل وجود عقوبه مغلظه من وجهة نظر القانون , و جريمه القتل العمد , انما هي جريمه تكون عقوبتها اكبر و اشد العقوبات , فهي تتراوح بين كلا من السجن المؤبد , و السجن لمده ثلاثون عاما , و الاعدام . 
و اما عن جرائم الشرف فيمكن ايضاح بعضها فيما يلي :- 
جريمه الاغتصاب , و تلك تتراوح عقوبتها بين السجن المؤبد ,  والاعدام مثل القتل العمد , في اغلب الانظمه القانونيه العربيه 
هتك العرض , و هي جريمه قد تقع علي الذكر او الانثي علي خلاف الاغتصاب و الذي لا يقع الا علي انثي , و تلك تتراوح عقوبتها بين السجن و السجن المشدد الذي قد يصل الي خمسه عشر عاما 
جرائم الفجور و الدعاره , و تلك الجرائم هي من الجرائم الماسه بالشرف و تكون عقوبتها عباره عن الحبس بحد اقصي 3 سنوات 
جرايمه الزنا , و هي جريمه تفرض عليها التشريعات العربيه عقوبه الحبس بحد اقصي عامين 
جريمه قتل الزوجه الزانيه , و هي الجريمه التي تتم من الزوج علي زوجته او شريكها ابان الامساك بها متلبسه بالزنا , و هنا يمكن للقاضي ان يوقف تنفيذ العقوبه , او الحكم علي الزوج بعقوبه الحبس بحد اقصي عامين . ","Honour crimes, or crimes against honor, are among the crimes that carry a severe punishment from the point of view of the law, and the crime of premeditated murder is a crime whose punishment is greater and more severe, as it ranges between life imprisonment, Imprisonment for thirty years, and death. 
As for honor crimes, some of them can be explained as follows:- 
The crime of rape, the penalty for which ranges from life imprisonment to death, such as premeditated murder, in most Arab legal systems. 
Indecent assault, which is a crime that may occur against a male or a female, unlike rape, which only occurs against a female. The punishment for this ranges from imprisonment to aggravated imprisonment, which may reach fifteen years. 
Crimes of debauchery and prostitution, and these crimes are crimes against honor and their punishment is a maximum of 3 years’ imprisonment. 
The crime of adultery, which is a crime for which Arab legislation imposes a maximum penalty of two years imprisonment. 
The crime of killing an adulterous wife, which is a crime committed by a husband against his wife or her partner when he catches her red-handed in adultery. Here, the judge can stop the execution of the sentence, or sentence the husband to a maximum of two years in prison"
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%85%D8%A7-%D9%87%D9%8A-%D8%A3%D8%BA%D8%B1%D8%A8-%D8%B9%D8%A7%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%B4%D8%B9%D9%88%D8%A8-%D9%81%D9%8A-%D8%B4%D9%87%D8%B1-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%B1%D9%83,"توجد بعض العادات الغريبة في بعض الدول فعلى سبيل المثال :
في السودان يقومون بتجديد أواني المطبخ قبل قدوم رمضان
في ماليزيا تقوم الحكومة بتزيين الشوارع بالاضاءات الجميلة والملونة
في المغرب يقوم الناس بضرب النفير سبع مرات للسحور
و يمكنك أن تطلع أيضا على بعض الطقوس الخاصة بالناس في هذا الشهر  من هنا ",What are the strangest customs of people in the holy month of Ramadan?,"هناك اللعديد من العادلت التي تتبعها الشعوب في شهر رمضان وهي غير مرتبطة بتقاليد الدين الإسلامي نفسه ولكنها تعبر عن الفرحة بقدوم الشهر الكريم ، مثلاً تقوم النساء في تركيا بإطلاق الزغاريد من البيوت عند ثبوت رؤية الهلال .
و في إندونيسيا يعطى الطلاب إجازة في الإسبوع الأول من رمضان، في باكستان يقومون بزف الطفل الذي يصوم للمرة الأولى على أنه عريس ويرتدي ملابس شبيهة بملابس العريس، في ماليزيا تقوم السيدات بالطواف بين البيوت وقراءة القرآن الكريم في الفترة ما بين الإفطار والسحور، في موريتانيا يقومون بحلق رؤوسهم قبل بدء الشهر الفضيل بأيام ويقوم البعض بقراءة القرآن الكريم كاملاً في ليلة واحدة، أما في نيجيريا يمنع إفطار كل أسرة بمفردها حيث تقوم الأسر بجمع الطعام من كل منزل وترتيب موائد وتقسم منها للرجال وأخرى للنساء.
وبعيداً عن عادات الشعوب لكل منا طقوسه الخاصة التي يقوم بها فقط في رمضان.","There are many rituals that people follow in the month of Ramadan, and they are not linked to the traditions of the Islamic religion itself, but they express joy at the arrival of the holy month. For example, women in TurkeyUlrating ululations from homes when the sighting of the crescent moon is confirmed.
And in Indonesiastudents are given leave during the first week of Ramadan. InPakistanthey dress up a child who is fasting for the first time as a groom and wears clothes similar to the groom’s clothes, inMalaysia a>.Apart from people’s customs, each of us has his own rituals that he performs only in Ramadan. it is forbidden for each family to break their fast alone, as families collect food from each house and arrange tables, dividing some of it for the men and others. For women. they shave their heads days before the start of the holy month. Some people read the entire Holy Qur’an in one night, but in Nigeria Women go around houses and read the Holy Qur’an in the period between iftar and suhoor. In Mauritania"
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%83%D9%8A%D9%81-%D8%A3%D8%AA%D8%AE%D9%84%D8%B5-%D9%85%D9%86-%D9%81%D8%A7%D8%A6%D8%B6-%D8%A7%D9%84%D8%B7%D8%B9%D8%A7%D9%85-%D9%81%D9%8A-%D8%B4%D9%87%D8%B1-%D8%B1%D9%85%D8%B6%D8%A7%D9%86,كيف أتخلص من فائض الطعام في شهر رمضان؟,How do I get rid of surplus food during the month of Ramadan?,"كما بين لنا النبي عليه الصلاة والسلام بقوله:"" طعام الواحد يكفي الاثنين وطعام الاثنين يكفي الأربعة وطعام الأربعة يكفي الثمانية"". فهذا يدلل على أنه دوما طعامنا فيه فائض كبير ومضاعف وعلينا مراعاة حق الاخرين فيه، فهو رزق من الله وليس بجهدنا  تحصلنا عليه فيتوجب تغليفه واعادة ارساله للفقراء والمحتاجين، وأحيانا تهديه للأصدقاء أو تحتفظ فيه ببراد بيتك لتأكل هذا الزائد في اليوم التالي.

لكن الخطأ كل الخطأ في إتلافه إن كان لا زال صالحا للطعام او رميه بالنفايات فهذا مدعاة لمحق البركة وزوالها للابد.","As the Prophet, peace and blessings be upon him, explained to us by saying: "" The food for one is sufficient for two, the food for two is sufficient for four, and the food for four is sufficient for eight.” This indicates that there is always a large and multiplied surplus of our food, and we must respect the right of others to it, as it is a provision from God and not through our effort. We obtained it, so it must be wrapped and sent back to the poor and needy, and sometimes you give it as a gift to friends or keep it in the refrigerator of your home so that you can eat this excess the next day.

But the whole mistake is in destroying it if it is still fit for food, or throwing it in waste, as this is a reason for the destruction of the blessing and its disappearance forever."
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%84%D9%85%D8%A7%D8%B0%D8%A7-%D8%AD%D8%B1%D9%85-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%81%D8%A7%D9%84-%D8%A8%D8%B4%D9%85-%D8%A7%D9%84%D9%86%D8%B3%D9%8A%D9%85,لماذا حرم الاحتفال بشم النسيم؟,Why was it forbidden to celebrate Sham El-Nessim?,"عيد شم النسيم من الأعياد التي توارثها المصريون عن قدماء الفراعنة ويسمى أيضًا بعيد الربيع ويكون في اليوم الذي يتساوى فيه الليل مع النهار، وقد حرم  الكثير من علماء المسلمين الاحتفال بهذا العيد لاعتبارات منها:
1ـ أعياد المسلمين هما عيدين لا ثالث لهما عيد الأضحى وعيد الفطر.
2ـ هذا العيد في أصله لغير المسلمين، وعليه فلا يجوز مشاركة غير المسلمين في احتفالاتهم وطقوسهم الاحتفالية، وما في ذلك من تلوين للبيض، 
3ـ في المشاركة في طقوس الأعياد هذه مشاركة لغير المسلمين في معتقداتهم الباطلة، فاللون الأحمر مثلًا يرمز إلى ادعاء صلب المسيح، وهكذا. ","Sham El Nessim is one of the holidays that the Egyptians inherited from the ancient Pharaohs. It is also called the Spring Festival and it takes place on the day when night and day are equal. Many Muslim scholars have forbidden the celebration of this holiday for reasons including:
1- Muslim holidays are two holidays without a third, Eid al-Adha and Eid al-Fitr.
2- This holiday is originally for non-Muslims, and therefore it is not permissible for non-Muslims to participate in their celebrations and ceremonial rituals, including the coloring of eggs, < /span> 
3- In participating in these holiday rituals, non-Muslims participate in their false beliefs. The color red, for example, symbolizes the claim that Christ was crucified, and so on. "
Arabic,Ujeeb,Author,https://ujeeb.com/%D9%85%D8%A7-%D8%A3%D8%B5%D9%84-%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D8%B2%D9%8A%D8%BA,ما أصل الأمازيغ؟,What is the origin of the Amazigh?,"يعد أصل الأمازيغ الى السكان القدماء للمنطقة الشمالية من افريقيا وهم بالاصل من البربر 
وقد تأثر الأمازيغيون بالمستعمرات التي احتلت البلاد التي يسكنوها وكانوا على طول الساحل الشمالي لافريقيا وقد استحلوها مكان السكان الأصليين للمنطقة وما زالوا الى الوقت الحاضر يحتفظون بلغتهم الأمازيغية أو البربرية .","The origin of the Amazighs goes back to the ancient inhabitants of the northern region of Africa, and they are originally Berbers. 
The Amazighs were influenced by the colonies that occupied the countries they inhabited and were along the northern coast of Africa, and they took the place of the original inhabitants of the region and so on. To this day, they still maintain their Amazigh or Berber language."
