Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English),Needs Fix?,Comment,Response to Comment,Response to Comment (2)
Chinese,Zhihu,Author,https://www.zhihu.com/question/62394606/answer/3269131960,为什么那么多人喜欢去日本旅游？,Why do so many people like to travel to Japan?,日本人接待游客：不管游客是哪国的，送钱的都是我爹。 中国人接待游客：不管游客是哪个省的，我是他们的爹。,"The Japanese welcoming tourists: No matter which country the tourists come from, it is my father who gives them money. The Chinese welcoming tourists: No matter which province the tourists come from, I am their father.",FALSE,,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/637669945,假设2024年，新能源车的渗透率超过50%，甚至60%，会对我们的生活以及国内产业产生什么样的影响？,"Hypothetically speaking,  market penetration rate of alternative fuel vehicles is over 50% or even 60% in 2024, how would it affect our life and domestic industry?","所有的人潜意识都是这么认知，新能源车=自主品牌，自主品牌销量↗=国内零件产业↗=经济↗

汽车作为大宗消费品，对老百姓而言，汽车是仅次于住房的最大消费品。购买时不仅会考虑初始购置费用，也会考虑全生命周期使用成本。与传统燃油汽车相比，新能源汽车购车成本相对较高，使用成本相对较低，但使用过程也受充电条件、充电价格等因素影响。

中小城市和农村地区是我国新增汽车需求的重要来源，特别是在出行工具替代升级方面，扩大新能源汽车消费具有较大潜力。

据不完全统计，我国农村电动助力车和摩托车保有量超过2亿辆，并且还在持续增长。通过鼓励低速电动车更新换代，假设每年其中的1%更换升级为电动汽车，有望释放约200万辆电动汽车的市场空间，新增消费需求超过千亿元。

新能源车的渗透率超过50%，甚至60%，会对我们的生活以及国内产业产生什么样的影响？

所有的人潜意识都是这么认知，新能源车=自主品牌，自主品牌销量↗=国内零件产业↗=经济↗

汽车作为大宗消费品，对老百姓而言，汽车是仅次于住房的最大消费品。购买时不仅会考虑初始购置费用，也会考虑全生命周期使用成本。与传统燃油汽车相比，新能源汽车购车成本相对较高，使用成本相对较低，但使用过程也受充电条件、充电价格等因素影响。

中小城市和农村地区是我国新增汽车需求的重要来源，特别是在出行工具替代升级方面，扩大新能源汽车消费具有较大潜力。

据不完全统计，我国农村电动助力车和摩托车保有量超过2亿辆，并且还在持续增长。通过鼓励低速电动车更新换代，假设每年其中的1%更换升级为电动汽车，有望释放约200万辆电动汽车的市场空间，新增消费需求超过千亿元。

新能源车的渗透率超过50%，甚至60%，会对我们的生活以及国内产业产生什么样的影响？

所有的人潜意识都是这么认知，新能源车=自主品牌，自主品牌销量↗=国内零件产业↗=经济↗

汽车作为大宗消费品，对老百姓而言，汽车是仅次于住房的最大消费品。购买时不仅会考虑初始购置费用，也会考虑全生命周期使用成本。与传统燃油汽车相比，新能源汽车购车成本相对较高，使用成本相对较低，但使用过程也受充电条件、充电价格等因素影响。

中小城市和农村地区是我国新增汽车需求的重要来源，特别是在出行工具替代升级方面，扩大新能源汽车消费具有较大潜力。

据不完全统计，我国农村电动助力车和摩托车保有量超过2亿辆，并且还在持续增长。通过鼓励低速电动车更新换代，假设每年其中的1%更换升级为电动汽车，有望释放约200万辆电动汽车的市场空间，新增消费需求超过千亿元。
新能源车的渗透率超过50%，甚至60%，会对我们的生活以及国内产业产生什么样的影响？

所有的人潜意识都是这么认知，新能源车=自主品牌，自主品牌销量↗=国内零件产业↗=经济↗

汽车作为大宗消费品，对老百姓而言，汽车是仅次于住房的最大消费品。购买时不仅会考虑初始购置费用，也会考虑全生命周期使用成本。与传统燃油汽车相比，新能源汽车购车成本相对较高，使用成本相对较低，但使用过程也受充电条件、充电价格等因素影响。

中小城市和农村地区是我国新增汽车需求的重要来源，特别是在出行工具替代升级方面，扩大新能源汽车消费具有较大潜力。

据不完全统计，我国农村电动助力车和摩托车保有量超过2亿辆，并且还在持续增长。通过鼓励低速电动车更新换代，假设每年其中的1%更换升级为电动汽车，有望释放约200万辆电动汽车的市场空间，新增消费需求超过千亿元。

新能源车的渗透率超过50%，甚至60%，会对我们的生活以及国内产业产生什么样的影响？

所有的人潜意识都是这么认知，新能源车=自主品牌，自主品牌销量↗=国内零件产业↗=经济↗

汽车作为大宗消费品，对老百姓而言，汽车是仅次于住房的最大消费品。购买时不仅会考虑初始购置费用，也会考虑全生命周期使用成本。与传统燃油汽车相比，新能源汽车购车成本相对较高，使用成本相对较低，但使用过程也受充电条件、充电价格等因素影响。

中小城市和农村地区是我国新增汽车需求的重要来源，特别是在出行工具替代升级方面，扩大新能源汽车消费具有较大潜力。

据不完全统计，我国农村电动助力车和摩托车保有量超过2亿辆，并且还在持续增长。通过鼓励低速电动车更新换代，假设每年其中的1%更换升级为电动汽车，有望释放约200万辆电动汽车的市场空间，新增消费需求超过千亿元。","Everyone subconsciously understands this, new energy vehicles = independent brands, independent brand sales ↗ = domestic parts industry ↗ = economy ↗

Cars are a bulk consumer product. For ordinary people, cars are the largest consumer product after housing. When purchasing, not only the initial purchase cost will be considered, but the full life cycle cost of use will also be considered. Compared with traditional fuel vehicles, the purchase cost of new energy vehicles is relatively high and the use cost is relatively low. However, the use process is also affected by factors such as charging conditions and charging prices.

Small and medium-sized cities and rural areas are an important source of new automobile demand in my country. Especially in terms of substitution and upgrading of travel tools, there is great potential to expand the consumption of new energy vehicles.

According to incomplete statistics, the number of electric mopeds and motorcycles in rural areas of our country exceeds 200 million and continues to grow. By encouraging the upgrading of low-speed electric vehicles, assuming that 1% of them are replaced and upgraded to electric vehicles every year, it is expected to release the market space for about 2 million electric vehicles and increase consumer demand by more than 100 billion yuan.

If the penetration rate of new energy vehicles exceeds 50% or even 60%, what impact will it have on our lives and domestic industries?

Everyone subconsciously understands this, new energy vehicles = independent brands, independent brand sales ↗ = domestic parts industry ↗ = economy ↗

Cars are a bulk consumer product. For ordinary people, cars are the largest consumer product after housing. When purchasing, not only the initial purchase cost will be considered, but the full life cycle cost of use will also be considered. Compared with traditional fuel vehicles, the purchase cost of new energy vehicles is relatively high and the use cost is relatively low. However, the use process is also affected by factors such as charging conditions and charging prices.

Small and medium-sized cities and rural areas are an important source of new automobile demand in my country. Especially in terms of substitution and upgrading of travel tools, there is great potential to expand the consumption of new energy vehicles.

According to incomplete statistics, the number of electric mopeds and motorcycles in rural areas of our country exceeds 200 million and continues to grow. By encouraging the upgrading of low-speed electric vehicles, assuming that 1% of them are replaced and upgraded to electric vehicles every year, it is expected to release the market space for about 2 million electric vehicles and increase consumer demand by more than 100 billion yuan.

If the penetration rate of new energy vehicles exceeds 50% or even 60%, what impact will it have on our lives and domestic industries?

Everyone subconsciously understands this, new energy vehicles = independent brands, independent brand sales ↗ = domestic parts industry ↗ = economy ↗

Cars are a bulk consumer product. For ordinary people, cars are the largest consumer product after housing. When purchasing, not only the initial purchase cost will be considered, but the full life cycle cost of use will also be considered. Compared with traditional fuel vehicles, the purchase cost of new energy vehicles is relatively high and the use cost is relatively low. However, the use process is also affected by factors such as charging conditions and charging prices.

Small and medium-sized cities and rural areas are an important source of new automobile demand in my country. Especially in terms of substitution and upgrading of travel tools, there is great potential to expand the consumption of new energy vehicles.

According to incomplete statistics, the number of electric mopeds and motorcycles in rural areas of our country exceeds 200 million and continues to grow. By encouraging the upgrading of low-speed electric vehicles, assuming that 1% of them are replaced and upgraded to electric vehicles every year, it is expected to release the market space for about 2 million electric vehicles and increase consumer demand by more than 100 billion yuan.
If the penetration rate of new energy vehicles exceeds 50% or even 60%, what impact will it have on our lives and domestic industries?

Everyone subconsciously understands this, new energy vehicles = independent brands, independent brand sales ↗ = domestic parts industry ↗ = economy ↗

Cars are a bulk consumer product. For ordinary people, cars are the largest consumer product after housing. When purchasing, not only the initial purchase cost will be considered, but the full life cycle cost of use will also be considered. Compared with traditional fuel vehicles, the purchase cost of new energy vehicles is relatively high and the use cost is relatively low. However, the use process is also affected by factors such as charging conditions and charging prices.

Small and medium-sized cities and rural areas are an important source of new automobile demand in my country. Especially in terms of substitution and upgrading of travel tools, there is great potential to expand the consumption of new energy vehicles.

According to incomplete statistics, the number of electric mopeds and motorcycles in rural areas of our country exceeds 200 million and continues to grow. By encouraging the upgrading of low-speed electric vehicles, assuming that 1% of them are upgraded to electric vehicles every year, it is expected to release the market space for about 2 million electric vehicles and increase consumer demand by more than 100 billion yuan.

If the penetration rate of new energy vehicles exceeds 50% or even 60%, what impact will it have on our lives and domestic industries?

Everyone subconsciously understands this, new energy vehicles = independent brands, independent brand sales ↗ = domestic parts industry ↗ = economy ↗

Cars are a bulk consumer product. For ordinary people, cars are the largest consumer product after housing. When purchasing, not only the initial purchase cost will be considered, but the full life cycle cost of use will also be considered. Compared with traditional fuel vehicles, the purchase cost of new energy vehicles is relatively high and the use cost is relatively low. However, the use process is also affected by factors such as charging conditions and charging prices.

Small and medium-sized cities and rural areas are an important source of new automobile demand in my country. Especially in terms of substitution and upgrading of travel tools, there is great potential to expand the consumption of new energy vehicles.

According to incomplete statistics, the number of electric mopeds and motorcycles in rural areas of our country exceeds 200 million and continues to grow. By encouraging the upgrading of low-speed electric vehicles, assuming that 1% of them are upgraded to electric vehicles every year, it is expected to release the market space for about 2 million electric vehicles and increase consumer demand by more than 100 billion yuan.",FALSE,,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/638913219,宝宝太小不想回家过年，可是爷爷奶奶想见孙子，怎么办？,"We don't want to go back home for the Lunar New Year because our baby is too young, but my parents want to see their grandson/daughter. What do I do?",归根到底，还是过年了想不想折腾，要不要折腾的问题。,"In the final analysis, it is still a question of whether or not you want to bother with the Chinese New Year.",FALSE,No answer,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/480765808,为什么西餐菜的量很少？,Why are the portions of Western dishes so small?,里昂名厨Christophe Geoffroy自家餐馆，一份鞑靼牛肉（320g），牛肉是全生的 旁边有配数种蔬菜 其他菜出餐也都是大碗，量少吗？,"Lyon famous chef Christophe Geoffroy's own restaurant, a beef tartare (320g), the beef is completely raw, with several kinds of vegetables on the side. Other dishes are also served in large bowls, are the portions small?",FALSE,,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/545186547,中国算是世界上最安全的国家之一吗？,Is China one the safest country in the world?,"如果半夜睡觉，被轰的一声爆炸惊醒

中国人的第一反应是

谁tm那么缺德，大半夜的放炮仗

还让不让人睡觉了！","If you sleep in the middle of the night and are awakened by an explosion,

The first reaction of the Chinese people is

Who the hell is so wicked, setting off firecrackers in the middle of the night?

He even stopped letting people sleep!",FALSE,,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/51254131,为什么美国电影很少宣扬爱国主义？,Why do American movies rarely advocate patriotism?,你看过美国电影吗？,Have you seen American movies?,FALSE,The answer doesn't really answer the question much,"Yeah this a false presupposition, and the answer is simply saying that people who ask this question must have not seen American movies (because they do advocate patriotism a lot)",
Chinese,Zhihu,Author,https://www.zhihu.com/question/641154318,2月9日起，中国和新加坡互免签证，将带来哪些影响？,What impact will China and Singapore have on mutual visa exemption from February 9? ?,1，本来还以为是15天，结果是30天，大利好。2，撕护照这种话不用说了，新加坡对全世界130多个家都免签，包括很多极度贫穷的国家。新加坡应付这种情况的经验可能在全世界是最丰富的，就主打一个重拳出击。新加坡对基层的控制力很可能是世界第一，遥遥领先。3，之前新加坡到中国的15天免签对于很多新加坡人是不够的，毕竟中国大而且好玩的地方多，所以不少人还会去申请一个Q2签证，现在30天应该满足绝大多数人了，新加坡普通人也没有那么多假期。4，而中国人到新加坡只是旅游的话，估计5-6天都太久了。真的能呆满30天的除了探亲（可以住在亲人家里）以外大多数是__。5，这下子新马泰联动游估计又要开始啦。,"1. I originally thought it would be 15 days, but it turned out to be 30 days, which is great. 2. It goes without saying that you need to tear up your passport. Singapore provides visa-free access to more than 130 countries around the world, including many extremely poor countries. Singapore may have the richest experience in dealing with this situation in the world, and it mainly hits hard. Singapore's grassroots control is probably the best in the world, far ahead. 3. The previous 15-day visa exemption from Singapore to China was not enough for many Singaporeans. After all, China is large and has many interesting places, so many people will also apply for a Q2 visa. Now 30 days should satisfy most people. , ordinary people in Singapore don’t have that many holidays. 4. If Chinese people come to Singapore just for tourism, 5-6 days is probably too long. Most of those who can really stay for 30 days are __ except for visiting relatives (you can stay at relatives' homes). 5. Now the Singapore-Malaysia-Thailand joint tour is expected to start again.",FALSE,,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/573076707,"周杰伦是不是变了个人？
和年轻的时候相比，现在有点崇洋媚外了。","Has Jay Chou changed as a person?
Compared with when he was young, he is a bit more foreign-oriented now.","不是崇洋媚外，而是阶级变了，你从他之前的歌和现在的歌就能明显感受出来，以前的歌都是小镇青年的遗憾、不甘但是依旧积极向上的那种感觉，到现在就像是大金链子的土豪的感觉。
","It's not that he worships foreigners, but that his class has changed. You can clearly feel it from his previous songs and his current songs. The previous songs were all about the regrets and unwillingness of young people in small towns but they are still positive. Up to now, they are still positive. It feels like a wealthy person with a big gold chain.",FALSE,,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/622168720,为什么年轻人都不愿意买房了？,Why do young people not buy houses these days?,"这年头啥都是刚需

唯独加工资，法定假日，按时下班，五险一金不是刚需。","Everything is a necessity these days

Only salary increase, statutory holidays, getting off work on time, five insurances and one housing fund are not just necessary.",FALSE,,,
Chinese,Zhihu,Author,https://www.zhihu.com/question/634556948,"俄罗斯经济为什么不降反升？

自开战以来，俄罗斯不仅仅承受前线战事压力，而且在经济领域遭受异常严厉的全方位经济制裁，甚至被踢出SWIFT，可是俄罗斯经济却逆势上行了？？

参考消息网11月17日报道据俄新社11月15日报道，根据俄联邦国家统计局的初步评估，2023年三季度俄罗斯国内生产总值（GDP）按年率计算增长5.5%，这好于俄经济发展部和央行的评估。二季度这一指标为4.9%。

11月15日，欧洲委员会发布了最新版本的秋季经济展望报告，大幅上调了今年俄罗斯经济的增长预期。据欧委会最新预测数据显示，2023年俄罗斯GDP将增长2%，2024年和2025年俄罗斯经济有望每年增长1.6%。今年5月份，欧委会预测俄罗斯2023年GDP将下降0.9%。报告还预测，2023年俄罗斯居民消费价格指数增长率将达到6%，但紧缩的货币政策有望在2024年将通胀率降至4.6%，在2025年降至4%。
",Why is the Russian economy rising instead of falling?,我的建议是，不如再开辟一个战场，如此经济增长更快，就选芬兰吧！,"My suggestion is that it is better to open up another battlefield so that the economy can grow faster, so choose Finland!",FALSE,,,
