Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English)
German,Gutefrage,Author,https://www.gutefrage.net/frage/uhrzeit-warum-sagt-man-halb-4-aber-nicht-halb-16,"Uhrzeit: Warum sagt man halb 4 aber nicht halb 16?

Hallo werte Gemeinde,

das frage ich mich schon länger, finde aber keine Antwort. Google, Wikipedia etc... habe ich schon versucht. Weiß es jemand?","Time: Why do you say half past four but not half past four?

Hello dear community,

I've been wondering this for a while, but can't find an answer. I've already tried Google, Wikipedia etc... Does anyone know?","Die Antwort klingt jetzt banal, aber man macht es eben nicht so. Dafür gibt es keine wirkliche Begründung, weil Sprache im Wesentlichen auf den Konventionen ihrer Sprachgemeinschaft (d. i. die Gesamtheit aller muttersprachlichen Sprecher einer Sprache) beruht und die besagt momentan eben, dass man das nicht so macht.

Ich will damit sagen: Die Sprache kann sich hier weiterentwickeln, wenn eine genügende Anzahl von Individuen einer Sprachgemeinschaft sich entschließt, eine neue Konvention aufzustellen (in diesem Fall die Notwendigkeit ""halb 4"" auch mit ""halb 16"" zu bezeichnen, um sie eindeutig vom ""halb 4"" des frühen Morgens unterscheiden zu können).

Sollte sich die Sprache irgendwann in ferner Zukunft also dahingehend entwickeln, dass ein überwiegender Teil unserer Sprachgemeinschaft dieser Konvention folgt und anfängt ""halb 1"" mit ""halb 13"", ""halb 2"" mit ""halb 14"" usw. zu bezeichnen, so könnte diese Bezeichnung theoretisch irgendwann Teil der Standardsprache werden und als ""korrekt"" angesehen werden.

Ein Beispiel für eine (kleine) sprachliche Veränderung der letzten Jahre: Mir hat man in der Schule immer noch beigebracht, dass die korrekte Mehrzahl von ""Komma"" eben ""Kommata"" lautet und nicht anders. ""Kommas"" als Plural wurde in diesem Zusammenhang als ""falsch"" angesehen. Mittlerweile ist ""Kommas"" jedoch genauso korrekt und steht so auch im Duden. Warum? Weil einfach genügend Leute das Wort ""Kommas"" als Mehrzahl von ""Komma"" benutzt haben und auch jeder andere wusste, was damit gemeint ist. Daraus ist im Laufe der Zeit, die sprachliche Konvention entstanden, dass man die Mehrzahl von ""Komma"" auch mit ""Kommas"" bezeichnen kann.

Gruß, BerchGerch
","The answer now sounds banal, but you don't do it that way. There is no real justification for this, because language is essentially based on the conventions of its language community (i.e. the entirety of all native speakers of a language) and that currently means that you don't do it that way.

What I mean to say is that the language can evolve here if a sufficient number of individuals in a language community decide to establish a new convention (in this case the need to refer to ""half past four"" as ""half past 4"" to make it clear to be able to distinguish between ""half past four"" of the early morning).

If at some point in the distant future the language develops in such a way that a majority of our language community follows this convention and begins to refer to ""half 1"" as ""half 13"", ""half 2"" as ""half 14"", etc., then this could Theoretically, the term will eventually become part of the standard language and be considered ""correct"".

An example of a (small) linguistic change in recent years: I was still taught at school that the correct plural of ""comma"" is ""comma"" and nothing else. “Commas” as a plural were considered “wrong” in this context. However, “commas” are now just as correct and can also be found in the Duden. Why? Because enough people simply used the word “commas” as the plural of “comma” and everyone else knew what that meant. Over time, this gave rise to the linguistic convention that the plural of “comma” can also be referred to as “commas”.

Greetings, BerchGerch"
German,Gutefrage,Author,https://www.gutefrage.net/frage/warum-haben-dauerhafte-erwerbsminderungsrentner-nur-den-ueblichen-hartz4-regelsatz-zur-verfuegung,"Warum haben dauerhafte Erwerbsminderungsrentner nur den üblichen Hartz4-Regelsatz zur Verfügung?
Vor allem dauerhaft erwerbsunfähige Menschen kann man doch nicht wirklich mit noch erwerbsfähigen derart ""gleichstellen"". Sie sind oft für den Rest ihres Lebens zur Armut verdammt während ein Erwerbsfähiger sich jederzeit einen mehr oder weniger gutbezahlten Job suchen kann um sein Einkommen zu verbessern...

Ein Erwerbsunfähiger aber nunmal nicht.

Wer in jungen Jahren dauerhaft erwerbsunfähig wurde hat oft ja nicht mal wirklich ne brauchbare Rente... Also muss ohnehin noch mit Grundsicherung aufstocken. Und die entspricht dann ja dem Hartz4 Regelsatz...

Warum haben (dauerhaft) Erwerbsunfähige keinen Grundanspruch auf ein etwas höheres Einkommen (z.B. 150% des Hartz4 Regelsatzes)?

warehouse14
","Why do permanent disability pensioners only have the usual Hartz4 standard rate available?
In particular, people who are permanently unable to work cannot really be ""equated"" with those who are still able to work. They are often condemned to poverty for the rest of their lives, while someone who is able to work can always look for a more or less well-paid job to improve their income...

But not a person who is unable to work .

Those who become permanently unable to work at a young age often don't even really have a useful pension... So they have to top up with basic security anyway . And that corresponds to the Hartz4 rule set...

Why are people (permanently) unable to work not entitled to a slightly higher income (e.g. 150% of the Hartz4 standard rate )?","Hallo Warehouse14,

keine Garantie für, aber so weit ich mich erinnere berechnet sich die anhand deiner Rentenkassen einzahlungen + X, also ähnlich wie die normale Rente. Ist kein Wunder das Erwerbsminderungsrente kaum über ALG 2 kommt wenn die Leute selbst mit regulärer Rente bei 40 Jahren arbeit kaum mehr haben. Selbst bei Erwerbsminderungsrente hast du ja das selbe Problem wie bei der normalen, die Besteuerung, auch wenn die bei ALG 2 Nieau + Sozialhilfe wohl keine Rolle spielt. Erst wenn du Nebeneinkünfte hast oder mit Privater Versicherung über eine Grenze kommst kann es passieren das du Steuern zahlen musst. Klartext mit der Rente fangen die Steuererklärungen an.

Ist deine Erwerbsminderungsrente so niedrig bekommst du mit Bescheid sogar automatisch von der Rentenkasse einen Antrag auf Sozialhilfe zugeschickt.

MfG PlueschTiger

","Hello Warehouse14,

No guarantee, but as far as I remember it is calculated based on your pension fund deposits + X, so similar to the normal pension. It's no wonder that disability pensions barely exceed ALG 2 when people, even with regular pensions, barely have anything left after 40 years of work. Even with a disability pension you have the same problem as with the normal one, taxation, even if it probably doesn't play a role with ALG 2 Nieau + social assistance. You may only have to pay taxes if you have additional income or cross a border with private insurance. In plain English, tax returns begin with your pension.

If your disability pension is so low, you will automatically receive an application for social assistance from the pension fund.

Kind regards, PlushTiger"
German,Gutefrage,Author,https://www.gutefrage.net/frage/warum-werden-tiere-eingeschlaefert-aber-menschen-nicht,"Warum werden Tiere eingeschläfert aber Menschen nicht?
Wenn ein Mensch schwer krank ist , wird alles gemacht um ihm am leben zu erhalten bzw er wird nicht eingeschläfert!

Wenn aber ein Tier schwer Krank ist , wird gleich immer über einschläfern nachgedacht!

Wieso denkt unsere Gesellschaft das Tiere einfach nur ein wegwerf Produkt ist ...

Warum werden Tiere den Menschen nicht gleich gestellt....?","Why are animals euthanized but people not?
When a person is seriously ill, everything is done to keep them alive or they are not put to sleep!

But if an animal is seriously ill, euthanasia is always considered!

Why does our society think that animals are just a disposable product...

Why aren't animals treated equally to humans...?","Unser Hund Bo wurde 21,5 Jahre alt und hatte plötzlich epileptische Anfälle, die über eine Woche hinweg trotz spezieller Medikamente immer heftiger wurden. Wir entschlossen uns ihm weitere Qualen zu ersparen, da er sehr alt war und wir ihn sehr sehr gerne hatten und ihn nicht mehr leiden lassen wollten. Beim Einschläfern waren wir natürlich dabei (war bestimmt nicht leicht), streichelten ihn, sprachen liebevoll mit ihm und hatten Zeit Abschied zu nehmen. Mein Vater starb vor 5 Jahren qualvoll an Darmkrebs. Wir (die Familie) und er selbst wußten bereits 5 Monate vor seinem Tod, dass es keine Hoffnung auf Besserung mehr gab. Die letzten beiden Monate mußte mein Vater mehrmals am Tag Morphium erhalten und trotzdem hatte er starke Schmerzen, konnte kaum atmen (Metastasen in der Lunge), nichts mehr essen, mußte gewickelt werden und bat uns täglich ihn zu erlösen. Es war schrecklich für Ihn so in seiner Würde verletzt und absolut hilflos mit starken Schmerzen auf den Tot zu warten. Es war schrecklich für uns ihn so leiden zu sehen. Wieviel mehr konnten wir da für Bo tun. Sterbehilfe muss bei Menschen, die ohne Hoffnung auf Besserung an einer schmerzhaften, entwürdigenden und schließlich tödlichen Krankheit leiden, legalisiert werden.","Our dog Bo was 21.5 years old and suddenly had epileptic seizures that became more severe over a week, despite special medication. We decided to spare him further torture because he was very old and we loved him very much and didn't want to let him suffer anymore. Of course we were there when he was put to sleep (it certainly wasn't easy), we stroked him, talked to him lovingly and had time to say goodbye. My father died painfully of colon cancer 5 years ago. We (the family) and he himself knew 5 months before his death that there was no longer any hope of improvement. For the last two months my father had to receive morphine several times a day and yet he was in severe pain, could hardly breathe (metastases in the lungs), could no longer eat, had to be changed and asked us to relieve him every day. It was terrible for him to wait for death, so violated in his dignity and absolutely helpless and in great pain. It was terrible for us to see him suffer so much. How much more we could do for Bo. Euthanasia must be legalized for people suffering from a painful, degrading and ultimately fatal illness with no hope of recovery."
German,Gutefrage,Author,https://www.gutefrage.net/frage/wie-koennte-ich-zum-kaiser-deutschlands-werden,"Wie könnte ich zum Kaiser Deutschlands werden?
Wie wird man adelig? Wie könnte ich in Deutschland wieder das Kaisertum einführen? Wie könnte ich den Leuten dann helfen?","How could I become Emperor of Germany?
How do you become noble? How could I reintroduce the Empire in Germany? How could I help people then?","Das habe ich hier auch schon gefragt und teilweise auch interessante Antworten bekommen. Und trotzdem hat man die Frage gelöscht. Ein echtes Verbrechen.

Also zunächst einmal unterliegt Deutschland laut unserem Grundgesetz dem Republikprinzip.

Das bedeutet dass unter unserer Verfassung keine Monarchie eingeführt werden kann. Es darf kein Kraft Erbfolge amtierendes Staatsoberhaupt auf Lebenszeit geben.

Das bedeutet also: Auf legalem Wege geht es nicht. Du müsstest also einen Militärputsch anführen und einen Bürgerkrieg anzetteln. Außer natürlich alle stimmen mit deinen Vorstellungen überein, man löscht die Bundesrepublik und ruft freiwillig einen neuen Staat aus. Kann ja passieren.

Ansonsten wird es haarig. Deutschland hat einige Verbündete und auch sonst einige Staaten, denen es wohl lieber wäre, wenn dieses Land so bleibt wie bisher. Drüben in Amerika gibt es bestimmte Interessenten.

Wenn du Pech hast, müsstest du also auch andere Länder militärisch besiegen. Oder bestechen.

Falls du es dann geschafft haben solltest, müsstest du einige Reichsbürger und andere Monarchie Fans davon überzeugen, auf die alten Traditionen zu verzichten. Traditionell müsste das Oberhaupt des Hauses Hohenzollern der neue Kaiser werden. Laut Erbfolge wäre dies aktuell Herr Georg Friedrich Prinz von Preußen. Ich glaube er wohnt in Ritterhude.

Wenn du die Familie des Hauses Hohenzollern, sowie deren Anhänger dann besiegt hast, könnten wir eine Krönungszeremonie einführen.

Das würde auch dazu führen dass wir die Gebeine unseres letzten Kaisers, Wilhelm der II., aus den Niederlanden nach Deutschland überführen müssten. So hatte er es zumindest verfügt. Wobei es ihn gegen den Strich gehen könnte, wenn nicht seine Familie regiert.

Vielleicht solltest du vorher jemanden aus dem Hause heiraten?

Wie dem auch sei. Da ich dir gerade sehr geholfen habe, könntest du mich nicht gleich zu deinem Nachfolger ernennen? Ich habe bereits große Pläne.","I've asked that question here and gotten some interesting answers. And yet the question was deleted. A real crime.

So first of all, according to our basic law, Germany is subject to the republic principle.

This means that no monarchy can be established under our constitution. There must be no reigning head of state for life by virtue of hereditary succession.

So that means: It doesn't work legally. So you would have to lead a military coup and start a civil war. Unless, of course, everyone agrees with your ideas, you delete the Federal Republic and voluntarily declare a new state. It can happen.

Otherwise it will be hairy. Germany has some allies and also some other states that would probably prefer this country to stay as it is. Over in America there are certain interested parties.

If you are unlucky, you would also have to defeat other countries militarily. Or bribe.

If you then managed to do it, you would have to convince some Reich citizens and other monarchy fans to forego the old traditions. Traditionally, the head of the House of Hohenzollern would have to become the new emperor. According to the line of succession, this would currently be Mr. Georg Friedrich, Prince of Prussia. I think he lives in Ritterhude.

Once you have defeated the House of Hohenzollern family and their followers, we could introduce a coronation ceremony.

This would also mean that we would have to transport the remains of our last emperor, William II, from the Netherlands to Germany. At least that's what he ordered. Although it could go against his grain if his family doesn't rule.

Maybe you should marry someone in the house first?

Whatever. Since I've just helped you a lot, couldn't you just appoint me as your successor? I already have big plans."
German,Gutefrage,Author,https://www.gutefrage.net/frage/warum-nimmt-deutschland-immer-mehr-fluechtlinge-auf,Warum nimmt Deutschland immer mehr Flüchtlinge auf?,Why is Germany accepting more and more refugees?,"Weil es im GG steht.

https://www.gesetze-im-internet.de/gg/art_16a.html

(1) Politisch Verfolgte genießen Asylrecht.
(2) Auf Absatz 1 kann sich nicht berufen, wer aus einem Mitgliedstaat der Europäischen Gemeinschaften oder aus einem anderen Drittstaat einreist, in dem die Anwendung des Abkommens über die Rechtsstellung der Flüchtlinge und der Konvention zum Schutze der Menschenrechte und Grundfreiheiten sichergestellt ist. Die Staaten außerhalb der Europäischen Gemeinschaften, auf die die Voraussetzungen des Satzes 1 zutreffen, werden durch Gesetz, das der Zustimmung des Bundesrates bedarf, bestimmt. In den Fällen des Satzes 1 können aufenthaltsbeendende Maßnahmen unabhängig von einem hiergegen eingelegten Rechtsbehelf vollzogen werden.
(3) Durch Gesetz, das der Zustimmung des Bundesrates bedarf, können Staaten bestimmt werden, bei denen auf Grund der Rechtslage, der Rechtsanwendung und der allgemeinen politischen Verhältnisse gewährleistet erscheint, daß dort weder politische Verfolgung noch unmenschliche oder erniedrigende Bestrafung oder Behandlung stattfindet. Es wird vermutet, daß ein Ausländer aus einem solchen Staat nicht verfolgt wird, solange er nicht Tatsachen vorträgt, die die Annahme begründen, daß er entgegen dieser Vermutung politisch verfolgt wird.
(4) Die Vollziehung aufenthaltsbeendender Maßnahmen wird in den Fällen des Absatzes 3 und in anderen Fällen, die offensichtlich unbegründet sind oder als offensichtlich unbegründet gelten, durch das Gericht nur ausgesetzt, wenn ernstliche Zweifel an der Rechtmäßigkeit der Maßnahme bestehen; der Prüfungsumfang kann eingeschränkt werden und verspätetes Vorbringen unberücksichtigt bleiben. Das Nähere ist durch Gesetz zu bestimmen.
(5) Die Absätze 1 bis 4 stehen völkerrechtlichen Verträgen von Mitgliedstaaten der Europäischen Gemeinschaften untereinander und mit dritten Staaten nicht entgegen, die unter Beachtung der Verpflichtungen aus dem Abkommen über die Rechtsstellung der Flüchtlinge und der Konvention zum Schutze der Menschenrechte und Grundfreiheiten, deren Anwendung in den Vertragsstaaten sichergestellt sein muß, Zuständigkeitsregelungen für die Prüfung von Asylbegehren einschließlich der gegenseitigen Anerkennung von Asylentscheidungen treffen.","Because it's in the GG.

https://www.gesetze-im-internet.de/gg/art_16a.html

(1) Politically persecuted persons enjoy the right to asylum.
(2) Paragraph 1 cannot be invoked by anyone entering from a member state of the European Communities or from another third country in which the application of the Agreement on the Status of Refugees and the Convention for the Protection of Human Rights and Fundamental Freedoms is guaranteed. The states outside the European Communities to which the requirements of sentence 1 apply are determined by law, which requires the consent of the Bundesrat. In the cases of sentence 1, measures terminating your stay can be implemented regardless of an appeal lodged against them.
(3) States may be designated by law that requires the approval of the Federal Council in which, based on the legal situation, the application of the law and the general political conditions, it appears to be guaranteed that neither political persecution nor inhuman or degrading punishment or treatment takes place there. It is assumed that a foreigner from such a state will not be persecuted unless he presents facts that justify the assumption that, contrary to this assumption, he is being politically persecuted.
(4) In the cases referred to in paragraph 3 and in other cases that are obviously unfounded or are considered to be obviously unfounded, the execution of measures terminating residence will only be suspended by the court if there are serious doubts about the legality of the measure; The scope of the examination can be limited and late submissions can be ignored. The details are to be determined by law.
(5) Paragraphs 1 to 4 do not conflict with international treaties between Member States of the European Communities and with third states, which are concluded in compliance with the obligations arising from the Agreement on the Status of Refugees and the Convention for the Protection of Human Rights and Fundamental Freedoms, the application of which in It must be ensured that the contracting states establish responsibility regulations for the examination of asylum applications, including the mutual recognition of asylum decisions."
German,Gutefrage,Author,https://www.gutefrage.net/frage/welche-uebersetzung-kommt-naeher-an-den-quranenglische-oder-deutsch,"Welche Übersetzung kommt näher an den Quran..englische oder deutsch?
Asalamu alaikum.

Welche Übersetzung kommt näher an den Quran.. Die englische oder die deutsche? Denn mir ist aufgefallen, als ich einen englischen vers gelesen habe und dies dann mit der deutschen Übersetzung verglichen habe, das sich die Bedeutung irgendwie komplett verändert hat. Also was heisst ""komplett"", aber ich hoffe ihr versteht worauf ich hinaus möchte.

Liebe Geschwister mir ist jedoch bewusst das man den Quran auf arabisch lesen muss, um ihn wirklich verstehen zu können..aber darum geht's nicht.

Möge Allah swt euch alle segnen.

Liebe grüße.

Ausserdem ist hier kein Platz für Islamfeindliche Menschen. Bleibt bitte sachlich.","Which translation is closer to the Quran...English or German?
Asalamu alaikum.

Which translation is closer to the Quran. The English or the German? Because I noticed when I read an English verse and then compared it with the German translation, that the meaning had somehow completely changed. So what does “complete” mean, but I hope you understand what I’m trying to get at.

Dear brothers and sisters, I am aware that you have to read the Quran in Arabic to really understand it...but that's not the point.

May Allah swt bless you all.

Best regards.

Furthermore, there is no place for Islamophobic people here. Please remain objective.","wa alaykum salam

Es gibt mehrere englische und deutsche Übersetzung, die in sich schon recht unterschiedlich sind, leider. Oft kommt das daher, dass ein arabisches Wort mehrere Bedeutungsebenen haben kann, und der Übersetzer dann eben das auswählt, was ihm am sinnvollsten erscheint, und die anderen Bedeutungen dadurch verloren gehen.

Sinnvoll ist also, wirklich verschiedene Versionen zu vergleichen oder eine kommentierte Version zu lesen, wo Einzelheiten erklärt werden.

Online gibt es zum Beispiel hier einen Vergleich von verschiedenen deutschen Versionen:

https://www.ewige-religion.info/koran/","wa alaykum salam

There are several English and German translations, which are quite different in themselves, unfortunately. Often this is because an Arabic word can have several levels of meaning, and the translator then chooses what makes the most sense to him, and the other meanings are lost as a result.

So it makes sense to really compare different versions or read an annotated version where details are explained.

For example, there is a comparison of different German versions online here:

https://www.ewige-religion.info/koran/
"
German,Gutefrage,Author,https://www.gutefrage.net/sprache-literatur-raetsel/lesen-literatur/frage/legen-sich-deutsche-autoren-extra-englische-pseudonyme-zu,"Legen sich deutsche Autoren extra englische Pseudonyme zu?
Heyo,

mir ist neulich irgendwie ein Auge gesprungen, dass deutsche Autoren englische Namen haben.

Ist ja nichts schlimmes. Man kann ja nichts dafür wie man genannt wurde.

Aber mein Gedanke war dazu.

,,Machen die das extra?"" Also das sich eine Anneliese Schmidt den Pseudonym Cloe Wether zulegt, damit ihr Buch mehr Chancen hat gelesen zu werden.

Ich kenne ein paar Leser die niemals sich ein Buch von einem deutschen Autor kaufen würden. Sie haben schlechte Erfahrungen gemacht und greifen daher lieber auf englische Autoren zurück.

Mir ist es egal vom wem das Buch ist. Hauptsache Rechtschreibung stimmt und die Geschichte ist gut.

Aber trotzdem beschäftigt mich dieser Gedanke.

Könnte das ne marketing Strategie sein?

(Namen sind frei erfunden.)
","Do German authors use English pseudonyms?
Hey,

It recently occurred to me that German authors have English names.

It's nothing bad. You can't help what you're called.

But my thought was to do so.

""Do they do this extra?"" So that one Anneliese Schmidt uses the pseudonym Cloe Wether so that her book has more chances of being read.

I know a few readers who would never buy a book by a German author. They have had bad experiences and therefore prefer to rely on English authors.

I don't care who the book is by. The main thing is that the spelling is correct and the story is good.

But this thought still bothers me.

Could this be a marketing strategy?

(Names are fictitious.)","Teilweise ja. Walter Ernsting zum Beispiel (einer der ""Gründerväter"" der ""Perry Rhodan""-Serie, und Erfinder des Mausbibers Gucky) hat mal erzählt, dass er sich, um in den 1950er Jahren veröffentlicht zu werden, extra ein englisches Pseudonym zugelegt hat: Clark Darlton. Er ging sogar so weit, das Manuskript beim Verlag einzureichen mit der Verfasserangabe: ""von Clark Darlton. Übersetzt von Walter Ernsting"".🤣🤣🤣
","Partially yes. Walter Ernsting, for example (one of the ""founding fathers"" of the ""Perry Rhodan"" series, and inventor of the mouse beaver Pucky) once said that in order to be published in the 1950s, he got an English pseudonym: Clark Darlton . He even went so far as to submit the manuscript to the publisher with the byline: ""by Clark Darlton. Translated by Walter Ernsting"".🤣🤣🤣"
German,Gutefrage,Author,https://www.gutefrage.net/frage/kats-melder,"Kats Melder?
Bin im Kats und es gibt Leute bei uns die eine Melder haben die anderen aber nicht ? Muss man sich dann einen eigenen besorgen","Kat's detector?
I'm in Kats and there are people here who have one detector but not the other? You then have to get your own","Wenn der Dienstherr möchte das du alarmiert wirst, dann hat er dafür zu sorgen das du das dazu notwendige Gerät bekommst.

NEIN, Melder kauft man sich nicht selbst. Die guten Melder kosten richtig Geld, müssen auch mal repariert werden, was nicht billig ist. Und was machst du wenn in deiner Region das System in 2 Jahren umgestellt wird?

","If the employer wants you to be alerted, then he has to ensure that you get the necessary device.

NO, you don't buy detectors yourself. The good detectors cost a lot of money and sometimes have to be repaired, which is not cheap. And what do you do if the system is changed in your region in 2 years?"
German,Gutefrage,Author,https://www.gutefrage.net/frage/bremsen-quietschen-6,"Bremsen quietschen?
Hallo zusammen,

Seit 3 Tagen fällt mir auf das die Bremsen bei meinen Seat Ibiza quietschen, aber nur relativ leise und unterhalb von 30 km/h wenn ich leicht bremse.

Da ich erst letzten Monat beim TÜV war denke ich mal das es erstmal nichts dramatisches ist aber meine Frage wäre da warum sie quietschen?

Vielen Dank für eure Hilfe!
","Squealing brakes?
Hello everyone,

For the past 3 days I've noticed that the brakes on my Seat Ibiza are squeaking, but only relatively quietly and below 30 km/h when I brake lightly.

Since I only had the TÜV last month, I don't think it's anything dramatic at first, but my question would be why do they squeak?

Many thanks for your help!","Der TÜV fährt auf den Bremsenbrüfstand und prüft die Funktion dann wirft er noch einen kurzen Blick auf die Beläge und Scheiben mehr nicht.

Eine TÜV prüfung sagt nur aus das das Fahrzeug zum Zeitpunkt der Prüfung keine erkennbaren Verkehrsicherheitsrelevanten Mängel hatte.

Bremsen fangen an zu quitschen wenn die Beläge vibrieren um das zu verhindern sind oft Antiquitschbleche verbaut und die Kontaktflächen der Beläge mit dem Bremssattel werden mit Antiquitschpaste auf Keramikbasis geschmiert.

Der richtige Weg wäre es jetzt Die Beläge auszubauen

Die Kanten der Reibläche leicht anzufasen

Die Reibfläche zu reinigen

Das ganze unter zuhilfenahme von Keramikpaste wieder zu montieren.

In der Werkstatt würde ich gleich nach neuen Belägen fragen die sind meist nicht so teuer und die Arbeit ist die gleiche","The TÜV goes to the brake test bench and checks the function then takes a quick look at the pads and discs and that's all.

A TÜV test only states that the vehicle had no noticeable road safety-related defects at the time of the test.

Brakes start to squeak when the pads vibrate. To prevent this, anti-squeak plates are often installed and the contact surfaces of the pads with the brake caliper are lubricated with ceramic-based anti-squeak paste.

The right way would now be to remove the coverings

Lightly chamfer the edges of the friction surfaces

Clean the rubbing surface

Reassemble the whole thing using ceramic paste.

In the workshop I would immediately ask for new pads, they are usually not that expensive and the work is the same
"
German,Gutefrage,Author,https://www.gutefrage.net/frage/welchen-vorteil-hat-es-fuer-amazon-wenn-ich-per-sepa-lastschrift-zahle,"Welchen Vorteil hat es für Amazon, wenn ich per SEPA Lastschrift zahle?
Hallo,

ich frage mich, welchen Vorteil es für Amazon hat, wenn ich per Lastschrift zahle. Ich sehe immer wieder Aktionen, wo ich das ganze als Standard festlegen soll. Ist eine Zahlung per Kreditkarte für die nicht eine größere Absicherung? Sie kriegen das Geld immerhin direkt und bei einer Lastschrift hat der Käufer womöglich das Geld gar nicht auf dem Konto.","What advantage does it have for Amazon if I pay via SEPA direct debit?
Hello,

I'm wondering what advantage it has for Amazon if I pay by direct debit. I keep seeing actions where I should set the whole thing as default. Isn't paying by credit card more protection for them? After all, you get the money directly and with a direct debit the buyer may not even have the money in his account.","Eine SEPA-Lastschrift ist billiger als eine Kreditkartentransaktion.

Amazon lässt diese allerdings nur bei Kunden mit ausreichender Bonität zu; bei anderen Kunden besteht man ohnehin auf Kreditkartenzahlung.","A SEPA direct debit is cheaper than a credit card transaction.

However, Amazon only allows this for customers with sufficient creditworthiness; Other customers insist on credit card payment anyway."
