Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English)
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/will-birth-death-certificate-be-used-in-the-same-way-as-aadhaar-card-hi,क्या बर्थ-डेथ सर्टिफिकेट का इस्तेमाल आधार कार्ड की तरह ही होगा?,Will birth-death certificate be used in the same way as Aadhaar card?,"अभी तक आधार कार्ड को को हर जगह पहचान पत्र की तरह इस्तेमाल किया जाता है। आधार कार्ड को अभी तक पैन कार्ड से लिंक कराने की जरूरत पड़ती है। क्योंकि हर जगह आधार कार्ड की सबसे ज्यादा डिमांड थी, किसी भी चीज चाहे बैंक अकाउंट हो या फिर अकाउंट खुलवाना हो सब जगह आधार कार्ड, पैन की जरूरत पड़ती थी, बैंक अकाउंट से आधार कार्ड kyc लिंक करवानी पड़ती थी।

 

उसी तरह अब सरकार द्वारा नया नियम लागू किया गए है, आधार कार्ड की तरह बर्थ-डेथ सर्टिफिकेट होगा, जो कि बर्थ और डेथ प्रूफ के लिए हर जगह पर सर्वमान्य पहचान पत्र की तरह काम आएगा।

 

सभी लोगो को बर्थ-डेथ सर्टिफिकेट बनवाना होगा और उनकी पहचान के लिए उन्हें बर्थ-डेथ सर्टिफिकेट का इस्तेमाल बहुत सी जगहों मे किया जाएगा, जैसे की नया आधार कार्ड बनवाने मे बर्थ-डेथ सर्टिफिकेट लगाना होगा और नया पैन कार्ड बनवाने मे भी बर्थ-डेथ सर्टिफिकेट लगेगा, यह नया नियम 1 अक्टूबर से पुरे देश भर मे लागू होगा।

Letsdiskuss

 

और पढ़े- सरकार कह रही है आधार कार्ड को सारे दस्तावेजों के साथ लिंक कर दो सरकार का ये फैसला आम लोगो के लिए कितना सेफ है? समाचार-वर्तमान विषय","Till now Aadhar card is used everywhere as an identity card. Till now there is a need to link Aadhaar card with PAN card. Because there was the highest demand for Aadhar card everywhere, whether it was a bank account or opening an account, Aadhar card, PAN was required everywhere, Aadhar card KYC had to be linked to the bank account.

 

Similarly, now a new rule has been implemented by the government, there will be a birth-death certificate like Aadhaar card, which will serve as a universally accepted identity card everywhere for birth and death proof.

 

All people will have to get a birth-death certificate made and for their identity, the birth-death certificate will be used in many places, like in making a new Aadhar card, birth-death certificate will have to be made and in making a new PAN card, birth-death certificate will also be required. Death certificate will be issued, this new rule will be applicable across the country from October 1.

Letsdiskuss

 

Read more-  Government is saying to link Aadhar card with all the documents. How safe is this decision of the government for the common people? news-current topics
"
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/when-and-how-to-drink-arjun-bark-hi,अर्जुन छाल कब और कैसे पिए?,When and how to drink Arjun bark?,"अर्जुन छाल रोजाना सुबह खाली पेट पिना चाहिए लेकिन अर्जुन छाल पिने का सबसे अच्छा तरीका है कि अर्जुन छाल को पानी मे डालकर उबाल ले फिर ज़ब उबल जाये तो पानी को छानकर ठंडा होने के लिए रख दे, उसके बाद जब अर्जुन छाल का पानी ठंडा हो जाये तो पिने से शरीर मे खराब कॉलेस्टाल होता है वह धीरे -धीरे करकें शरीर से बाहर निकल जाता है लेकिन यह तभी मुमकिन है ज़ब आप 1-2महीने लगातार अर्जुन छाल को उबालकर उसका पानी पियेंगे तभी आपको खराब कॉलेस्टाल
से छुटकारा मिलेगा।


इसके अलावा जिन लोगो के सीने मे जकड़न, खांसी, कफ की दिक्कत होने पर आप रोजाना अर्जुन छाल का काढ़ा बनाकर पिने से सीने की जकड़न कम होंगी, और खांसी भी कम हो जाएगी और सीने मे जमा कफ से छुटकारा पाने के अर्जुन छाल का काढ़ा पिना चाहिए।Letsdiskuss

","Arjun bark should be drunk every morning on an empty stomach, but the best way to drink Arjun bark is to put Arjun bark in water and boil it, then when it boils, filter the water and keep it to cool, after that when the water of Arjun bark cools down. By drinking, bad cholesterol gets accumulated in the body and it gradually gets removed from the body, but this is possible only when you boil Arjuna bark and drink its water continuously for 1-2 months, only then you will get rid of bad cholesterol
.


Apart from this, for those people who have problem of chest congestion, cough and phlegm, you can make decoction of Arjun bark and drink it daily, the chest tightness will reduce and cough will also reduce and the decoction of Arjun bark will help in getting rid of the phlegm accumulated in the chest. Should drink.Letsdiskuss"
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/does-a-snake-become-more-ferocious-after-shedding-its-slime-hi,क्या सांप केंचुली छोड़ने के बाद और भी ज्यादा खुंखार हो जाता है?,Does a snake become more ferocious after shedding its slime?,"सांप आपने शरीर से केंचुली उतराता है तो उसे संक्रमण से मुक्ति मिलती है इसलिए वह खुद को काफी फुर्तीला महसूस करता है और पहले से ज्‍यादा सांप खूंखार हो जाता है।

 

सांप एक साल के अंदर कम से कम 3 से 4बार केंचुली बदलता है, क्योंकि ज़ब सांप की त्वचा खराब हो जाती है यानि उसकी त्वचा मे संक्रमण पैदा हो जाते है तो ऐसे मे सांप केंचुली बदलने की कोशिश करता है क्योंकि उस समय सांप बहुत ही कष्टदायी परिस्थितियों से गुजरता है। यहाँ तक सांप खाना -पिना तक छोड़ देते है, और वह किसी एकांत जगह मे जाकर आपने शरीर को पेड़, पौधों मे रगड़ते है जिससे उनके त्वचा के पास की चमड़ी ढीली होती है इसलिए  निकल जाती है लेकिन शरीर के अन्य हिस्सों की त्वचा टाइट होने के कारण उन्हें अपना शरीर पत्थरो,काँटों मे रगड -रगड़कर आपने शरीर से केंचुली निकालते है। ज़ब सांप के शरीर से केंचुली निकाल जाती है तो सांप खुद को फुर्तीला महसूस करते है और पहले से काफ़ी ज्यादा उनका शरीर चिकना हो जाता है।Letsdiskuss


और पढ़े- सपने में सांप दिखने का क्या मतलब होता है?
","When a snake sheds its frass from its body, it gets rid of the infection, hence it feels very agile and the snake becomes more ferocious than before.

 

The snake changes its skin at least 3 to 4 times within a year, because when the snake's skin gets damaged i.e. infections develop in its skin, then the snake tries to change its skin because at that time the snake becomes very painful. passes through circumstances. Even snakes give up eating and drinking, and they go to some isolated place and rub their body against trees and plants, due to which the skin around their skin becomes loose and hence it comes off, but the skin on other parts of the body becomes tight. Due to this, they rub their body against stones and thorns to remove filth from their body. When the slime is removed from the snake's body, the snake feels agile and its body becomes much smoother than before.Letsdiskuss


Read more- What does it mean to see a snake in a dream?"
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/why-does-not-an-airplane-pass-over-tibet,क्यों कोई हवाई जहाज तिब्बत के ऊपर से नहीं गुजरता?,Why no airplanes fly over Tibet?,"तिब्बत एक ऐसा मुल्क है जो की अपनी आध्यात्मिकता एवं भूगोल की वजह से विश्वभर में जाना माना है। इसके अलावा चीन के साथ के उसके रिश्ते इतने ख़ास है की शायद ही कोई ऐसा मुल्क हो जिसे इस भूभाग के बारे में पता न हो। कहा जाता है की तिब्बत के ऊपर से कोई प्लेन गुजर नहीं सकता।

Letsdiskussसौजन्य: हिंदी समाचार 



शुरुआत में तो लोग इसे एक चमत्कार ही मान रहे थे पर एविएशन एक्सपर्ट्स ने सच का खुलासा कर बताया की इस भाग में हवामान इतना विषम होता है की एक प्लेन को यहां से उड़ा ले जाना मुश्किल होता है और इसीलिए कोई भी एयरलाइन यह रुट पसंद नहीं करती।

माऊंट एवेरस्ट के नजदीक होने से यहाँ हवा का दबाव ज्यादा होता है और ऑक्सीजन की मात्रा बिलकुल कम होती है। ऐसे में प्लेन में स्थित ऑक्सीजन प्रणाली पैसेंजर्स को 20 मिनट से ज्यादा सपोर्ट नहीं कर सकती। इतना ही नहीं यहाँ पर एयरपोर्ट की पट्टी भी इतनी संकीर्ण है की अब तक सिर्फ आठ ही पायलट ऐसे है जो यहाँ लैंड कर सके है। इन सब वजहों के चलते तिब्बत के ऊपर से प्लेन लेकर गुजरना खतरे से खाली नहीं होता। इस जोखिम को देखते हुए कोई भी प्लेन यहाँ से गुजरता नहीं है।","Tibet is a country which is known all over the world because of its spirituality and geography. Apart from this, its relations with China are so special that there is hardly any country which does not know about this territory. It is said that no plane can pass over Tibet.

LetsdiskussCourtesy: Hindi News 



Initially people were considering it a miracle but aviation experts revealed the truth and said that the weather in this part is so adverse that it is difficult to fly a plane from here and that is why no airline likes this route. Does.

Due to its proximity to Mount Everest, the air pressure here is high and the amount of oxygen is very less. In such a situation, the oxygen system located in the plane cannot support the passengers for more than 20 minutes. Not only this, the airport strip here is also so narrow that till now only eight pilots have been able to land here. Due to all these reasons, flying a plane over Tibet is not without danger. In view of this risk, no plane passes through here."
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/kya-hardik-pandya-word-cup-ke-liye-nahi-khelenge,क्या हार्दिक पांड्या वर्ल्ड कप के लिए नहीं खेलेंगे ?,Will Hardik Pandya not play for the World Cup?,"हार्दिक पांड्या भारतीय क्रिकेट टीम के आल-राउंडर क्रिकेटर हैं । सितम्बर में हो रहे एशिया कप के दौरान हार्दिक पांड्या गंभीर चोट का शिकार हुए थे । पांड्या भारत बनाम पाकिस्तान मैच में पकिस्तान की पारी के दौरान 18वें ओवर में गेंदबाजी कर रहे थे जब उन्हें रीढ़ की हड्डी में झटका लगा और वह जमीन पर गिर पड़े । पांड्या के गिरने के बाद उन्हें स्ट्रेचर पर मैदान के बाहर ले जाया गया । अपनी चोट के कारण हार्दिक एशिया कप का कोई और मैच नहीं खेल पाए । अभी भी पांड्या पूरी तरह से स्वस्थ नहीं हैं जिसके कारण सवाल यह उठता है कि क्या पांड्या वर्ल्ड कप 2019 में भारतीय टीम का हिस्सा होंगे या नहीं ।



Letsdiskuss

हार्दिक की रीढ़ की हड्डी में लगी चोट अब सही होती दिख रही है और हार्दिक का इसपर कहना है कि वह पूरी कोशिश कर रहें हैं कि वह जल्द से जल्द स्वस्थ होकर वर्ल्ड कप 2019 के लिए तयारी शुरू करें । हार्दिक भारत के उभरते सितारें हैं और युवा आल राउंडर हैं जिनकी भागीदारी से वभारतीय टीम ने बहुत से मैचों में जीत हासिल की है । हार्दिक का कहना ही कि उनका केवल एक ही लक्ष्य है कि वह 2019 के वर्ल्ड कप के लिए भारतीय टीम का हिस्सा बने । हार्दिक कि चोट को अब दो महीने बीत चुके हैं जिसके बाद यह कहना गलत नहीं होगा कि वह वर्ल्ड कप से पहले ठीक हो सकते हैं । अभी तक BCCI की ओर से कोई औपचारिक घोषणा नहीं हुई है तो यह कहना थोड़ा सा मुश्किल है कि हार्दिक टीम का हिस्सा होंगे कि नहीं, परन्तु उनकी चोट के ठीक होते ही उनके लिए वर्ल्ड कप के दरवाजे खुले हुए हैं ।

हार्दिक ने अपने एक इंटरव्यू के दौरान कहा ""मै फिलहाल अपनी प्रतिभा और कौशल को बढ़ाने की कोशिश कर रहा हूँ, मै मानसिक रूप से मजबूत होना चाहता हूँ, क्योंकि केवल यही है जो मुझे मेरा अतिरिक्त 15 % देने पर मजबूर करेगा । मै अपने खेल में अपना 100 % दूंगा और इस अतिरिक्त तैयारी से मै उसमे 10 -15 % और जोड़ सकता हूँ । जब मै यह कर लूंगा तो यह मुझे उन सभा चीज़ों को करने में सहायता करेगा जो मै अभी नहीं कर पा रहा ।""
","Hardik Pandya is an all-rounder cricketer of the Indian cricket team. Hardik Pandya suffered a serious injury during the Asia Cup being held in September. Pandya was bowling the 18th over of Pakistan's innings in the India vs Pakistan match when he suffered a spinal shock and fell to the ground. After Pandya fell, he was taken out of the field on a stretcher. Due to his injury, Hardik could not play any more matches of the Asia Cup. Still, Pandya is not completely healthy due to which the question arises whether Pandya will be a part of the Indian team in the World Cup 2019 or not.



Letsdiskuss

Hardik's spinal injury now seems to be getting better and Hardik says that he is trying his best to recover as soon as possible and start preparing for the World Cup 2019. Hardik is a rising star of India and a young all-rounder with whose participation the Indian team has won many matches. Hardik says that his only goal is to be a part of the Indian team for the 2019 World Cup. Now two months have passed since Hardik's injury, after which it would not be wrong to say that he can recover before the World Cup. There has been no formal announcement from the BCCI yet, so it is a bit difficult to say whether Hardik will be a part of the team or not, but as soon as his injury heals, the doors of the World Cup are open for him.

Hardik said during one of his interviews, ""I am currently trying to enhance my talent and skills, I want to be mentally strong, because that's the only thing that will force me to give that extra 15% in my game. I will give my 100% and with this extra preparation I can add another 10-15% to it. When I do this, it will help me do those things which I am not able to do now."""
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/what-does-mean,786 का असल मतलब क्या है?,What does 786 actually mean?,"भारतीय उपमहाद्वीप में किसी ने इस संख्या का आविष्कार किया, केवल आविष्कारक या अल्लाह ही जानता है कि किस आधार पर, और इसे एक धन्य संख्या के रूप में प्रचारित किया। कुछ लोग कहते हैं कि यह पहले कुरान की एक आयत का प्रतिनिधित्व करता है, लेकिन क्या मैं यह नहीं बता सकता कि कैसे। अरब जहां इस्लाम की शुरुआत हुई, उन्हें पता भी नहीं है कि 786 के बारे में ऐसी मान्यता मौजूद है। एशियाई संस्कृति हर चीज में आशीर्वाद लेना है, मुसलमानों ने अज्ञानता से इसे स्वीकार किया और इसका इस्तेमाल किया। शायद ही कोई मुसलमान इसके स्रोत या महत्व को जानता हो। एक छात्र के रूप में, इस्लामी प्रधानाचार्यों से अनभिज्ञ रहते हुए, मैंने इस संख्या का उपयोग उत्तर पुस्तिका के शीर्ष पर किया है, उम्मीद है कि मुझे इसके कारण अच्छे अंक मिलेंगे। अमिताभ बच्चन अभिनीत एक फिल्म ने भी इस नंबर को एक धन्य के रूप में लोकप्रिय बनाया क्योंकि मुख्य चरित्र में इस नंबर के साथ एक धातु का बैज होता है और यह कुछ अवसरों पर उसके जीवन को बचाता है। आपको यह समझने के लिए एक भारतीय होना होगा कि कैसे फिल्में यहां की लोकप्रिय संस्कृति और मान्यताओं का हिस्सा बन सकती हैं। इसका उपयोग अन्य फिल्मों में भी किया गया है, जिसमें शाहरुख खान की फिल्म वीर ज़ारा भी शामिल है। एक फिल्म थी खिलाड़ी नंबर 786।

 

सच्चाई यह है कि उनकी संख्या का इस्लाम या इस्लामी शिक्षाओं से कोई संबंध नहीं है। यह शायद अति उत्साही मुस्लिम या किसी ऐसे व्यक्ति का आविष्कार है जो मुसलमानों पर मजाक करना चाहता था। इस्लाम में वस्तुओं, नामों, शास्त्रों, संतों, संख्याओं, ग्रहों, सितारों, स्थानों आदि में अपने आप कोई आशीर्वाद नहीं है। आशीर्वाद केवल उन कार्यों को करने में है जो कुरान और पैगंबर की परंपराओं में धर्मी होने का उल्लेख किया गया है, शांति उस पर हो, और पापों से दूर रहें। यहां तक ​​​​कि कुरान को भी तब तक कोई आशीर्वाद नहीं है जब तक कि उसे पढ़ा, समझा या उस पर अमल न किया जाए।

 

Letsdiskuss

 

और पढ़े- सलाम वालेकुम का मतलब क्या है?

","Someone in the Indian subcontinent invented this number, only the inventor or Allah knows on what basis, and propagated it as a blessed number. Some say it represents a verse from the first Quran, but I can't tell how. The Arabs, where Islam originated, do not even know that such a belief about 786 exists. Asian culture is to seek blessings in everything, Muslims ignorantly accepted and used it. Hardly any Muslim knows its source or significance. As a student, being ignorant of Islamic principals, I used this number at the top of the answer sheet, hoping that I would get good marks because of it. A movie starring Amitabh Bachchan also popularized this number as a blessed one as the main character has a metal badge with this number and it saves his life on a few occasions. You have to be an Indian to understand how films can become a part of popular culture and beliefs here. It has also been used in other films, including Shah Rukh Khan's film Veer Zaara. There was a film Khiladi No. 786.

 

The truth is that their numbers have no connection with Islam or Islamic teachings. This is probably the invention of an overzealous Muslim or someone who wanted to play a joke on Muslims. There is no blessing in itself in objects, names, scriptures, saints, numbers, planets, stars, places, etc. in islam. Blessings lie only in doing those actions that are mentioned in the Quran and the traditions of the Prophet, peace be upon him, as being righteous, and staying away from sins. Even the Quran has no blessings unless it is read, understood or acted upon.

 

Letsdiskuss

 

Read more- What is the meaning of Salaam alekum?
"
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/amle-ka-pani-roj-peene-ke-kya-fayde-hain,आवलें का पानी रोज पीने के क्या फायदे हैं ?,What are the benefits of drinking gooseberry water daily?,"आंवला जिसे आमतौर पर आवला या वैज्ञानिक रूप से फाइलेन्थस एम्ब्लिका के नाम से भी जाना जाता है। यह एक प्रकार का भारतीय आंवला है। यह खट्टे फल हल्के हरे रंग का होता है और इसमें कई लाभकारी गुण होते हैं जो व्यक्ति को अविश्वसनीय रूप से लाभान्वित कर सकते हैं।

 

आंवला को भारत में एक धार्मिक या पवित्र फल माना जाता है, क्योंकि इसमें कई उपचार गुण होते हैं और यहां तक ​​कि कुछ धार्मिक अनुष्ठानों में भी इसका उपयोग किया जाता है। एक लोकप्रिय स्वास्थ्य पोर्टल के अनुसार, इस सुपरफूड में एक संतरे से आठ गुना अधिक खनिज और विटामिन और आठ गुना अधिक विटामिन सी होता है। इसमें अनार की तुलना में 17 गुना अधिक एंटीऑक्सीडेंट शक्ति होती है, इसलिए आंवला का रस अच्छे स्वास्थ्य के लिए सबसे अच्छे विकल्पों में से एक है।

 

चिकित्सा विशेषज्ञों के अनुसार, आंवला का रस आपकी खांसी और फ्लू और मुंह के छालों के इलाज में बहुत मददगार हो सकता है। यदि प्रतिदिन दो चम्मच आंवले के रस में समान मात्रा में शहद और नींबू मिलाकर सेवन किया जाए तो यह अद्भुत काम कर सकता है। खांसी और फ्लू के लिए सबसे अच्छे घरेलू उपचारों में से एक आंवला का रस है।
आंवला का रस आपके कोलेस्ट्रॉल के स्तर को कम करने में मदद कर सकता है, क्योंकि इसमें अमीनो एसिड और एंटीऑक्सिडेंट होते हैं जो हृदय के समग्र कामकाज में सहायता करते हैं।
यह जादुई खट्टे फलों का रस मधुमेह और अस्थमा जैसी सांस की बीमारियों के प्रबंधन में भी फायदेमंद है।
चिकित्सा विशेषज्ञों के अनुसार, आंवला की क्षारीय प्रकृति प्रणाली को साफ करने और पाचन तंत्र को मजबूत करने में सहायता करती है।
रोजाना आंवले का रस पीने से आपके लीवर को काम करने में मदद मिलती है और शरीर से विषाक्त पदार्थों को बाहर निकालता है।
चूंकि इसमें विटामिन सी प्रचुर मात्रा में होता है, यह आयरन, कैल्शियम, फॉस्फोरस से भी भरपूर होता है और इसलिए इसे संपूर्ण पोषण पेय के रूप में सेवन किया जा सकता है।
आंवले के रस में मौजूद अमीनो एसिड और प्रोटीन बालों के विकास में, बालों के झड़ने से निपटने और जड़ के साथ-साथ शाफ्ट को पुनर्जीवित करने में लाभ देता है।
रिपोर्ट्स के मुताबिक, अगर आप आंवले के रस की रुई को अपने चेहरे पर लगाते हैं तो यह निशान, पिगमेंटेशन और दाग-धब्बों से लड़ सकता है।  साथ ही वजन घटाने के लिए भी बहुत फायदेमंद होता है, क्योंकि यह शरीर की अतिरिक्त चर्बी को कम करता है और आपके पेट को ठीक से साफ करता है।
Letsdiskuss

","Amla which is also commonly known as Amla or scientifically as Phyllanthus emblica. This is a type of Indian Amla. This citrus fruit is light green in color and has many beneficial properties that can benefit a person incredibly.

 

Amla is considered a religious or sacred fruit in India, as it has many healing properties and is even used in some religious rituals. According to a popular health portal, this superfood contains eight times more minerals and vitamins and eight times more vitamin C than an orange. It has 17 times more antioxidant power than pomegranate, so amla juice is one of the best choices for good health.

 

According to medical experts, Amla juice can be very helpful in treating your cough and flu and mouth ulcers. If two spoons of Amla juice mixed with equal quantity of honey and lemon is consumed daily, it can work wonders. One of the best home remedies for cough and flu is Amla juice.
Amla juice can help reduce your cholesterol levels, as it contains amino acids and antioxidants that aid in the overall functioning of the heart.
This magical citrus fruit juice is also beneficial in managing respiratory diseases like diabetes and asthma.
According to medical experts, the alkaline nature of Amla helps in cleansing the system and strengthening the digestive system.
Drinking Amla juice daily helps your liver function and flushes out toxins from the body.
Since it is rich in Vitamin C, it is also rich in iron, calcium, phosphorus and hence can be consumed as a complete nutrition drink.
The amino acids and proteins present in Amla juice are beneficial in hair growth, combating hair fall and reviving the root as well as the shaft.
According to reports, if you apply cotton with Amla juice on your face, it can fight marks, pigmentation and blemishes. It is also very beneficial for weight loss, because it reduces excess body fat and cleans your stomach properly.
Letsdiskuss
"
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/ganesh-ji-ki-kaun-si-murti-kya-fal-pradan-karti-hai,"गणेश जी की कौन सी मूर्ति, क्या फल प्रदान करती है ?",Which idol of Lord Ganesha gives what results?,"गणेश जी की कौन सी मूर्ति, क्या फल प्रदान करती है ?","The name of Lord Ganesha is auspicious in every work. Whenever any auspicious work is done, Lord Ganesha has to be invoked before it. Lord Ganesha should be worshiped first in any puja, this boon was given by Lord Shiva to his son Ganesha.



Letsdiskuss


Although idols of Lord Ganesha are made in many ways, but hardly anyone would know that all the idols have their own importance. Today let us tell you which idol of Lord Ganesha gives what results.
Fruits of idol of Lord Ganesha:-

Whenever you bring the idol of Lord Ganesha to install in your home, keep in mind that the trunk of Lord Ganesha should be turned towards the left hand. Such an idol brings happiness and prosperity to your home very quickly. Whereas the trunk on the right hand and which is rotated causes a slight delay in fulfilling the wish.



Whenever you bring the idol of Lord Ganesha, pay attention to the posture of Lord Ganesha's hands. The posture of Lord Ganesha's hands should be to give blessings. (The boon posture means the palm of the hand should be facing forward) and along with this their vehicle should also be a mouse. The result of this idol is that according to the scriptures, it is believed that whenever you are in any trouble, God will definitely come to relieve your trouble.

- Those who wish to have a child and want to install Lord Ganesha in their home, should bring the idol of Bal Ganesha in their home. It is believed that doing this will definitely result in the birth of a child.

Bal-ganesh-letsdiskuss

- If you install the idol of dancing Lord Ganesha in your house, then there will always be an atmosphere of happiness and progress in your house. This idol can also be installed in the temple of dance education.



- If you install the idol of Lord Ganesha sitting on a pedestal in your house, then there will be happiness and prosperity in the house.

- If you want to install Lord Ganesha in your business place, then install a vermillion colored sitting idol of Lord Ganesha. Sindoori color is considered to bring prosperity."
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/chourahon-par-jo-dosa-banta-hai-wo-kaise-banta-hai,"चौराहों पर जो डोसा बनता है, वो कैसे बनता है ?",How is the dosa made at the crossroads?,"चौराहे पर जो डोसा बनता है वह बहुत ही स्वादिष्ट होता है लेकिन चौराहे पर कई प्रकार के डोसे बनते है जैसे कि पनीर डोसा, मसाला डोसा, पेपर डोसा लेकिन आज हम यहाँ पर पनीर का डोसा स्वादिष्ट डोसा बनाने की सबसे आसान रेसिपी बातएंगे-

पनीर डोसा बनाने की समाग्री -
डोसा पाउडर (चवाल, उरद मिक्स )
प्याज़ 2(कटा हुआ )
हरी मिर्च 1(कटी हुयी )
पनीर 300ग्राम
गरम मसाला 1 चम्मच
धनिया पाउडर 1 चम्मच
नामक
हल्दी
जीरा
राई
तेल

पनीर डोसा बनाने की रेसिपी -

सबसे पहले मार्केट से डोसा बनाने का पाउडर लाते है उसे एक दिन पहले पानी मे भिगोकर रख दे, दूसरे दिन डोसा  बनाने के लिए सबसे पहले कड़ाही गैस चूल्हे चढ़ाये उसके बाद उसमे तेल डालें और फिर जीरा, हरी मिर्च,राई सुनहरा होने तक तले उसके बाद पनीर फ्राई करे कटे हुये प्याज़ डालकर तल ले फिर उसमे नामक, हल्दी, गरम मसाला, धनिया पाउडर डालकर सभी समाग्री क़ो अच्छी तरह मिक्स कर ले, अब डोसे वाले तवे मे हल्का पानी तेल छिड़काव मार कर डोसे का घोल डालकर फैला दे फिर उसमे पनीर स्टॉफिग भर दे इसी तरह से पनीर के डोसे बनकर तैयार हो जाते है।Letsdiskuss

","The dosa made at the crossroads is very tasty but there are many types of dosa made at the crossroads like Paneer Dosa, Masala Dosa, Paper Dosa but today here we will talk about the easiest recipe to make Paneer Dosa and delicious Dosa -

Ingredients for making Paneer Dosa -
Dosa powder (rice, urad mix)
Onions 2 (chopped) Green
chilli 1 (chopped)
Paneer 300 grams
Garam masala 1 teaspoon
Coriander powder 1 teaspoon
Turmeric
Cumin
Mustard oil


Recipe to make Paneer Dosa -

First of all, bring the powder for making dosa from the market, soak it in water a day before, to make dosa on the second day, first put the pan on the gas stove, then add oil in it and then fry the cumin seeds, green chillies and mustard seeds till they turn golden. After frying the paneer, add chopped onions and fry them, then add namak, turmeric, garam masala, coriander powder and mix all the ingredients well. Now sprinkle a little water and oil in the dosa pan, pour the dosa batter and spread it. Fill the paneer stuffing and in this way paneer dosa is ready.Letsdiskuss
"
Hindi,Let's Diskuss,Author,https://hi.letsdiskuss.com/how-is-a-gun-license-made,बंदूक का लाइसेंस कैसे बनता है?,How to get a gun license?,"बंदूक का लाइसेंस किसी भी आम व्यक्ति के लिए नही होता बल्कि यह उन ही लोगों को मिलता है जो इसका लाइसेंस बनवाने की प्रक्रिया पूरी कर सकें | भारत में अगर कोई व्यक्ति बिना लाइसेंस के कोई हथियार अपने पास रखता है तो यह गैर कानूनी समझा जाता है जिसके लिए उस पर सज़ा और कोई कार्यवाही भी हो सकती है | अगर आप चाहें तो अपनी सुरक्षा के लिए इसे बनवा सकते है

 

Letsdiskuss
 
इन नियमों का पालन कर करें
 
- आवदेन करें
सबसे पहले 'फॉर्म ए' भरना होगा, जो हथियारों के नियम, 1962 के तहत दिया गया है। इसी फॉर्म से हर प्रकार के लाइसेंस लिए जाते हैं। एप्लिकेशन को वेबसाइट से डाउनलोड करके उसे सहायक दस्तावेजों के साथ हथियारों का लाइसेंस देने के दफ्तर में जमा करना होता है, जो आपके इलाके के डीएम या डिप्टी कमिश्नर या पुलिस कमिश्नर के तहत आता हो।
 
- इन दस्तावेज़ों की जरुरत
आपको अपनी पहचान, पता, उम्र और फिटनेस प्रूफ देना ही होगा। साथ ही आपको यह भी बताना होगा कि आप कौन सा हथियार खरीदना चाहते हैं। इसके अलावा आपको अपनी दो पासपोर्ट साइज की तस्वीरें भी देनी होंगी। इसके अलावा भी अफसर आपसे और दस्तावेज़ों की मांग कर सकता है |
- अंतिम चरण
आखिर में यह सवाल सामने आता है के यह कितने दिनों में बन कर आ जाता है ?
 
गृह मंत्रालय की वेबसाइट पर मौजूद आंकड़ों के अनुसार लाइसेंस मिलने की कोई समय सीमा निर्धारित नहीं है। लाइसेंस की प्रक्रिया काफी जटिल होती है जिसकी वजह से यह पूरी प्रक्रिया समय लेती है और बिना सही दस्तावेज़ों के आपका लाइसेंस नही बनता है |","Gun license is not for any common person, rather it is available only to those people who can complete the process of getting the license. In India, if a person possesses any weapon without a license, then it is considered illegal for which he can be punished and some action can also be taken. If you want, you can get it made for your safety.

 

Letsdiskuss
 
follow these rules
 
- apply
First of all 'Form A' has to be filled, which is given under the Arms Rules, 1962. All types of licenses are taken from this form. The application has to be downloaded from the website and submitted along with supporting documents to the arms licensing office which is under the DM or Deputy Commissioner or Police Commissioner of your area.
 
- These documents are required
You will have to provide your identity, address, age and fitness proof. You also have to tell which weapon you want to buy. Apart from this, you will also have to provide two passport size photographs. Apart from this, the officer may also ask for more documents from you.
- last stage
Ultimately the question arises that in how many days can it be completed?
 
According to the data available on the website of the Home Ministry, there is no time limit for getting the license. The licensing process is quite complex, due to which the entire process takes time and without the correct documents, your license will not be issued."
