Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English)
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/unnepek__husvet__12206681-15-16-eves-sracnak-szokas-meg-penzt-adni-a-locsolasert-ha-igen-mennyit-testve,"15-16 éves srácnak szokás még pénzt adni a locsolásért? Ha igen, mennyit? Testvér kisfia.

A legátmenetibb korosztály. Aki korban még gyereknek tűnik, de bulizik, barátnője van, bulikban iszogat...tehát kamasz fiatalemberként él.","Is it customary to give money to a 15-16-year-old boy for watering? If so, how much? Brother's little boy.

The most transitional age group. Someone who still looks like a child at his age, but he parties, has a girlfriend, drinks at parties...so he lives as an adolescent young man.","Attól függ, milyen a kapcsolat vele. Én adnék ennek a korosztálybeli rokonomnak (főleg, ha tudnám azt is, hogy megtakarítja ill. jóra fordítja).

A pénz mindig jól jön...
","It depends on the relationship with him. I would give it to a relative of my age group (especially if I also knew that he would save or put it to good use).

Money always comes in handy..."
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/kozlekedes__tomegkozlekedes__12454360-miert-keletkezik-a-mav-ic-kocsik-utastereben-minden-fekezesnel-elviselhetetlen-e,"Miért keletkezik a MÁV IC kocsik utasterében minden fékezésnél elviselhetetlen égett fékporszag?
Annyira durva már, hogy konkrétan köhögni kezdenek az emberek egy-egy fékezésnél. Ez mennyire egészséges dolog? Miért nem tesz valamit a MÁV ez ellen?","Why is there an unbearable smell of burnt brake dust in the passenger compartment of MÁV IC cars every time you brake?
It's so rough that people actually start coughing when braking. How healthy is that? Why doesn't MÁV do something about this?","Az IC kocsikon tárcsafék van és azokban pedig ""műanyag"" fékbetét. Tehát nem olyan vas tuskós fék van mint a régebbi vasúti járműveken.

Ennek a fékbetétnek van szaga amikor megmelegszik fékezés közben. Pora nincs. Legalábbis olyan nincs neki mint a tuskós féknek.

Ezt a szagot a kocsikban lévő légjavító, szellőztető beszívja és befújja az utastérbe. Ezzel sajnos nem nagyon lehet mit kezdeni.
","IC cars have disc brakes and they have ""plastic"" brake pads. So there are no iron block brakes like on older railway vehicles.

This brake pad has an odor when it heats up during braking. There is no powder. At least it doesn't have anything like a block brake.

This smell is absorbed by the air conditioner and ventilation in the cars and blown into the passenger compartment. Unfortunately, there is not much you can do about it."
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/kozlekedes__tomegkozlekedes__11825602-mennyi-bkv-busz-egett-mar-le-az-elmult-20-evben,"Mennyi BKV-busz égett már le az elmúlt 20 évben?
Az utóbbi pár évben/évtizedben mi ez a rengeteg tűzeset meg kigyulladó busz a BKV-nál?

Volt egy időszak kb. 20 éve, amikor az Ikarus 412-esek égtek ki sorra azzal kezdődött, aztán volt pár 415/435-ös, aztán pár évig viszonylag nem volt, csak 1-2 kisebb, aztán (már a bilikék korszakban, kb ) pár Mercedes Citaro is égett, de teljesen, kb 7-8 éve, majd néhány behozott szóló Volvo 7000, asszem néhány éve volt egy Karsan kisbusz is, az utóbbi 2-3 évben meg a csuklós Volvo 7700A-k lángolnak, ez a ma hajnali már legalább a 4. ilyen.


Valaki tudja, hogy miért van/volt ez a rengeteg kigyulladó busz a BKV-nál? Melyikkel mi volt a gond? Illetve mennyi ilyen komolyabb/látványosabb égés volt már az elmúlt 2 évtizedben? Szerintem legalább 30

Más országok fővárosaiban is ilyen magas az arány?
","How many BKV buses have burned down in the last 20 years?

In the last few years/decades, why are there so many buses catching fire at BKV?

There was a period of approx. 20 years ago, when the Ikarus 412s burned out, it started with that, then there were a couple of 415/435s, then for a couple of years there were relatively none, only 1-2 smaller ones, then (already in the biliki era, approx.) a couple of Mercedes Citaros burnt down, but completely, about 7-8 years ago, then some imported solo Volvo 7000s, I think there was also a Karsan minibus a few years ago, and the articulated Volvo 7700As have been on fire for the last 2-3 years, this one this morning has been at least 4 .such.


Does anyone know why there are/were so many buses catching fire at BKV? What was the problem with which one? Also, how many more serious/spectacular fires have there been in the last 2 decades? I think at least 30

Is the ratio also high in the capitals of other countries?","Nincs az 30 sem.

Az a gond, hogy az emlékezetedben a füstölés is tűzesetként marad meg, és utólag már hozzáköltöd, hogy az a busz leégett. Olyan is volt nem egyszer, hogy a busz bár kigyulladt, de időben megfékezték a tüzet és némi felújítás után visszatért a forgalomba a kocsi.


Tényszerűen utána lehet nézni a dolgoknak.

Volvo 7700A-ból 4 égett le.

412-esből 4 darab égett le.

Kisvolvóból 4 égett le. (tegyük hozzá, hogy ezek 20 éves buszok)

Gázos Citaróból 1 égett le.

Karsanból 1 égett le.


Szerintem, az utóbbi 20 évből 30 nem fog összejönni, ha valóban leégett buszokat keresel, és nem csupán tűzeseteket.
","There is no 30 either.

The problem is that smoking remains in your memory as a fire incident, and afterwards you add that the bus burned down. It happened more than once that the bus even caught fire, but the fire was put out in time and the car returned to traffic after some renovations.


You can actually look things up.

4 of Volvo 7700A burned down.

4 out of 412 were burned.

4 small Volvos burned down. (let's add that these are 20-year-old buses)

1 of Gázos Citaro burned down.

1 of Karsan burned down.


I don't think 30 out of the last 20 years will add up if you're looking for actual burned buses and not just fires.
"
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/emberek__lakohely-szomszedok__11644155-a-szomszedunk-ma-kozolte-hogy-fel-akar-jelenteni-minket-mert-zavarja-a-haszona,"A szomszédunk ma közölte, hogy fel akar jelenteni minket, mert zavarja a haszonállataink szaga. Megteheti- e ezt, és ha igen, milyen következménye lesz?

Egy vidéki nagyvárosban élünk, de olyan külvárosi részen, ahol az állattartás már megengedett. Tyúkokat és egy malacot tartunk, teljesen normális körülmények között. Ez a család két éve költözött a mellettünk lévő házba, idáig semmiféle ilyen jellegű panaszuk nem volt, erre ma közölték, hogy fel fognak jelenteni minket a rendőrségen, mert idén nyáron már nem hajlandóak elviselni az állataink szagát és szerintük szabálytalanok vagyunk, mert a telkünkön belül a trágya helye az ő házuk felőli oldalon van. Tényleg tehetnek feljelentést? Ha igen, kinek van igaza? Nekik, vagy nekünk? Mi úgy gondoljuk nincs semmi szabálytalan abban ahogy az állatokat tartjuk, de nem tudjuk, kihez fordulhatnánk segítségért. Ha mégis igazuk van, mi lesz a büntetésünk?","Our neighbor told us today that he wants to report us because the smell of our farm animals bothers him. Can you do this, and if so, what are the consequences?

We live in a large rural city, but in a suburb where keeping animals is already allowed. We keep chickens and a pig, under completely normal conditions. This family moved into the house next to us two years ago, until now they have not had any complaints of this nature, and today they informed us that they will report us to the police, because this summer they are no longer willing to tolerate the smell of our animals and they think we are illegal because they are inside our property the place of manure is on the side of their house. Can they really file a complaint? If so, who is right? For them or for us? We think there is nothing illegal in the way we keep animals, but we don't know who to turn to for help. If they are right, what will be our punishment?","A trágya veszélyes hulladéknak számít, és nagyon szigorú szabályok vonatkoznak a tárolására.

Igen, tudom, hogy vidéken nem foglalkoznak ezzel, van trágyadomb és kész.

De a törvény akkor is előírja a megfelelő trágyakezelést, és a zárt trágyatároló létesítését.


""Az istállótrágya tároló kapacitásának legalább 6 havi trágya tárolására elegendőnek kell lennie, szivárgásmentes, szigetelt alappal és a trágyalé összegyűjtésére is alkalmas

csatornákkal, illetve aknákkal ellátva.

A trágyatárolók befogadó képességére és műszaki követelményeire vonatkozó értékeket az 59/2008. FVM rendelet 5. melléklete tartalmazza.""

Ez a rendelet szövege pontosan.

Tehát hivatalosan, törvény szerint nem tarthatod a trágyát csak úgy egy halomba lerakva.

Ha tényleg feljelent a szomszéd, téged kötelezhetnek megfelelő trágyatároló kiépítésére, azt nem tudom, hogy meg is büntethetnek-e.
","Manure is considered hazardous waste and very strict rules apply to its storage.

Yes, I know that they don't deal with this in the countryside, there's a dunghill and that's it.

But the law still requires proper manure management and the establishment of a closed manure storage.


""The storage capacity of the stable manure must be sufficient for at least 6 months of manure storage, with a leak-proof, insulated base and also suitable for collecting the manure juice

equipped with channels and shafts.

59/2008, the values ​​for the capacity and technical requirements of manure storage facilities. It is contained in Annex 5 of the FVM Decree.""

This is exactly the text of the decree.

So officially, according to the law, you can't just keep manure in a pile.

If the neighbor really comes forward, they can oblige you to build a suitable manure storage facility, I don't know if they can even punish you."
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/emberek__lakohely-szomszedok__10874596-szilveszterkor-ugyanugy-18-6-kozott-lehet-majd-tuzijatekozni,Szilveszterkor ugyanúgy 18-6 között lehet majd tűzijátékozni?,Will it still be possible to enjoy fireworks on New Year's Eve between 6-6 p.m.?,"Nem, tulajdonképpen korlátlanul hiszen azokat a tűzijátékokat amelyekhez most hozzáférsz I. és II. kategóriába, azaz az egész évben felhasználhatók közé van sorolva.


Tehát akár 4-kor is fellőheted.


Viszont arra figyelj, hogy csak magánterületen szabad használni.
","No, actually unlimited, since the fireworks you now have access to are I. and II. category, i.e. it is classified as usable throughout the year.


So you can even shoot at 4 o'clock.


However, please note that it may only be used in private areas."
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/emberek__egyeb-kerdesek__12086464-a-csehek-miert-nem-elismert-nemzetiseg-magyarorszagon,A Csehek miért nem elismert nemzetiség Magyarországon?,Why are the Czechs not a recognized nationality in Hungary?,"A nemzetiségek jogairól szóló 2011. évi CLXXIX. törvény értelmében nemzetiség minden olyan – Magyarország területén legalább egy évszázada honos – népcsoport, amely az állam lakossága körében számszerű kisebbségben van, a lakosság többi részétől saját nyelve, kultúrája és hagyományai különböztetik meg, egyben olyan összetartozás-tudatról tesz bizonyságot, amely mindezek megőrzésére, történelmileg kialakult közösségeik érdekeinek kifejezésére és védelmére irányul. E meghatározás alapján a törvény tizenhárom magyarországi nemzetiséget ismer el, ezek: a bolgár, a görög, a horvát, a lengyel, a német, az örmény, a roma, a román, a ruszin, a szerb, a szlovák, a szlovén és az ukrán nemzetiség.



Ráadásul a számuk elenyésző Magyarországon. Érdekes, hogy a zsidó kisebbséget sem ismerik el nemzetiségként.
","CLXXIX of 2011 on the rights of nationalities. according to the law, a nationality is any ethnic group - native to the territory of Hungary for at least a century - that is in a numerical minority among the population of the state, is distinguished from the rest of the population by its own language, culture and traditions, and at the same time testifies to a sense of belonging, which, in order to preserve all of these, historically aimed at expressing and protecting the interests of their established communities. Based on this definition, the law recognizes thirteen nationalities in Hungary, these are: Bulgarian, Greek, Croatian, Polish, German, Armenian, Roma, Romanian, Ruthenian, Serbian, Slovak, Slovenian and Ukrainian nationality.



Moreover, their number is negligible in Hungary. It is interesting that the Jewish minority is not recognized as a nationality either.
"
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/uzlet-es-penzugyek__adozas-konyveles__11186847-a-csaladi-adokedvezmeny-akkor-is-jar-minden-honapbanha-nem-volt-1-ev-munkaviszo,"A családi adókedvezmény akkor is jár minden hónapban,ha nem volt 1 év munkaviszonyom?
Tehát januártól augusztusig volt munkám és erre az időre egy összegben kértem az adóvisszatérítést,de a könyvelő 12 hónappal számolt,annak ellenére,hogy csak 8 hónap munkaviszonyom volt és a munkaügyiben sem voltam regisztrálva a maradék 4 hónapra. Ez most hogy van akkor?","Does the family tax discount apply every month even if I haven't had a job for 1 year?

So I had a job from January to August and I requested a tax refund in one sum for that time, but the accountant calculated 12 months, despite the fact that I only had an employment relationship for 8 months and I was not even registered with the labor department for the remaining 4 months. How is it now then?","A családi adóalapkedvezmény nem munkaviszony függvénye. Ha te jogosult voltál egész évben a kedvezményre, akkor egész évre jár. Ha csak egy hónap munkaviszonyod volt, de abban volt annyi jövedelmed, hogy az egész éves keretet igénybe tudd venni, akkor semmi akadálya.","The family tax base allowance is not a function of employment. If you were entitled to the discount for the whole year, it is valid for the whole year. If you were only employed for one month, but you had enough income to be able to use the whole year's allowance, there is no obstacle."
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/uzlet-es-penzugyek__adozas-konyveles__12396832-hogyan-mukodik-a-25-ev-alatti-szja-mentesseg,"Hogyan működik a 25 év alatti szja mentesség?

Nagyon nem értem ezt az egészet mert senki nem magyarázta még el nekem hogy hogyan is működik a szja mentesség. Eddig úgy hittem, hogy azt a 15%-ot amit fizetnem kellene szja adóra azt nem kell befizetnem, így megmarad a nettó fizetésembe. Szóval most ha 100.000 ft a nettóm akkor ugye 15.000 ft a szja adó ezen felül. Ezt a 15.000ft én vissza kapom ( így a nettó fizu az 115.000ft lesz) vagy ezt mivel a cégnek nem kell visszafizetnie így a bruttóm lesz csak kevesebb( így a nettó fizu az marad 100.000ft és a bruttó 15% kevesebb) ?","How does the under-25 tax exemption work?
I really don't understand all of this because no one has yet explained to me how the exemption works. Until now, I thought that I didn't have to pay the 15% I had to pay for taxes, so it would remain in my net salary. So now, if my net income is HUF 100,000, the personal tax is HUF 15,000 on top of that, right? Will I get this HUF 15,000 back (so the net fee will be HUF 115,000) or is this because the company does not have to pay back, so my gross will only be less (so the net fee will remain HUF 100,000 and the gross 15% less)?","""Hogyan működik a 25 év alatti szja mentesség?""


25 év felettiek:


Bruttó bér 300.000

- 45.000 (SZJA, mértéke bruttó bér 15 %-a)

- 55.500 (járulék, mértéke bruttó bér 18,5 %-a)

= 199.500 (nettó bér, ami a dolgozónak jár)


25 év alattiak:

Bruttó bér 300.000

- 55.500 (járulék, mértéke bruttó bér 18,5 %-a)

= 244.500 (nettó bér, ami a dolgozónak jár)


A két példát összehasonlítva láthatod, hogy a 25 év alattitől nem vonták le a 15 %-os SZJA összegét, tehát ennyivel több a nettó bére, mint a 25 év felettinek.


Jogkövető, szabályosan működő cégeknél ez így van.


Ha valakit feketén, vagy szürkén foglalkoztatnak, ott bármilyen irányban bedőlhet a dolog, hiszen a bérezés egy része vagy egésze ilyen esetben szabálytalan. Ez nyilván hozza magával azt, hogy minden más is szabálytalan lesz vele kapcsolatban. Például ""lenyúlják"" a kedvezményed.


Ha hivatalosan vagy foglalkoztatva teljes egészében, akkor ilyen nem fordulhat elő.","""How does the under-25 tax exemption work?""


Over 25 years old:


Gross salary 300,000

- 45,000 (SZJA, rate is 15% of gross salary)

- 55,500 (contribution, 18.5% of gross salary)

= 199,500 (net salary due to the employee)


Under 25s:

Gross salary 300,000

- 55,500 (contribution, 18.5% of gross salary)

= 244,500 (net salary due to the employee)


Comparing the two examples, you can see that the 15% SJJA was not deducted from those under 25, so their net salary is that much more than that of those over 25.


This is the case with law-abiding, regularly operating companies.


If someone is employed on a black or gray basis, things can go either way, as part or all of the wages are irregular in such cases. This obviously means that everything else about it will also be irregular. For example, your discount is ""extended"".


If you are officially employed in full, then this cannot happen."
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/kozoktatas-tanfolyamok__magyar-iskolak__12020574-mi-az-az-elorehozott-erettsegies-mondjuk-matekbol-lehet-ilyet-tenni,Mi az az előrehozott érettségi?És mondjuk matekból lehet ilyet tenni?,What is an advanced graduation? And can you do that from math?,"Előrehozott érettségi az, amit a rendes érettségi előtt teszel le egy vagy több tantárgyból.

Rendes érettségi= Az, ami a gimnázium legvégén van: matek, magyar, történelem, idegen nyelv, 1 valasztott tantárgy


Előrehozott érettségit csak idegen nyelvből, informatikából és olyan tantárgyakból lehet tenni, amelynek az oktatása a helyi tanterv alapján lezárult.

Matekból, magyarból és történelemből NEM lehet előrehozott érettségit tenni!
","Advanced graduation is what you take in one or more subjects before the regular graduation.

Ordinary school leaving certificate = What is at the very end of high school: maths, Hungarian, history, foreign language, 1 elective subject


An advanced high school diploma can only be taken in a foreign language, computer science and subjects whose education has been completed based on the local curriculum.

Mathematics, Hungarian and history cannot be taken early for graduation!"
Hungarian,Gyakori kérdések,Author,https://www.gyakorikerdesek.hu/kozoktatas-tanfolyamok__egyeb-kerdesek__3126309-ha-jelentkezek-egy-felsooktatasi-intezmenybe-akkor-a-csaladi-potlekra-vonatkozi,"Ha jelentkezek egy felsőoktatási intézménybe, akkor a családi pótlékra vonatkozik a ""hátrányos helyzetű"" többletpont?","If I apply to a higher education institution, does the ""disadvantaged"" extra point apply to the family allowance?","[link]


Hátrányos helyzet miatt 20 többletpont jár minden alapképzési szakon, egységes, osztatlan képzésen, illetve felsőfokú szakképzésen.


Hátrányos helyzetű az a jelentkező, aki felvétel esetén a beiratkozás időpontjában huszonötödik életévét nem töltötte be ÉS

- akit középfokú tanulmányai során családi körülményei, szociális helyzete miatt a jegyző védelembe vett, és/vagy

- aki után középfokú tanulmányai során rendszeres gyermekvédelmi támogatást folyósítottak, és/vagy

- középfokú tanulmányai során rendszeres gyermekvédelmi kedvezményre jogosult,

- középfokú tanulmányai során állami gondozott volt.



[link] ?itemNo=3


Az alábbi - leggyakrabban előforduló - dokumentumok nem tartoznak sem a hátrányos helyzet, sem pedig a halmozottan hátrányos helyzet igazolásához szükséges dokumentumok közé, vagyis ha ilyen dokumentumot csatol a jelentkezéséhez a felvételiző, akkor a többletpontra vonatkozó kérelmét nem áll módunkban elfogadni: [...] családi pótlék igazolása.
","[link]


Due to a disadvantageous situation, 20 extra points are awarded for all basic education courses, unified, undivided courses, and higher vocational courses.


The applicant is at a disadvantage if he or she has not reached the age of twenty-five at the time of enrollment AND

- who was taken into protection by the registrar due to his family circumstances and social situation during his secondary studies, and/or

- after whom regular child protection support was paid during his secondary education, and/or

- is entitled to a regular child protection discount during his secondary studies,

- during his secondary education, he was a state care provider.



[link] ?itemNo=3


The following - most frequently occurring - documents do not belong to the documents required to prove the disadvantageous situation or the cumulative disadvantageous situation, i.e. if such a document is attached to the application by the admissions officer, we will not be able to accept your request for extra points: [...] proof of family allowance."
