Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English)
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14289400994,"広島から大阪へ行く学生です。
広島に帰る時訳あって11時を超えそうなのですが、親の許可を貰っていますと言えば警察に補導されないですかね？
もしかしたら新幹線の時点で11時過ぎるかもですが、12時には家にいます。
(もしかしたら早く新幹線に乗れて11時までに家に着くかもしれません。)
学校が厳しいのでバレたら休学かもしれないのですが、どうしても早く帰れそうにないです。
心ないコメントはやめてくださいm(_ _)m
","I am a student going from Hiroshima to Osaka. It's going to be past 11 o'clock as I'm heading back to Hiroshima, but if I say that I have my parents' permission, won't the police take me under their wing? It might be past 11 o'clock by the time I catch the Shinkansen , but I'll be home by 12 o'clock. (Maybe I can get on the Shinkansen early and be home by 11 o'clock.) School is very strict, so if I found out I might have to take a leave of absence, but I don't think I'll be able to go home early. Please stop making heartless comments m(_ _)m","学生って高校生ですかね？普通に歩いてたら余程じゃ無い限り止められませんし、まず、警察に出くわすかも分かりません。
うちの姪っ子ちゃんも学生ですが塾で11時位になりますが制服きて帰ってますよ。

万が一、警察に止められた場合は親に連絡されて、もし親の許可が無かった場合は補導され親が引き取りにこさされるかと思いますが、学校への連絡はないかと思いますよ。

警察は嘘を見抜くので、下手な言い訳せずに「用事で大阪に行っていて、その帰りですが慣れなく新幹線乗るの遅れてしまい、今急いで家に帰っている所です」と言えば緩い警察なら信じてくれるかもです。
切符は回収されてしまうので、予約の際に領収書も発券して証明書として持っておくと万が一の時良いかもしれません。","Are you a high school student? If you walk normally, you won't be stopped unless it's too bad, and you never know if you'll run into the police. My niece, who is also a student, goes to cram school around 11 o'clock, but she comes home in her uniform. In the unlikely event that you are stopped by the police, your parents will be contacted, and if you do not have permission from your parents, your child will be guided and your parents will be sent to pick up your child, but I don't think the school will be contacted. The police can see through lies, so don't make lame excuses and just say, ``I went to Osaka for business, and I'm on my way back, but I wasn't used to it and was late taking the Shinkansen, so I'm rushing home right now.'' Maybe the police will believe you. Tickets will be collected, so it may be a good idea to have a receipt issued at the time of reservation and keep it as proof in case of an emergency."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14289397494,仙台の牛タン弁当って国産の牛タンですか？,Is Sendai's beef tongue bento made with domestic beef tongue?,"もともと仙台牛タンは終戦後米軍が駐留して米国産牛肉が出回っていたのを牛肉を加工したときに余る牛タンやテールといった部分を活用して作られたものだからほとんどが米国産。
国産の店も稀にあるようですが値段が高過ぎるので出回らないです。","Originally, Sendai beef tongue was made from beef tongue and tail that were left over from processing beef when the U.S. military was stationed there after the war and American beef was on the market, so most of it was made in the United States. It seems that there are rare domestic stores, but the prices are too high so they are not available."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13256321133,"Paidyで今日(月末)買うと翌月の2月に支払うことになりますか？それとも翌々月の3月ですか？
コンビニ払いにしてるので、翌月だと手数料もかかるし損した気がします(笑)
ちなみにpaidyを利用するのはAmazonで、お急ぎ便で明日届くみたいです。","If I buy it today (at the end of the month) on Paidy, will I have to pay it in February of the next month? Or the month after next, March? Since I'm paying at a convenience store, I feel like I'm missing out on the fees the next month (lol) By the way, I use Paidy on Amazon, and it seems like it will arrive tomorrow with expedited shipping.

","タイミングによりますが
明日届く=今日発送であれば
翌月2月の支払い(2月頭に請求が届き、2/10までに支払い)

アマゾンは注文時に決済ではなく
発送のタイミングで決済がされます。
ペイディはその月、1日~月末利用分が翌月支払いです。
今日は1/31で1月最後ですので
本日までに発送=決済なので、1月分の利用となるので
2月支払いです。

もし万が一、明日(2/1)、または以降発送された場合
2月分の利用となる為、支払いは3月です。


ペイディの場合
銀行口座引き落としであれば手数料がかからないので
登録してしまった方が安上がり、楽です。
振替・引き落としの登録はどれも1-2週間くらい要するので
ペイディの場合だと、20日までに登録しないと翌月支払いには間に合いません。
引き落としは10日ではなく12日頃となります。

また銀行によっては、振込手数料無料(条件によって回数制限あり)というところがあるので
その銀行で振り込めば、振込手数料が発生しません。","It depends on the timing, but if it arrives tomorrow = If it is shipped today, then the payment will be made in February of the following month (you will receive the bill at the beginning of February and pay by February 10th).With Amazon, payment is made at the time of shipping, not at the time of order. With Paid, the amount used from the 1st to the end of the month will be paid the following month. Today is January 31st, the last day of January, so shipping = payment by today, so it will be used for January, so payment will be made for February. If by any chance it is shipped tomorrow (2/1) or after, the payment will be made in March as it will be used for February. In the case of Payday, there are no fees if you withdraw money from your bank account, so it's cheaper and easier to register. It takes about 1-2 weeks to register for transfers and withdrawals, so in the case of Payday, if you don't register by the 20th, you won't be able to pay in time for the next month. Withdrawals will be made on the 12th instead of the 10th. Also, some banks offer free transfer fees (limitations apply depending on conditions), so if you transfer money through that bank, there will be no transfer fees."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10288916730,"JALの新ステイタスプログラムが発表されましたが、何度読んでも肝心の下記2点がどうなるのか分かりませんでした。どうなるのでしょうか？
1. ステイタスポイントの貯め方はどうなるのか？JALカードの買い物でいくらで何ポイントたまるのか？


2. JGCになるとこれまで通りサファイアが永久に維持されるのか？

3. 新ステイタスプログラムは改善と改悪どちらなのか？


新ステイタスプログラム
https://www.jal.co.jp/jp/ja/jmb/life-status-program/
","JAL's new status program has been announced, but no matter how many times I read it, I couldn't figure out what would happen to the following two important points. What will happen? 1. How do I accumulate status points? How much and how many points can I earn when shopping with JAL Card ? 2. Will sapphire be maintained forever under JGC ? 3. Is the new status program an improvement or a deterioration? New status program
https://www.jal.co.jp/jp/ja/jmb/life-status-program/","JALの新ステイタスプログラムが発表されましたが、何度読んでも肝心の下記2点がどうなるのか分かりませんでした。どうなるのでしょうか？
1. ステイタスポイントの貯め方はどうなるのか？JALカードの買い物でいくらで何ポイントたまるのか？


2. JGCになるとこれまで通りサファイアが永久に維持されるのか？

3. 新ステイタスプログラムは改善と改悪どちらなのか？


新ステイタスプログラム
https://www.jal.co.jp/jp/ja/jmb/life-status-program/
","I briefly read the explanation, but ＞1. How do I accumulate status points? How much and how many points can I earn when shopping with JAL Card?

According to https://www.jal.co.jp/jp/ja/jmb/lsp/service/ , 2000 JAL Card shopping miles will be worth 5 points. If you subscribe to Shopping Premium and spend 200,000 yen on your card, you get 5 points, so if you can earn 1,500 points just by using the card, you'll spend 60,000,000 yen. ＞2. Will sapphire be maintained forever under JGC?

Information on the status of https://www.jal.co.jp/jp/ja/jmb/lsp/star-grade/status/ - There is a sapphire and emerald mark under Oneworld Elite Status. Customers include JGC Three Star. If you look at https://www.jal.co.jp/jp/ja/jalmile/jgc/oneworld.html linked from here , JGC says that ""those who do not have the service status of the FLY ON program"" are oneworld It has been shown to become a sapphire. ＞3. Is the new status program an improvement or a deterioration? I think it's up to each person whether they think it's gotten better or worse, but if you fly on a domestic flight, it's 5 points per flight, so if you save just by flying on domestic flights, it's 300 points. You can include past boarding records, and I think there will be a lot of people who will achieve JGC after riding about 200 times over the next few years, including points from using the card."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10272603365,"【至急】【100枚】仕事と留学について

私は、医療専門卒・医療関係で働いていました。
しかし職場環境が合わず、3社を自己都合で退社しました。
現在社会人5年目になります。
自業自得ですが、だいぶ傷だらけの職歴になり心機一転したいと思っています。

以前より韓国語が気になっていて、友人が中国語の通訳をしているのもあり『私も韓国語を学んでそれを活かしたい』と思うようになりました。
24歳女と年齢もそろそろ厳しいですし、何かに挑戦するにしても退職した今しかタイミングがないと思い、語学学校入学か語学留学を考えています。

今まで外国語と無縁の環境にいたので、何から手をつければ良いか分かりません。
『社会人になってから語学学校に入学・語学留学をした方』がいればその方に回答して欲しいです。
昨日決心した事で、何から手をつければ良いか分かりません。
貯金はあるので、ある程度の出費・自己投資は覚悟の上です。

・何から始めるべきか
・語学学校に入学するにはどうすれば良いか
・語学留学するにはどうすれば良いか
・1年で言語を身につけ、通訳になれるか
(もしくは活かした職につけるか)
","[Urgent] [100 photos] About work and study abroad I am a medical graduate and worked in the medical field. However, the work environment did not suit me and I left the three companies for personal reasons. I am currently in my 5th year as a working adult. It's my own fault, but I've had quite a few blemishes in my work history and would like to make a fresh start. I've been interested in Korean for a while, and since my friend works as a Chinese interpreter, I started thinking, ``I want to learn Korean and put it to good use.'' I'm a 24-year-old woman, so I'm getting close to my age, and I think now is the perfect time to try something new, so I'm thinking about enrolling in a language school or studying abroad. I have never been in an environment where I have had any experience with foreign languages, so I don't know where to start. If there is someone who has enrolled in a language school or studied abroad after entering the workforce, I would like that person to respond. I made a decision yesterday and I don't know where to start. I have savings, so I am prepared to spend a certain amount of money and invest in myself. ・Where to start? ・How to enroll in a language school ・How to study abroad ・Can you learn a language in one year and become an interpreter (or get a job using it)?","・何から始めるべきか
語学の勉強からです。
NHKの語学講座がとっつきやすいと思います。
https://gogakuru.com/index.php

・語学学校に入学するにはどうすれば良いか
「韓国語 通訳 学校」「韓国語 語学学校」で検索すれば簡単に見つかります。

・語学留学するにはどうすれば良いか
「韓国留学 語学堂」で検索して留学業者を探してください。

・1年で言語を身につけ、通訳になれるか
(もしくは活かした職につけるか)
なれません。それが出来たら、誰でも通訳になれます。
韓国語は日本語と親和性が高い言語ですが、それでも１～２年の語学留学では簡単な日常会話がせいぜいでしょう。

通訳には、瞬時に変換できる能力と訓練が必要なんです。
だから、日本の通訳専門学校へ入学して、徹底的な訓練を受けるのが確実だと思います。

ただね、日韓バイリンガルは需要がありません。
朝鮮学校を出た在日韓国人や日本へ留学した韓国人が大勢いるからです。
韓国は就労ビザが難しいので、ワーキングホリデーや韓国人との結婚以外では現地就職は殆ど不可能です。
医療系なら、韓国人の患者さんが来たときにボランティアで簡単な通訳する程度だと思います。","・Where should I start? Start by studying the language. I think NHK's language courses are easy to follow.
https://gogakuru.com/index.php

・How to enroll in a language school? You can easily find it by searching for ""Korean interpreting school"" or ""Korean language school."" ・What should I do to study abroad? Search for ""Korean study abroad language school"" to find a study abroad agency. ・Will I be able to learn a language in one year and become an interpreter (or get a job where I can make use of it)? If you can do that, anyone can become an interpreter. Korean is a language that has a high affinity with Japanese, but even so, if you are studying abroad for one or two years, you will probably only be able to have simple everyday conversations. Interpreters require the ability and training to convert instantly. Therefore, I think it is a good idea to enroll in a Japanese interpreting school and receive thorough training. However, there is no demand for Japanese-Korean bilinguals. This is because there are many Koreans living in Japan who graduated from Korean schools and Koreans who studied abroad in Japan. It is difficult to obtain a work visa in South Korea, so it is almost impossible to get a job locally unless you go on a working holiday or marry a Korean. If you're in the medical field, I think you could volunteer to provide simple interpretation when Korean patients come in."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10289426280,"モンストについてです
運技+と運極になったキャラのクリティカルをかけたら何倍になりますか？
運極になったらクリティカルの出やすさが上がるらしいのですが、ラックが上がるごとにどれくらいの%で上昇するかがわからないので計算方法とかも教えていただけると幸いです
","Regarding Monster Strike, how many times will it be multiplied by the luck skill + and the critical hit of the character who became the luck pole? It seems that the probability of getting a critical hit increases when it becomes a luck pole, but I don't know how much percentage it increases each time the rack increases, so I would appreciate it if you could tell me how to calculate it.","クリティカルは入手方法、撃種、戦型によって確率が変動します。降臨キャラは0.01〜1%でガチャキャラは1%〜2%のような感じになっています。
運技＋は2.2倍なので1番確率が高いキャラでも5、6％ですね。
あくまで確率の話なので出たらラッキーくらいの感じでプレイしましょう！","The probability of a critical hit varies depending on the method of acquisition, type of attack, and type of battle. Advent characters are 0.01-1%, and gacha characters are 1%-2%. Luck+ is 2.2x, so even the character with the highest probability is only 5 or 6%. It's all about probability, so play as if you're lucky if you get it!"
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11283781831,"LineモバイルからLINEMOに変更すると割引キャンペーンがあったので変更しました。
LINEMOのSIMは届きましたがLineモバイルのSIMはどうすればいいのでしょうか？
調べても回答が得られません。
","I changed from LINE Mobile to LINEMO because there was a discount campaign. I received my LINEMO SIM, but what should I do with my Line Mobile SIM? I've searched but can't find an answer.","ヘルプに書いてありました。

LINEモバイル解約時にSIMカードの返却は必要ですか？
ご解約手続き後に、SIMカードを送料自己負担でご返却いただく必要があります。
下記の住所宛までご送付ください。

▼SIMカード返送先
〒272-0001
千葉県市川市二俣678-55
ESR市川ディストリビューションセンター3F 南棟
LINEモバイル 返却窓口

【注意事項】
※必ずご解約手続きを行った後にご返却ください。SIMカードの返却だけでは解約となりませんのでご注意ください。
※SDカードやSIMトレー、スマホ本体など、SIMカード以外を誤って同封しないようにご注意ください。万が一同封されても返送できません。

なので適当な封筒に直接入れて80円切手を貼って送りましょう。または郵便局に直接持って行って支払う。","It was written in the help. Do I need to return my SIM card when canceling my LINE Mobile subscription? After completing the cancellation procedure, you will need to return the SIM card at your own expense. Please send it to the address below. ▼SIM card return address: 678-55 Futamata, Ichikawa City, Chiba Prefecture 272-0001 ESR Ichikawa Distribution Center 3F South Building LINE Mobile Return Counter [Notes] *Please be sure to complete the cancellation procedure before returning the SIM card. Please note that simply returning the SIM card does not cancel the contract. *Please be careful not to accidentally include anything other than a SIM card, such as an SD card, SIM tray, or smartphone itself. Even if the item is enclosed, it cannot be returned. So, put it directly in an appropriate envelope, put an 80 yen stamp on it, and send it. Or take it directly to the post office and pay."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11291901246,"こんにちは！
突然ですが知りたいことがあります！

湯田温泉駅から神戸まで、鈍行でいったらいくらかかるのか知りたいです！

また、それがわかるサイトやアプリなどあれば教えて欲しいです！","Hello! Suddenly, there's something I want to know! I would like to know how much it would cost to take a slow train from Yuda Onsen Station to Kobe! Also, if there are any sites or apps that can help with this, please let me know!","運賃7480円ですね。
Yahoo路線情報で下の方にある、「新幹線」「有料特急」「高速バス」「空路」「フェリー」のチェックを外すと調べられます。","The fare is 7480 yen. You can find out by unchecking ``Shinkansen'', ``Paid Limited Express'', ``Highway Bus'', ``Air Route'', and ``Ferry'' at the bottom of Yahoo Route Information."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12291901207,"ライン 一人だけトーク履歴消える
相手からブロックされてるのでしょうか？

一人だけトーク履歴が消えてる人を発見しました
数ケ月に一度くらいしか連絡を入れない人なので
いつから消えていたか分かりません

こういった原因をネットで検索すると
1．自分がトーク履歴を削除した
２．相手が退出した、となっている
３，相手が別のアカウントにした

１，２は無いですし
３は相手のアイコンを見てもインスタなどのリンクを貼っていて
現在も使用していることが分かります

残念ながら自分のトークバックアップが設定されてませんでした
","Is it possible that you are being blocked by only one person on LINE whose chat history disappears? I found only one person whose chat history disappeared.I don't know when it disappeared because he only contacts me once every few months.When I searched the internet for the cause of this, I found 1. 2. I deleted my chat history. In 3, it says that the other party has left, and in 1 and 2, the other party has not changed to another account, and in 3, when you look at the other party's icon, you can see that they are still using Instagram, etc. I understand. Unfortunately, my talk backup was not set up.",相手からブロックされてても相手とのトーク履歴が消えることはありません。,"Even if you are blocked by the other party, your chat history with the other party will not be deleted."
Japanese,Yahoo Japan,Author,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14291901089,"不動産投資について質問です

高い不動産が買えず、○○ヶ丘など程々人が
住んでそうなエリアの古い戸建て駐車場付き
新幹線有名駅から電車数駅位の物件、角地を
買おうか迷っています。
その家について調べた方がいい内容は
どんな事でしょうか？

例えば、土砂災害警戒区域、市街化区域、
ガスは都市ガスかプロパンか、下水道、上水道か、人は何年住んでないか、事故はなかったか、雨漏りはないか、近隣トラブル、騒音、田舎だと臭いなど、シロアリ、管理をしてくれる不動産か、駐車場は軽か、普通車か建て替えは可能か？思いつきましたが。","I have a question about real estate investment.I can't buy expensive real estate, so I'm wondering whether to buy an old detached house with a parking lot in an area where people seem to live, such as ○○gaoka, and a few train stops from a famous Shinkansen station, or a corner lot. What should I find out about the house? For example, landslide warning areas, urbanization areas, whether the gas is city gas or propane, whether it is sewage or water supply, how long people have not lived there, whether there have been any accidents, whether there are rain leaks, troubles with neighbors, noise, and whether it is a rural area. Does the property have odors, termites, etc., is it well managed, does it have a light parking lot, is it a regular car, or can it be rebuilt? I just thought of it.","一番大事な事は、借り手が居るのか？
いくらの家賃なら払ってくれるのか？
それで儲かるのか？

他にも賃貸だと自治会加入は嫌がられます。
従って、あなたが代行する事になるでしょう。
又は、金払って便利屋に頼むか？","The most important thing is, are there any renters? How much rent will you pay? Will it make money? In addition, if you are renting, joining a residents' association is discouraged. Therefore, you will be acting on my behalf. Or should I pay a handyman?"
