annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
896,Kirundi (Rundi),Kubera iki bitemewe ko umukenyezi avuza ingoma?,Why is it prohibited for women to play drums?,rn-02,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
896,Kirundi (Rundi),Inkinzo z'abavyinyi b'imico kama zisigura iki?,What is the meaning of wooden shields of traditional dancers?,rn-03,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
896,Kirundi (Rundi),Umugenzo wo kwatira usigura iki?,What is the meaning of the initiation tradition?,rn-04,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
896,Kirundi (Rundi),Urwarwa rukorwa gute?,How banana beer is produced?,rn-05,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
800,Kirundi (Rundi),Kuberiki imigenzo y'abahebera ikundwa cane nabantu ba Leta?,Why do many people in the government love the tradition of Hebera drama dance?,rn-07,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
800,Kirundi (Rundi),Kuberiki Igihugu cacu kidatera imbere nk'ibindi?,Why is our country not developing like others?,rn-08,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
800,Kirundi (Rundi),Kuberiki inzara ari nyinshi mu gihugu cacu?,Why is there so much hunger in our country?,rn-09,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
800,Kirundi (Rundi),Kuberiki batanga inkwano ku muryango w'umukobwa imbere yuko uwo mukobwa agenda kwabirwa?,Why do they give money to the girl's family before she gets married?,rn-10,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
800,Kirundi (Rundi),Kubera iki Tanganyika arico kiyaga gikundwa cane n'abanyagihugu kuva kera?,Why is Lake Tanganyika the lake most beloved by the people since ancient times?,rn-12,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
800,Kirundi (Rundi),Isoko rya Bujumbura ryahiye gute?,How did the Bujumbura market burn?,rn-13,rn,TRUE,FALSE,TRUE,645,164,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,Burundi,12-13M,TRUE
