annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
100,Pashto,جرګه په پښتني ټولنه کې څه برخه رول لري؟,What role does Jirga play in the Pashtun community?,ps-01,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,د کلام میله ولې لمانځل کیږي؟,Why is Kalam Mela celebrated?,ps-02,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,چپلي کباب څنګه چمتو کېګې کړو؟,How to prepare Chapli Kabab?,ps-03,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,په پښتني موسیقۍ کې رباب څنګه غږیږي؟,How is the Rubab played in Pashtun music?,ps-04,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,"د ""اتن نڅا"" څنګه ترسره کیږي؟","How is the ""Attan Dance"" performed?",ps-05,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,شین خال څه شی دی؟,"What is ""Shen Khal""?",ps-06,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,شیرینی خوری څه شی دی؟,What is Shirini-Khori?,ps-07,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,دودیزه لوبه 'یندا' څنګه لوبیږي، او د هغې اساسي اصول څه دي؟,"How is the traditional game ""Yenda"" played, and what are its basic rules?",ps-08,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,"د ""اشک"" خوراک د خوړو د چمتو کولو طریقه څه ده؟","What is the method for preparing the ""Ashak"" food?",ps-09,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,"رسم ""غګ"" څه معنی لري؟","What does the ritual ""Ghag"" signify?",ps-10,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,چاربیته څه شی دی؟,What is Charbeta?,ps-11,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
100,Pashto,د کابلی پلاو د چمتو کولو دودیزه طریقه څه ده؟,"What is the traditional method for preparing ""Kabuli Pulao""?",ps-12,ps,TRUE,TRUE,TRUE,18808,451,Indo-European,Indo-Iranian,fusional,Pashto alphabet,SOV,"Afghanistan, Pakistan and Iran",58.8M,TRUE
