Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English)
Russian,Yandex,5c914d02bb61a00001d88ec8,https://yandex.ru/q/question/vozmozhno_li_v_rossii_kuda_nibud_za_esli_49f81e98/?answer_id=298cb17d-7725-4489-b33b-9610c6c9df94#298cb17d-7725-4489-b33b-9610c6c9df94,"Возможно ли в России обратиться за бесплатной психологической помощью, если ты не из семьи пострадавших, а просто хочешь излить душу?","Is it possible in Russia to apply for free psychological help if you are not from the family of victims, but just want to pour out your soul?","1). Можно получить бесплатную так называемую ""демо-консультацию"" или даже несколько консультаций у разных специалистов на b17. На этом ресурсе зарегистрированы десятки тысяч психологов и специалистов смежных профессий. Вот ссылка на страничку с кратким описанием ""демок"". Следует иметь в виду, что консультирование проводится в чат-формате прямо на сайте и остаётся доступным для чтения всем. Вы, разумеется, можете зарегистрироваться под анонимным ником.
Можно попробовать обратиться к конкретному специалисту. Можно описать проблему и вас возьмёт тот специалист, который посчитает, что может помочь. Выгода специалиста в том, что он как бы добавляет эту консультацию в своё портфолио и каждый потенциальный клиент получает возможность ""заглянуть"" к нему на консультацию, поэтому будьте уверены, что специалист будет стараться выполнить свою работу.
Наконец, здесь можно создать ветку на форуме. Это уже не демо-консультация и в ветке форума могут участвовать не только специалисты, но и обычные пользователи, но комментарии от сообщества профессионалов вы получите наверняка.
2). Заявляют, что открыты для всех - http://pomogaya-drugim.ru/. Насколько я понимаю, бесплатную помощь оказывают психологи-инвалиды.
3). Бесплатная психологическая помощь онлайн, анонимно, 24/7 (проект коммерческий, для кого и с какими проблемами тоже не указано, скорее всего, какое-то время бесплатно, затем платно) - https://psysovet.ru/
4). Бесплатная телефонная психологическая помощь «Ярославна» (тоже, кажется, безадресная, номер только московский) - 8 (495) 120 16 60, https://yaroslavna.help/
5). Психологические консультации стажеров и выпускников Института Практической Психологии и Психоанализа (это один из ведущих психологических вузов страны) бесплатно - https://psychol.ru/
6). Центр психологии «Форсайт». До 5 бесплатных консультаций от выпускников Центра. Консультации в порядке очереди, ожидание может быть от 1 до 3 месяцев - https://f-ps.ru/
7). В Москве (как и должно быть в обособленном богатом социальном государстве), получше. Можно запись на очную консультацию здесь - +7 (499) 173-09-09, https://www.mos.ru/otvet-zdorovie/kak-poluchit-psihologicheskuyu-pomosch/
Нужно обязательно воспользоваться поиском и попробовать найти горячую линию или ресурс, где оказывают поддержку по вашей проблеме. Также имеет смысл поискать тематические форумы, где вы можете найти людей со схожими проблемами.
Не совсем бесплатно, но всё же молодые специалисты-психологи часто на первых порах демпингуют и работают за символическую плату (от 500 рублей), чтобы набраться опыта и запустить практику. Поищите объявления на Яндекс.услугах, на Авито, в Профи.ру, на Юле, на том же B17 и во всех соцсетях.
Можно предложить свою цену. Например, на Яндекс.услугах или Профи.ру.
Смысл такой: вы создаёте объявление заказчика, подробно описав проблему, честно пишете, что можете заплатить за консультацию, положим, 300 руб. Все специалисты, которые подписаны на темы, с которыми связана ваша проблема, получат ваше объявление и кто-то наверняка откликнется. Вы посмотрите профили специалистов и решите, чьё предложение принять. Можно даже попробовать получить консультацию бесплатно. Есть вероятность, что и в этом случае вы получите отклик.
Прежде, чем обращаться за помощью, обязательно хорошо сформулируйте ваш главный запрос. Т.е. то, что вас волнует в наибольшей степени в данный момент. Также нужно попытаться сформулировать, почему ваша проблема возникла (ваше мнение тезисно).
В дополнение как практикующий психолог я очень советую написать 20-30 предложений о своей работе/учёбе, об отношениях с родными, близкими, с людьми вообще, о своём детстве, здоровье, своих особенностях (физических, эмоциональных, интеллектуальных, социальных). А также тот результат, к которому вы хотите прийти (вот здесь чем детальнее, тем лучше).
Будет ещё лучше, если вы заранее напишете (напечатаете) всё это в комфортной обстановке заблаговременно (к примеру за сутки, потому что наверняка вы вспомните и захотите что-то добавить) до обращения к психологу. Ведь поскольку задача потратить как можно меньше денег и времени психолога, то это поможет немного его сэкономить
на расспросах (поверьте, ваше небольшое обдуманное сочинение о себе - идеальное начало консультации для любого психолога).
на включении в конструктивную работу, поскольку вы уже здесь и сейчас сами немного лучше осознаете свою проблему, выделите существенное (хоть и субъективно).","1). You can get the free so-called ""demo consultation"" or even several consultations with different specialists on B17. On this resource, tens of thousands of psychologists and specialists of related professions have been registered. Here is a link to a page with a brief description of ""Democ"". It should be borne in mind that counseling is carried out in a chat format directly on the site and remains affordable for reading to everyone. Of course, you can register under an anonymous nickname.
You can try to contact a specific specialist. You can describe the problem and you will be taken by the specialist who will consider what can help. The benefit of a specialist is that he, as it were, adds this consultation to his portfolio and every potential client gets the opportunity to “look” at him for a consultation, so be sure that the specialist will try to do his job.
Finally, here you can create a branch on the forum. This is no longer a demo consultation and not only specialists, but also ordinary users can participate in the forum branch, but you will receive comments from the community of professionals for sure.
2). They say that they are open to everyone - http://pomogay-drugim.ru/. As far as I understand, psychologists-disabled psychologists provide free assistance.
3). Free psychological assistance online, anonymously, 24/7 (commercial project, for whom and with what problems are also not indicated, most likely for some time for free, then paid) - https://psySovet.ru/
4). Free telephone psychological assistance ""Yaroslavna"" (also, it seems, non -dudes, the number is only Moscow) - 8 (495) 120 16 60, https://yaroslavna.help/
5). Psychological consultations of interns and graduates of the Institute of Practical Psychology and Psychoanalysis (this is one of the leading psychological universities of the country) free - https://psychol.ru/
6). Center for Psychology ""Forsyt"". Up to 5 free consultations from the graduates of the center. Consultations in order of order, waiting can be from 1 to 3 months - https://f-ps.ru/
7). In Moscow (as it should be in a separate wealthy social state), better. You can record full-time consultation here-+7 (499) 173-09-09, https://www.mos.ru/otvet-zdorovie/kak-poluchit-psihologicuyu-pomosch/
You must definitely use the search and try to find a hot line or resource where they support your problem. It also makes sense to look for thematic forums where you can find people with similar problems.
Not quite free, but still young psychologists often dump and work for a symbolic fee (from 500 rubles) to gain experience and start the practice. Look for ads to Yandex. services, Avito, in Prof.ru, on Julia, on the same B17 and in all social networks.
You can offer your price. For example, on Yandex. Services or Prof.ru.
The meaning is this: you create an announcement of the customer, having described in detail the problem, honestly write that you can pay for the consultation, let's say, 300 rubles. All specialists who are signed on the topics that are related to your problem will receive your ad and someone will probably respond. You look at the profiles of specialists and decide whose proposal to accept. You can even try to get advice for free. There is a chance that in this case you will receive a response.
Before you seek help, be sure to formulate your main request well. Those. What worries you to the greatest extent at the moment. You also need to try to formulate why your problem arose (your opinion is thesis).
In addition as a practicing psychologist, I really advise you to write 20-30 offers on my work/study, about relations with relatives, friends, with people in general, about their childhood, health, their own characteristics (physical, emotional, intellectual, social). And also the result you want to come (here the more detailed, the better).
It will be even better if you write (print) in advance all this in a comfortable atmosphere in advance (for example, in a day, because you will probably remember and want to add something) until addressing a psychologist. After all, since the task is to spend as little money and time as possible, this will help to save a little
In questioning (believe me, your small deliberate essay about yourself is the perfect start of a consultation for any psychologist).
On inclusion in constructive work, since you are already here and now you yourself are a little better aware of your problem, highlight the essential (albeit subjective)."
Russian,Yandex,5c914d02bb61a00001d88ec8,https://yandex.ru/q/language/8174141185/?answer_id=9c6ec2e0-265a-4456-842d-845814773b56#9c6ec2e0-265a-4456-842d-845814773b56,"Почему в русских школах учат, что буква «ы» никогда не пишется в начале слова, хотя она пишется в начале некоторых имён собственных?
Самый известный пример сегодня это, наверное, Ким Чен Ын, но есть ещё примеры — корейские, якутские, эстонские, вьетнамские, турецкие, чувашские и другие. Определены ли где-либо правила правописания этой буквы?","Why do Russian schools teach that the letter ""s"" is never written at the beginning of a word, although it is written at the beginning of some proper names?
The most famous example today is probably Kim Jong-un, but there are other examples - Korean, Yakut, Estonian, Vietnamese, Turkish, Chuvash, and others. Are the rules for spelling this letter defined anywhere?","При составлении школьной программы методисты отталкиваются от возрастных психологических особенностей школьников. В младшем школьном возрасте детям длинных рядов исключений лучше не давать. Маленький человек только пришел в этот мир и у него хватает сложностей, поэтому информацию подают так, чтобы она выглядела простой и надежной. Когда школьник освоится с упрощенной картиной мира, можно потихоньку усложнять.
Что касается правил передачи иноязычных имен кириллицей, то единственно верного правила пока нет. На практике переводчики руководствуются либо традицией (привычно читателю), либо графикой (выглядит похоже на письме), либо фонологией (похоже звучит). В последнее время преобладает ""фонологический"" принцип, но это не значит, что остальные следует признать ложными, неправильним или нерелевантными.","When compiling the school curriculum, methodologists are repelled from age -related psychological characteristics of schoolchildren. In primary school age, it is better not to give exceptions to children of long rows of exceptions. The little man only came to this world and he has enough difficulties, so the information is presented so that it looks simple and reliable. When the schoolboy gets used to the simplified picture of the world, you can slowly complicate.
As for the rules for the transfer of foreign names to Cyrillic, the only right rule is not yet. In practice, translators are guided either by tradition (familiar to the reader) or graphics (looks like a letter), or phonology (it seems to sound). Recently, the “phonological” principle has prevailed, but this does not mean that the rest should be recognized as false, incorrect or irrelevant."
Russian,Yandex,5c914d02bb61a00001d88ec8,https://yandex.ru/q/past/7033831169/?answer_id=13241917-2ee4-4486-9173-3a59d34386cf#13241917-2ee4-4486-9173-3a59d34386cf,"Почему до конца XVII века Россия не была активным участником европейской внешней политики?
Были контакты в основном с граничащими государствами (Речь Посполитая, Швеция), а вот собственных сношений с европейскими монархиями в это время практически не наблюдается.","Why was Russia not an active participant in European foreign policy until the end of the 17th century?
There were contacts mainly with bordering states (Polish-Lithuanian Commonwealth, Sweden), but at that time there were practically no contacts with European monarchies.","Основная причина - нахождение России на периферии Вестфальской системы международных отношений, т.е. далеко на восточном фланге от ключевых стран-участниц большой европейской политики (Франция, Испания, Австрия, Священная Римская Империя, Соединенные Провинции).
Конкретно это выражалось в следующем:

удаленность России от основных торговых путей и судоходных маршрутов (Средиземноморская и Трансатлантическая торговля);
отсутствие полноценных выходов в Балтийское и Чёрное моря, невозможность активно взаимодействовать с западноевропейцами;
техническое отставание и общий уровень экономики России, ослабленный конфликтами второй половины XVI века и, конечно же, Смутным временем;
отсутствие интереса российского боярства вовлекаться в международные отношения с иностранными державами, их фокус на борьбе придворных группировок (первые посольства в ту же Францию и Голландию были отправлены лишь в середине века).
Однако Россия со временем оказалась вовлечена в активные международные отношения в Европе. Спасибо стоит сказать Франции и Османской империи. Первые пытались создать против своего главного врага на континенте, Австрии, т.н. ""восточный барьер"" из ряда стран, в т.ч. Швеции и Речи Посполитой, с которыми у России были тесные связи - получалось международное ""двойное рукопожатие"". Что до турок, то именно к концу XVII века они достигли пика своего военного могущества и угрожали Центральной Европе, а потому европейцы искали любых союзников для борьбы с султаном. В этом контексте северное по отношению к Турции географическое положение России, ее возможность отвлекать силы османов, воюя с Крымским ханством, были выгодны европейцам.","The main reason is Russia to be on the periphery of the Westphalian system of international relations, i.e. Far on the eastern flank from the key member countries of the Great European Policy (France, Spain, Austria, the Holy Roman Empire, the United Provinces).
Specifically this was expressed as follows:

Russia's remoteness from the main trade routes and shipping routes (Mediterranean and transatlantic trade);
the lack of full -fledged exits to the Baltic and Black Seas, the inability to actively interact with the Western Europeans;
the technical lag and the general level of the Russian economy, weakened by the conflicts of the second half of the 16th century and, of course, vague time;
The lack of interest of Russian boyars to get involved in international relations with foreign powers, their focus on the struggle of court groups (the first embassies to the same France and Holland were sent only in the middle of the century).
However, Russia over time was involved in active international relations in Europe. Thank you should say to France and the Ottoman Empire. The former tried to create against their main enemy on the continent, Austria, the so -called ""Eastern barrier"" from a number of countries, including Sweden and the Commonwealth, with whom Russia had close ties - the international ""double handshake"" was obtained. As for the Turks, it was by the end of the 17th century that they reached the peak of their military power and threatened Central Europe, and therefore Europeans were looking for any allies to combat the Sultan. In this context, the northern geographical position of Russia in relation to Turkey, its ability to distract the forces of the Ottomans, fighting with the Crimean Khanate, were beneficial to Europeans."
Russian,Yandex,5c914d02bb61a00001d88ec8,https://yandex.ru/q/question/pochemu_germaniia_v_voine_ishchla_do_a_09f522bb/?answer_id=9a8e1273-b7c5-4fad-9572-b217a3fea3ba#9a8e1273-b7c5-4fad-9572-b217a3fea3ba,"Почему Германия во Второй мировой войне дошла до Москвы, а потом СССР завоевал Берлин?",Why did Germany in World War II reach Moscow and then the USSR conquered Berlin?,"СССР бросил к Москве все силы, которые были в центре, на Урале и в Сибири, плюс с Урала подъехала новая техника и боеприпасы (их изготавливали в Ижевске, Челябинске и других городах).
Германия дошла до Москвы уже в декабре, то есть через полгода после начала войны, хотя планировала вдвое раньше. Большие потери, сильные морозы (-30 уже в ноябре), контрнаступление, вот и пришлось идти назад и захватывать попутные города.

СССР получал материальную помощь от Союзников в лице США и Британии, Гитлер столь мощной поддержки не имел, хотя у него были союзники, но это в основном страны меньше самой Германии.

Возможно, ещё дело в боевом духе. Немцев заставляли идти неизвестно куда и неизвестно зачем, а для советских людей это был дом родной, ясное дело, что они будут его защищать.

Война затянулась, немцы здорово просчитались, после Сталинградской битвы (в современном Волгограде) их положение заметно пошатнулось, особенно учитывая, что там сдалась целая армия.

Поскольку задача взять Москву не была выполнена, Гитлеровская Германия сосредоточилась на других целях: Ленинград и Сталинград, а также множестве других городов, но эти два были для них целью №1. Положение на фронте, можно так сказать, устаканилось на какое-то время. Это позволило СССР набрать и людей, и техники, и стратегии новые разработать.

Тем временем союзные нам войска поджимали Германию в Африке, Юго-восточной Азии, а потом и в Западной и Северной Европе. Таким образом, союзники зажимали немецкие войска со всех сторон к Берлину, который и взяли в мае 1945-го.

// Я не историк, но многое читал о Второй мировой вне школьных учебников. Такое количество минусов, вполне вероятно, связано с упоминанием иностранной помощи, значимость которой ватники усердно отрицают, а также что не упомянул О ВЕЛИКОГО ТОВАРИЩА С.","The USSR threw all the forces that were in the center, in the Urals and in Siberia, plus new equipment and ammunition from the Urals (they were made in Izhevsk, Chelyabinsk and other cities).
Germany reached Moscow in December, that is, six months after the start of the war, although it planned twice as earlier. Large losses, severe frosts (-30 already in November), a counterattack, so I had to go back and capture passing cities.

The USSR received material assistance from the allies in the person of the USA and Britain, Hitler had no such powerful support, although he had allies, but these are mostly less than Germany itself.

Perhaps still the business is in a fighting spirit. The Germans were forced to go unknown where and it is not known why, but for Soviet people it was a home home, clear that they would protect it.

The war dragged on, the Germans miscalculated great, after the Battle of Stalingrad (in modern Volgograd) their situation was noticeably shaken, especially considering that an entire army surrendered there.

Since the task of taking Moscow was not fulfilled, Hitler Germany focused on other purposes: Leningrad and Stalingrad, as well as many other cities, but these two were the goal of No. 1. The situation at the front, so to speak, was tired for a while. This allowed the USSR to recruit people, techniques, and new strategies to develop.

Meanwhile, the troops allied to us settled Germany in Africa, Southeast Asia, and then in Western and Northern Europe. Thus, the allies clamped German troops from all sides to Berlin, which was taken in May 1945.

// I am not a historian, but I read a lot about the Second World War outside school textbooks. Such a number of minuses is likely to be associated with the mention of foreign assistance, the significance of which quilted jackets earnestly deny, and also that he did not mention the great comrade S."
Russian,Yandex,5c914d02bb61a00001d88ec8,https://yandex.ru/q/question/kakie_sezonnye_tovary_seichas_na_pike_c91f5257/?answer_id=8a257645-ca52-4212-886c-751549b2ea10#8a257645-ca52-4212-886c-751549b2ea10,"Какие сезонные товары сейчас находятся на пике актуальности?
Есть немало товаров, которые обладают сезонностью, мне кажется, сложно найти какую-то группу товаров, на которую не влияют времена года. Лето – затишье и период переосмысления для многих отраслей, предприятий, профессий. Осень – бум заказов и нововведений. Согласны с этим?","What seasonal products are at their peak right now?
There are quite a few products that are seasonal, I think it's hard to find any product group that isn't affected by the seasons. Summer is a lull and a period of rethinking for many industries, businesses and professions. Fall is a boom in orders and innovation. Do you agree with this?","Сезонность - это вообще одна из любимых тем категорийных менеджеров, недаром классическая теория выделяет до 15% всего ассортимента розничных магазинов именно на сезонные товары!
Если же погрузиться в ""моменты потребления"", то можно увидеть, что есть сезонные товары нескольких типов:
событийные - например, Лига чемпионов/Чемпионат мира по футболу, когда под большое событие во внешнем мире стоит усилить самые потребляемые категории (например, пиво и чипсы, благо многие производители даже создают новые дизайны и вкусы под такой occasion-кейс)

погодные - так например, жаркое лето 2021г повысило продажи мороженого (на 27% для мск) и кваса (на рекордные 49%) - подробнее писал в Дайджесте

временные - лето, как известно, время отпусков, а потому повышается спрос на товары для дачи/сада и путешествий (подгузники, маленькие упаковки шампуней/гелей/зубных счеток и так далее),
ситуативные - неожиданно появившаяся мода на тот или иной продукт, еще недавно сложно было встретить маленькую розничную точку без симпл-димпл на прикассе, а сейчас я уже не могу и вспомнить что это такое без поиска в Яндексе ;-)
Таким образом, по такой несложной схеме можно прикинуть сезонные товары и на текущую осень 2021г, например, в рознице (одежда, электроника и DIY немного другая история, хотя и рядом):
Главное событие осени - День знаний, поэтому канцтовары, школьные мелочи и даже одежда делового стиля (колготки, спортивки и прочее) вполне неплохо продадутся в это время. Если говорить о спортивных мероприятиях - то это может быть только Чемпионат Европы по плаванью в Казани в конце октября, но популярность данного вида спорта в России невелика, хотя и можно запустить тематические распродажи ассортимента для пловцов (плавки, шапочки, ласты), если они остались нераспроданные с лета.
Если говорить про сам сезон, то, конечно, осень - время даров природы, поэтому свежие фрукты/овощи, мед, грибы и домашнее вино неплохо могут поднять ваши продажи.
Если посмотреть на текущую погоду за окном, то можно отметить очень резкое наступление холодов, без раскачки как ранее, поэтому зонты/дождевики/средства от кашля и простуды - вполне хорошо продадутся в торговых точках. Даже необязательно брать лицензию на лекарства - пастилки и леденцы отлично справляются с болью в горле!

Отдельно можно обратить внимание на осенние аксессуары вроде перчаток, пледов, свечей и наборов для глинтвейна - тепла много не бывает.
Для определения моды можно обратить внимание на динамику продаж маркетплейсов (WB, Ozon, AliExpress и т.д.) или поисковые запросы (к примеру, в Google Trends) и проанализировать будущие (к примеру, если виден спрос на профессиональные праздники, то может есть смысл подготовить по паре предложений к каждому).
Как мы видим сейчас, в трендах фильм ""Дюна"" (почему бы не предложить товары для совместного просмотра - попкорн и колу), День шоколада 13 сентября (можно было заранее подготовить наборы для готовки горячего шоколада для продажи в этот день) и День Танкиста (коллаборация с War Gaming напрашивается сама собой).



Таким образом, в общих чертах можно подобрать и подготовить ассортимент почти на любой сезон, но стоит всегда иметь в виду, что ситуация может измениться в любой момент и не каждый сезон отыграет как вы распланировали.","Seasonality is generally one of the favorite topics of categorical managers, not without reason the classical theory allocates up to 15% of the total range of retail stores for seasonal goods!
If you immerse yourself in ""moments of consumption"", then you can see that there are seasonal goods of several types:
Events - for example, the Champions League/World Cup, when, under a large event in the outside world, it is worth strengthening the most consumed categories (for example, beer and chips, since many manufacturers even create new designs and tastes for such an OCCASION CASE)

Weather - for example, the hot summer of 2021 increased the sales of ice cream (by 27% for Moscow time) and kvass (for a record 49%) - wrote more in Digest

Temporary - summer, as you know, the time of vacations, and therefore the demand for goods for cottage/garden and travel is increasing (diapers, small packaging of shampoos/gel/dental accounts, and so on),
situational ones-an unexpected fashion for a particular product, until recently it was difficult to meet a small retail point without a Simple-wrestle on the order, and now I can’t remember what it is without a search in Yandex ;-)
Thus, according to such a simple scheme, you can estimate seasonal goods and for the current autumn 2021, for example, in retail (clothing, electronics and DIY a slightly different story, albeit nearby):
The main event of autumn is the Day of Knowledge, so stationery, school trifles and even business style clothes (tights, sportswear, etc.) will sell quite well at this time. If we talk about sporting events, then this can only be the European swimming championship in Kazan at the end of October, but the popularity of this sport in Russia is small, although it is possible to launch thematic sales of the assortment for swimmers (swimming trunks, hats, flippers) if they remained Unperesed in the summer.
If we talk about the season itself, then, of course, autumn is the time of nature of nature, so fresh fruits/vegetables, honey, mushrooms and homemade wine can be well raised by your sales.
If you look at the current weather outside the window, you can note a very sharp onset of cold weather, without swing as before, so umbrellas/raincoats/products for coughing and colds - will be well sold in retail outlets. It is not even necessary to take a license for medicines - lozenges and lollipops do a great job with sore throat!

Separately, you can pay attention to autumn accessories like gloves, blanks, candles and sets for mulled wine - there is no heat much.
To determine the fashion, you can pay attention to the dynamics of sales of marketplaces (WB, Ozon, AliExpress, etc.) or search queries (for example, in Google Trends) and analyze future (for example, if the demand for professional holidays is visible, then it may be possible The meaning is prepared by a couple of sentences for everyone).
As we see now, in the trends the film ""Dune"" (why not offer goods for joint viewing - popcorn and stake), Chocolate Day on September 13 (it was possible to prepare sets for cooking hot chocolate for sale on this day) and Tanker's Day (Tanker Day ( The collaboration with War Gaming suggests itself).



Thus, in general terms, you can choose and prepare the assortment for almost any season, but it is worth always keeping in mind that the situation can change at any time and not every season will play as you planned."
Russian,Yandex,5c914d02bb61a00001d88ec8,https://yandex.ru/q/question/chem_negativnym_grozit_dlia_rossii_eabbf491/?answer_id=015aa063-9549-4d74-932e-9a30e8bf1b74#015aa063-9549-4d74-932e-9a30e8bf1b74,Какие риски для России создает глобальное потепление?,What risks does global warming pose to Russia?,"Глобальное потепление, начавшееся с конца XX в. – бесспорный факт. Но вот с его истинными причинами пока ещё далеко не всё ясно. Например, какова реальная роль выбросов появляющегося вследствие сжигания ископаемого топлива (уголь, нефть, газ) углекислого газа в этом явлении – вопрос открытый, несмотря на якобы «всемирный консенсус специалистов» (последнее утверждение, что во всём этом виноват только человек – это уже политика, а не наука).
Для России я бы выделил следующие главные негативные последствия, по их убывающему значению на ближайший век:

таяние вечной мерзлоты, приводящее к разрушению практически всего, построенного на ней (здания, нефе- и газопроводы, железные и автомобильные дороги и т.п.)
рост числа и усиление мощи негативных природных явлений – засух, ураганов, проливных дождей и т.д., что приводит к экономическим потерям и угрожает жизни и здоровью людей. Особо выделю рост числа и интенсивности лесных пожаров в тайге.
сдвиг на север ареалов распространения многих южных и даже тропических болезней (что пока ещё находится в самом начале, но может стать серьёзной угрозой при дальнейшем потеплении климата в РФ)
изменение условий произрастания сельскохозяйственных культур, что вызывает как большие потери сельского хозяйства в особо неблагоприятные годы, так и весьма затратную необходимость перепрофилирования сельскохозяйственного производства на многих территориях.
изменения водности рек, чаще всего снижение водности (в степных и полупустынных регионах Российской Федерации) и нарастающий дефицит в таких местностях воды для людей и сельского хозяйства, но в ряде случаев – рост осадков и водности рек, с возрастающей опасностью наводнений и подтоплений ранее никогда не затапливавшихся мест.
Есть и многие другие, не столь экономически опасные проблемы из-за глобального потепления – например, «волны жары» летом в средней полосе России, возникающие в некоторые годы, или же подъём уровня моря, и т.п. Последний процесс измеряется пока сантиметрами и будет, видимо, в середине – конце XXI достигать десятков сантиметров или около метра, однако любой порт рассчитан на способность выдержать шторм с волнами высотой в несколько метров, так что это пока не критично. Кроме того, поскольку многие берега Северного Ледовитого океана сложены вечномёрзлыми грунтами, то таяние вечной мерзлоты приводит к буквальному «таянию» и самой территории России, которая постепенно уменьшается из-за быстрого отступления её растаивающих северных берегов и наступления моря.","Global warming, which began from the end of the XX century. - An indisputable fact. But with his true reasons, not everything is still clear. For example, what is the real role of emissions that appear as a result of the burning of fossil fuel (coal, oil, gas) of carbon dioxide in this phenomenon - the question is open, despite the allegedly “worldwide consensus of specialists” (the last statement that only a person is to blame is already a policy , not science).
For Russia, I would single out the following main negative consequences, by their decreasing significance for the next century:

melting permafrost, leading to the destruction of almost all built on it (buildings, nave and gas pipelines, railways and roads, etc.)
The increase in the number and the reinforcement of the power of negative natural phenomena - drought, hurricanes, spilling rains, etc., which leads to economic losses and threatens people's life and health. I will especially highlight the growth of the number and intensity of forest fires in the taiga.
A shift to the north of the distribution of many southern and even tropical diseases (which is still at the very beginning, but can become a serious threat to climate warming in the Russian Federation)
Changing the conditions for the growth of agricultural crops, which causes both large losses of agriculture in especially unfavorable years and a very costly need for re -profile of agricultural production in many territories.
Changes in the waterwater of the rivers, most often a decrease in water content (in the steppe and semi -desert regions of the Russian Federation) and the growing shortage in such areas of water for people and agriculture, but in some cases - an increase in precipitation and water content of rivers, with an increasing danger of flooding and flooding before, never before flooded places.
There are many other, not so economically dangerous problems due to global warming-for example, “waves of heat” in the summer in central Russia, which occur in some years, or the rise in sea level, etc. The last process is measured so far with centimeters and apparently in the middle - the end of the XXI to reach tens of centimeters or about a meter, but any port is designed for the ability to withstand a storm with waves of several meters high, so this is not yet critical. In addition, since many shores of the Arctic Ocean are composed of eternal frozen soils, the melting of permafrost leads to literally “melting” and the territory of Russia itself, which gradually decreases due to the rapid retreat of its melting northern coasts and the offensive of the sea."
