Language,Source,Collector,Link,Question,Question (English),Top Answer,Top Answer (English)
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/preguntas/5t4kbq4f9e8hdg3v/mi-hija-es-americana-yo-espanola-no-le-quieren-dar-la-nacionalidad-espanola-si-no-renuncia-a-la-americana-antes-puede-ser,"¿Debe mi hija renunciar de su nacionalidad para obtener la española?
Mi hija es americana y yo española. No le quieren dar la nacionalidad española si no renuncia a la americana antes. ¿Puede ser?

¿Existe alguna manera de que le den a mi hija de 5 años la nacionalidad española sin que tenga que renunciar a la americana?
","Should my daughter renounce her nationality to obtain Spanish?
My daughter is American and I am Spanish. They do not want to give her Spanish nationality if she does not renounce the American one first. Can it be her?

Is there any way to give my 5-year-old daughter Spanish nationality without having to give up her American nationality?","Es lo mas normal del mundo si no existe tratado de doble nacionalidad con ese Estado y con los Estados Unidos no lo hay.

Ademas, al ser menor de edad la renuncia la estaría haciendo su representante legal, es decir usted, por razón de esa minoría de edad. Una vez su hija llegue a la mayoría de edad tendría que ratificarse en esa renuncia y en la adquisición de la nacionalidad española (entiendo que por opción). Dispondría de un plazo de dos años desde la mayoría de edad para ratificarse y, de no hacerlo en plazo, podría llegar a perder la nacionalidad española.

Luego estaría el tema de usar la nacionalidad a la que se haya renunciado. De momento, no existen contactos diplomáticos entre los Estados en el sentido de comunicarse las renuncias y adquisiciones de las nacionalidades. Sin embargo, el Código Civil español si prevé la pérdida de la nacionalidad española por usar la nacionalidad a la que se haya expresamente renunciado.
","It is the most normal thing in the world if there is no dual nationality treaty with that State and there is no treaty with the United States.

Furthermore, since you are a minor, the resignation would be made by your legal representative, that is, you, due to that minority. Once your daughter reaches the age of majority, she would have to confirm this renunciation and acquire Spanish nationality (I understand that by option). You would have a period of two years from the age of majority to ratify it and, if you do not do so within the deadline, you could lose your Spanish nationality.

Then there would be the issue of using the nationality that has been renounced. At the moment, there are no diplomatic contacts between the States in the sense of communicating the renunciations and acquisitions of nationalities. However, the Spanish Civil Code does provide for the loss of Spanish nationality for using the nationality that has been expressly renounced."
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/categorias/casa-y-jardin/alquileres/respuestas/setqoasns6bg1/iva-no-cobrado-y-comunidad-bienes,"IVA no cobrado y Comunidad Bienes
Pregunta sobre IVA no cobrado

¿Qué pasa sí el arrendatario deja de pagar el alquiler y toca liquidar IVA con Hacienda? ¿Debo yo adelantar este IVA no cobrado? ¿O aportando a Hacienda los extractos bancario sobre estas devoluciones de alquiler ya son suficientes?

Pregunta sobre Comunidad de Bienes sí realmente es necesario

El local que tenemos esta a nombre de mi hermano y yo. El contrato de alquiler ponemos como arrendadores nuestros nombres como persona física. Luego emitimos factura de alquiler a nombre de los 2, liquidamos el IVA trimestralmente la mitad cada uno y en la renta anual cada uno pone que gano la mitad. ¿Sé qué no es muy correcto pero SE PUEDE?

¿Es imprescindible formalizar una Comunidad de Bienes? Sí es afirmativo, ¿debemos escriturar esta CB por tener una propiedad? ¿Debemos estar dado de alta como autónomos por tener esta CB? ¿Cómo cuando dinero nos supone crear esta CB?
","VAT not collected and Community Goods
Question about uncollected VAT

What happens if the tenant stops paying the rent and has to pay VAT with the Treasury? Should I advance this uncollected VAT? Or are providing bank statements on these rental refunds to the Treasury sufficient?

Question about Community of Property if it is really necessary

The place we have is in the name of my brother and I. In the rental contract we as landlords put our names as a natural person. Then we issue a rental invoice in the names of both of us, we pay the VAT quarterly for half each of us and in the annual income each of us states that we earn half. I know it's not very correct but IT IS POSSIBLE?

Is it essential to formalize a Community of Assets? If yes, should we deed this CB for having a property? Should we be registered as self-employed for having this CB? How when does it cost us money to create this CB?","Respecto al IVA:

Tan pronto como Usted emite el recibo de alquiler se genera la obligación de declararlo (haya cobrado o no). Para no declararlo (o reclamar su devolución) se debe considerar ese saldo deudor como ""incobrable"", y ésto es posible si hay de por medio una sentencia judicial.

Recomendación: emita el recibo en el momento de cobrarlo, o suspenda la emisión de recibos a los clientes morosos.

Respecto a la comunidad de bienes:

Lo que están haciendo es más o menos correcto. Para ser 100% precisos, deberían emitir dos recibos de alquiler independientes (cada propietario el suyo).

Si constituyen una CB la cosa sería más sencilla (un único recibo). Para formalizarla basta con un documento privado que mencione que el cometido de la sociedad es ""la gestión del arrendamiento de la finca x "". De este modo la finca no se ""aporta"" a la sociedad, sino que permanece en manos de los comuneros y no hay que tributar por Transmisiones Patrimoniales.

Los comuneros (al menos uno) debe estar dado de alta como autónomo.

El coste de la formalización depende de su abogado/gestor, pero no debería exceder los 200-300 euros.

Suerte.
","Regarding VAT:

As soon as you issue the rental receipt, the obligation to declare it is generated (whether you have collected it or not). In order not to declare it (or claim its return), that debt balance must be considered ""uncollectible"", and this is possible if there is a court ruling involved.

Recommendation: Issue the receipt at the time of collection, or suspend issuance of receipts to delinquent customers.

Regarding the community of property:

What they are doing is more or less correct. To be 100% accurate, they should issue two separate rent receipts (each owner their own).

If they constitute a CB, things would be simpler (a single receipt). To formalize it, a private document that mentions that the purpose of the company is ""the management of the lease of property x"" is sufficient. In this way, the property is not ""contributed"" to society, but rather remains in the hands of the community members and there is no need to pay taxes on Property Transfers.

The community members (at least one) must be registered as self-employed.

The cost of formalization depends on your lawyer/manager, but should not exceed 200-300 euros.

Luck.
"
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/preguntas/5y7vcnptqhb7wojj/textos-legales-en-una-web,"¿Qué textos legales son obligatorios en una web informativa?
Necesito saber que textos legales son obligatorios en una web informativa de un negocio sin formularios ni gestión de datos de los usuarios.
","What legal texts are mandatory on an informative website?
I need to know which legal texts are mandatory on a business information website without forms or user data management.","La legislación española prevé lo siguiente en relación a la información legal a incluir en las páginas web:

- El prestador debe identificarse de acuerdo a los previsto en el artículo 10 de la LSSI, y esta información suele aparecer en el aviso legal.

- La política de privacidad debe incluirse siempre que se traten datos de carácter personal, y esto sucede cuando se incluye en la página web un formulario de contacto o una mera dirección de correo electrónico para dirigir una consulta.

- La política de cookies debe incluirse siempre que la empresa las utilice en su página web (las más comunes son las de analítica y publicidad). En ese caso el documento deberá incluir información sobre las cookies utilizadas así como su finalidad. Además de este documento, la empresa deberá incluir un aviso para que los usuarios que entran por primera vez en la página web puedan aceptar la instalación de cookies no imprescindibles antes de iniciar la navegación en la web.

Echa un vistazo a esta empresa: www.terminis.com. Ofrecen la redacción de textos legales y otros servicios digitales a precios muy competitivos:

https://www.terminis.com/es/Public/LegalTextsRewriteRequest","Spanish legislation provides the following in relation to the legal information to be included on web pages:

- The provider must identify itself in accordance with the provisions of article 10 of the LSSI, and this information usually appears in the legal notice.

- The privacy policy must be included whenever personal data is processed, and this happens when a contact form or a mere email address is included on the website to direct a query.

- The cookie policy must be included whenever the company uses them on its website (the most common are analytics and advertising). In that case, the document must include information about the cookies used as well as their purpose. In addition to this document, the company must include a notice so that users who enter the website for the first time can accept the installation of non-essential cookies before starting to browse the website.

Check out this company: www.terminis.com . They offer legal text writing and other digital services at very competitive prices:

https://www.terminis.com/es/Public/LegalTextsRewriteRequest"
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/categorias/arte-y-ocio/tauromaquia/respuestas/1733704/tauromaquia,"Tauromaquia...
Desde hace poco la tauromaquia me ha envuelto... Por favor quisiera que me instruyan al menos con lo básico que debo saber para ir a una plaza y poder disfrutar mejor el estar ahí, cosas como de que depende que le entreguen las orejas y rabo al torero, el pañuelo blanco y los de color, y todo lo que me puedan decir; yo he estado buscando información pero siento que el tiempo me gana.","Bullfighting...
Recently, bullfighting has involved me... Please, I would like you to instruct me with at least the basics that I should know to go to a bullring and be able to better enjoy being there, things like what depends on whether they give you the ears and tail. to the bullfighter, the white scarf and the colored ones, and everything they can tell me; I have been looking for information but I feel that time is gaining on me.","Vamos a ver. Cada corrida de toros se divide en tres tercios: el de varas, el segundo o el de banderillas, y el final, el último tercio.
En el primero, el picador debe picar en la zona del hoyo de las agujas del toro, aunque actualmente se pica mal, muy trasero. También está mal que el picador cierre la salida del toro. En este tercio se mide la bravura del toro. Cuantas más veces acuda al caballo y desde más lejos, mejor. El primer encuentro tiene menos valor, pues el toro no sabe lo que le va a pasar en el peto. Pero el segundo encuentro, tiene ya mucha importancia. Si acude galopando, pronto y alegre, es una magnífica señal.
En el segundo tercio, las banderillas, también llamadas rehiletes o avivadores, se pueden clavar de muchas vistosas maneras: al quiebro, cuarteando, al sesgo...
El último tercio es el de muleta y al que, hoy en día, se la da más importancia. Los dos muletazos básicos son los derechazos y naturales. Aunque también hay pases de pecho, ayudados, molinetes, trincherazos...
A la hora de matar, la espada debe caer arriba y penetrar por el hoyo de las agujas. Una buena estocada es condición básica para poder pedir una oreja. Dicho de otro modo, si la estocada cae baja, los argumentos para pedir una oreja se desvanecen.
La primera oreja se concede por petición mayoritaria del público. La segunda es cuestión del criterio presidencial. Lo mismo ocurre con la concesión del rabo; el público lo puede pedir, pero si el presidente lo considera excesivo premio, lo puede negar.
Respecto a los pañuelos:
Blanco: cambios de tercio y concesión de trofeos (uno, una oreja; dos, dos orejas; tres, dos orejas y rabo.
Verde: Devolución del toro al corral.
Azul: Vuelta al ruedo al toro.
Naranja: Indulto del toro.
Espero haberle facilitado un muy básico esquema de una corrida de toros, pero que le servirá para cuando acuda a una plaza de toros.
En cualquier caso, le recomiendo la lectura de libros taurinos que explican de manera mucho más específica el desarrollo de un festejo taurino.","We'll see. Each bullfight is divided into three thirds: the one with varas, the second or the one with banderillas, and the final one, the last third.
In the first, the picador must chop in the area of ​​the hole of the bull's needles, although currently it is chopped poorly, very behind. It is also wrong for the picador to close the bull's exit. In this third the bravery of the bull is measured. The more times you go to the horse and from further away, the better. The first encounter has less value, because the bull does not know what is going to happen to him in the breastplate. But the second meeting is already very important. If he comes galloping, prompt and happy, it is a magnificent sign.
In the second third, the banderillas, also called rehiletes or avivadores, can be nailed in many attractive ways: at the break, quartering, on the slant...
The last third is the muleta and to which, nowadays, it is given more important. The two basic muletazos are the right and natural ones. Although there are also chest passes, assisted passes, whirlwinds, trenches...
When it comes to killing, the sword must fall above and penetrate through the hole of the needles. A good thrust is a basic condition to be able to ask for an ear. In other words, if the thrust falls low, the arguments for asking for an ear fade.
The first ear is granted by majority request of the public. The second is a matter of presidential discretion. The same goes for the granting of the tail; The public can ask for it, but if the president considers it an excessive reward, he can deny it.
Regarding the handkerchiefs:
White: changes of third and award of trophies (one, one ear; two, two ears; three, two ears and tail. Green:
Return of the bull to the corral.
Blue: Return to the bull ring.
Orange: Pardon of the bull.
I hope I have provided you with a very basic outline of a bullfight, but that it will be useful for when you go to a bullring.
In any case, I recommend reading bullfighting books that explain the development in a much more specific way. of a bullfighting celebration."
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/preguntas/5ws5p4xbryuoalks/que-pintura-utilizar-sobre-gotele,"¿Qué pintura puedo utilizar sobre gotelé?
Tengo la casa pintada con gotelé, ¿qué pintura es mejor aplicar para pintarla? ¿Monocapa o pintura mate? No soy pintor pero un sí un poco manitas...","What paint can I use on gotelé?
I have the house painted with gotelé, what paint is best to apply to paint it? Monocoat or matte paint? I'm not a painter but I am a bit of a handyman...","Pintar sobre gotelé se puede pintar con cualquier pintura, lo que hay que tener en cuenta es no aplicar la pintura muy espesa para no quitar relieve al gotelé. Los monocapas suelen comercializarse al uso, es decir, para no diluir o diluir poco. Una pintura plástica de buena calidad diluida según la indicación del fabricante para la primera y segunda mano es lo ideal.
","Painting on gotelé can be painted with any paint, what you have to keep in mind is not to apply the paint too thick so as not to remove the relief of the gotelé. Monolayers are usually marketed for use, that is, to not dilute or dilute little. A good quality plastic paint diluted according to the manufacturer's instructions for the first and second coat is ideal."
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/categorias/ciencias-e-ingenieria/ingenieria-electrica/respuestas/ganx4qihyq9on/que-estudios-minimos-necesito-para-obtener-el-carnet-de-instalador-electricista,"Que estudios mínimos necesito para obtener el carnet de instalador electricista
Solo tengo el graduado escolar y quisiera saber los pasos a seguir para sacarme dicho carnet, y a la vez si existe algún curso o medio subencionado para ello..","What minimum studies do I need to obtain the electrician installer license?
I only have a high school diploma and I would like to know the steps to follow to obtain said card, and at the same time if there is any subsidized course or means for it.","Los estudios mínimos para sacarte el carne de instalador electricista es el grado medio de electricidad (creo que es el especifico de electricidad, no vale uno de la rama como electrónica o mantenimiento) ademas de un curso de 100 horas o de 40 horas, este ultimo solo si llevas un año trabajando en una empresa instaladora, este curso lo tiene que impartir una entidad formadora autorizada por industria
Una vez que etengas el grado medio (o fp1) terminado y aprobado el curso realizado tienes que presentarte a dos exámenes en industria uno teórico (sobre el Reglamento Electrotecnido de Baja Tensión ) y otro practico (problemas y ejercicios)","The minimum studies to qualify as an electrician installer is the average degree in electricity (I think it is specific to electricity, one in the branch such as electronics or maintenance is not worth it) in addition to a 100-hour or 40-hour course, the latter Only if you have been working in an installation company for a year, this course must be taught by a training entity authorized by industry.
Once you have completed the intermediate degree (or fp1) and approved the course taken, you must take two industry exams, one theoretical. (on the Low Voltage Electrotechnical Regulation) and other practical (problems and exercises)"
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/categorias/ciencias-e-ingenieria/ingenieria-electrica/respuestas/1427591/conexion-220-110,"Conexion 220/110
Tengo una maquina trifásica que traje desde usa, el problema que el tablero me indica 220v y trae 3 lineas a conectar.
¿El voltaje en usa puede ser 220 trifásica?
¿Cómo es la configuración de 220v por 3? ¿Cuál es la diferencia con 380?","220/110 connection
I have a three-phase machine that I brought from the USA, the problem is that the board indicates 220v and has 3 lines to connect.
Can the voltage in use be 220 three-phase?
What is the 220v for 3 setup like? What is the difference with 380?","Las redes trifásicas, tal como indica su nombre, están compuestas por 3 fases + 1 neutro (a veces no hay neutro).
En EE. UU. El voltaje entre las fases es 220V, mientras que entre cada fases y el neutro es 115V (220/raiz cuadrada de 3)
El voltaje fase neutro es el que hay en las viviendas, mientras que en la industria se utiliza las 3 fases y el neutro de modo que tenemos l0os dos voltajes según si cogemos las fases entre si, o las fases con el neutro.
Las tres líneas del motor a conectar son las 3 fases de la red trifásica.
Sin embargo, en Chile (lo mismo que en Europa), en vez de 220 V y 115 V, tenemos 380V entre fases y 220 V entre fase y neutro.
En EE.UU han escogido tener voltajes más bajos por seguridad, pero eso hace que tengan que emplear más cobre en los conductores porque las máquinas para la misma potencia consumen más corriente P=VxI.
En europa y en otros muchos lugares del mundo, como el cobre es muy caro, hemos optado por tener una tensión mayor que hace que la corriente sea menor y necesitemos menos cobre.
Si conectas una máquina preparada para 220 V trifásicos a una red de 380V se quemará, no aguantará tanto voltaje.
Si quieres usar la máquina en una red de 380 V, tienes que conectarla a través de un transformador que reduzca los 380 V a 220 V.
Con las máquinas de EE. UU hay otro problema: la frecuencia de funcionamiento.
Allí la red es de 60 Hz, mientras que en muchos otros lugares del mundo es 50 Hz. Eso hace que los motores giren a distinta velocidad y las máquinas y la electrónica no funcionen bien.
Los equipos para convertir frecuencia de 50 a 60 Hz son caros y difíciles de encontrar y no suelen funcionar muy bien.
Si te ha quedado alguna duda sigue preguntando.","Three-phase networks, as their name indicates, are made up of 3 phases + 1 neutral (sometimes there is no neutral).
In the USA, the voltage between the phases is 220V, while between each phase and the neutral it is 115V (220/square root of 3).
The neutral phase voltage is the one found in homes, while in industry it is used the 3 phases and the neutral so that we have the two voltages depending on whether we take the phases together, or the phases with the neutral.
The three motor lines to be connected are the 3 phases of the three-phase network.
However, in Chile (the same as in Europe), instead of 220 V and 115 V, we have 380V between phases and 220 V between phase and neutral.
In the US they have chosen to have lower voltages for safety, but that means they have to use more copper in the conductors because machines for the same power consume more current P=VxI.
In Europe and in many other places in the world, since copper is very expensive, we have chosen to have a higher voltage which makes the current lower and we need less copper.
If you connect a machine prepared for 220 V three-phase to a 380V network it will burn out, it will not withstand that much voltage.
If you want to use the machine on a 380 V network, you have to connect it through a transformer that reduces the 380 V to 220 V.
With US machines there is another problem: the operating frequency.
There the network is 60 Hz, while in many other places in the world it is 50 Hz. This causes the motors to rotate at different speeds and the machines and electronics do not work well.
Equipment to convert frequency from 50 to 60 Hz is expensive and difficult to find and usually does not work very well.
If you have any questions, keep asking."
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/categorias/deportes/vela/respuestas/506954/orientacion-del-viento-garbi,"Orientación del viento garbi
Quisiera saber la orientación exacta del viento Garbi. Si tiene diferentes orientaciones según la zona donde nos encontramos. En Valencia lo conocemos con orientación sureste, pero he leído que Garb significa oeste en árabe y, según parece esta es su procedencia lingüística.","garbi wind orientation
I would like to know the exact direction of the Garbi wind. Yes, it has different orientations depending on the area where we are. In Valencia we know it as facing southeast, but I have read that Garb means west in Arabic and, apparently, this is its linguistic origin.","El viento Garbí en España o Garbino en Italia es un viento del Sur-oeste / Sur-Suroeste (SW / SSW)y no Sureste como comentas.
Podrás ver en este gráfico los nombres de los vientos en la rosa de los mismos.
http://www.infonavis.com/imagenes/rosa.jpg
Con respecto a la procedencia del nombre, te adjunto comentario del Sr. Cervera:
El hálito de los dioses:
Hoy en día, los vientos han perdido parte de su misterio al ser clasificados simplemente de térmicos o de gradiente, y un señor francés, un tal Beaufort, llegó a encasillarlos en una escala que mide su fuerza. Pero aún perduran las denominaciones clásicas y Greco y Siroco siguen vivos en el lenguaje marinero. A pesar de las bajas y las altas presiones, a pesar del fetch y tantos otros términos técnicos, los vientos siguen teniendo un gran tanto por ciento de poesía, algo del hálito de los dioses. Hoy en día las denominaciones tales como Meltemi, Simoun, Cierzo, Tramontana y tantas otras siguen vigentes y obedecen a topografías locales que se engarzan en los vientos generales, y otras veces sustituyen o los suplantan. Una denominación particular de un viento dominante de la costa catalana que nos recuerda nuestro pasado árabe merece nuestra atención; se trata del Garbí, soplando del 235º . Dicho suroeste conserva todavía la denominación de ""oeste"" en lengua árabe actual: Garb=Oeste. Viento que equivale al Embat de la Bahía de Palma de Mallorca. Otros lugares bautizan a sus vientos con nombres tan sugerentes como Virazón, Terral, Lemosino, etc., poniendo de manifiesto que todavía en los albores del tercer milenio los vientos son algo más que la escueta definición del diccionario: ""aire en movimiento"". (R. Cervera)
Por favor no te olvides de puntuar la contestación. ;-)","The Garbí wind in Spain or Garbino in Italy is a South-West / South-Southwest (SW / SSW) wind and not Southeast as you mention.
You will be able to see in this graph the names of the winds on their rose.
http://www.infonavis.com/imagenes/rosa.jpg
Regarding the origin of the name, I attach a comment from Mr. Cervera:
The breath of the gods:
Nowadays, the winds have lost part of their mystery by be classified simply as thermal or gradient, and a French gentleman, a certain Beaufort, came to classify them on a scale that measures their strength. But the classic names still persist and Greco and Siroco are still alive in the marine language. Despite the low and high pressures, despite the fetch and so many other technical terms, the winds still have a great deal of poetry, something of the breath of the gods. Today, names such as Meltemi, Simoun, Cierzo, Tramontana and many others are still valid and obey local topographies that are embedded in the general winds, and other times replace or supplant them. A particular name for a dominant wind on the Catalan coast that reminds us of our Arab past deserves our attention; It is the Garbí, blowing at 235º. This southwest still retains the name ""west"" in the current Arabic language: Garb=West. Wind that is equivalent to the Embat of the Bay of Palma de Mallorca. Other places baptize their winds with names as suggestive as Virazón, Terral, Limosino, etc., showing that even at the dawn of the third millennium the winds are something more than the brief dictionary definition: ""air in motion."" (R. Cervera)
Please don't forget to rate the answer. ;-)"
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/preguntas/do9pqq6d469eikih/los-gases-de-la-industria-vinicola-son-peligrosos,"¿Los gases de la industria vinícola son peligrosos?
Quería preguntar si los gases de las vinícolas dónde fermentan el vino después de la vendimia son peligrosos porque vivo en un pueblo que tiene una muy grande y los olores este años son terroríficos, son olores muy fuertes que se meten en casa y eso que no estoy muy cerca pero es horrible tienes que cerrar la ventana y he leído que es dióxido de azufre entre otros. El alcalde obviamente no va a decir nada porque no le interesa pero creo que es tóxico. Disculpen mi ignorancia.
","Are gases from the wine industry dangerous?
I wanted to ask if the gases from the wineries where they ferment the wine after the harvest are dangerous because I live in a town that has a very large one and the smells this year are terrifying, they are very strong smells that get into the house and I am not very close but it is horrible you have to close the window and I have read that it is sulfur dioxide among others. The mayor is obviously not going to say anything because he is not interested but I think it is toxic. Excuse my ignorance.","Los gases de fermentación del vino básicamente son, dióxido de carbono, monóxido de carbono, alcohol etílico, sulfuro de hidrógeno y dióxido de azufre.

Hablemos de los 2 primeros, el monóxido y dióxido de carbono han causado infinidad de muertes, pero siempre en lugares cerrados donde han desplazado el oxigeno, es decir, no son mortales de por si, siempre que haya oxigeno, lo que los hace letales es la falta de oxigeno. Por tanto en tu casa no podría causar ningún daño dado que entrarían MUY diluidos con el ambiente y por tanto son inocuos.

Los gases de alcohol etílico seria algo parecido, si estas al lado del tanque de fermentación sin ventilación quizás pudieras respirar tanto alcohol que acabarías borracho al absorber el etanol a través de los pulmones a la sangre, pero tampoco en tu casa eso puede pasarte.

El dióxido de azufre y el sulfuro de hidrógeno son dos gases que son muy molestos en dosis tan bajas que enseguida lo notas, pero para inhalar una dosis toxica tendrías que estar casi casi dentro del tanque de fermentación.

Ten en cuenta que con 0,0005 partes por millón ya se empieza a notar el olor nauseabundo y la exposición prolongada de dosis de 2 a 5 partes por millón (unas 10.000 veces más que cuando empiezas a detectarlo) te provocaría vómitos y dolor de cabeza y que te lloren los ojos. Nada que te pueda matar.

El dióxido de azufre que puedes respirar en un pueblo cerca de una industria vinícola puede ser de entre 10 y 100 veces inferior que la persona que vive en Madrid o Barcelona. Y si, los ayuntamentos de estas ciudades toman medidas para evitar que entren coches en las ciudades, pero nunca van a llegar a conseguir que un urbanita respire la misma cantidad de dióxido de azufre que la que puedas respirar tu.

Eso no quiere decir que no este de acuerdo contigo en que habría que hacer algo para que esos gases de fermentación no salgan libremente al ambiente y se debería pasar por un scrubber (es un lavador de gases) para evitar el ""pestazo"" que emiten, pero al no ser peligrosos para la población (aunque si muy molestos) es difícil que la normativa les obligue a hacer algo para evitar enviarlos a la atmósfera. Ten en cuenta que poner medios para evitar su expulsión directa implicaría encarecer el proceso de fermentación y con el el precio del vino.
","Wine fermentation gases are basically carbon dioxide, carbon monoxide, ethyl alcohol, hydrogen sulfide and sulfur dioxide.

Let's talk about the first 2, carbon monoxide and carbon dioxide have caused countless deaths, but always in closed places where they have displaced oxygen, that is, they are not fatal in themselves, as long as there is oxygen, what makes them lethal is the lack of oxygen. Therefore, it could not cause any harm in your home since they would enter VERY diluted with the environment and therefore are harmless.

Ethyl alcohol gases would be something similar, if you are next to the fermentation tank without ventilation, perhaps you could breathe so much alcohol that you would end up drunk by absorbing the ethanol through the lungs into the blood, but that can't happen to you at home either.

Sulfur dioxide and hydrogen sulfide are two gases that are very annoying in doses so low that you immediately notice it, but to inhale a toxic dose you would have to be almost inside the fermentation tank.

Keep in mind that with 0.0005 parts per million you already begin to notice the nauseating odor and prolonged exposure to doses of 2 to 5 parts per million (about 10,000 times more than when you start to detect it) would cause vomiting and a headache. and make your eyes cry. Nothing that can kill you.

The sulfur dioxide that you can breathe in a town near a wine industry can be between 10 and 100 times lower than that of a person who lives in Madrid or Barcelona. And yes, the municipalities of these cities take measures to prevent cars from entering the cities, but they will never be able to get an urbanite to breathe the same amount of sulfur dioxide as you can breathe.

That does not mean that I do not agree with you that something should be done to prevent these fermentation gases from freely escaping into the environment and that they should be passed through a scrubber (it is a gas scrubber) to avoid the ""stink"" they emit, But since they are not dangerous to the population (although they are very annoying) it is difficult for regulations to force them to do something to avoid sending them into the atmosphere. Keep in mind that putting measures in place to prevent its direct expulsion would mean making the fermentation process more expensive and, therefore, the price of the wine.
"
Spanish,Todoexpertos,Author,https://www.todoexpertos.com/preguntas/99ol665ti7qerxqr/puedo-viajar-a-otro-pais-de-la-union-europea-que-no-es-del-espacio-schengen-con-un-nie-caducado,"¿Puedo viajar a otro país de la Unión Europea que no es del espacio Schengen con un NIE caducado?
Hago esta pregunta porque dentro de unos 9 días, o sea el 28 de Noviembre, tengo planeado realizar un viaje a Bulgaria, mi NIE de estudiante caducó el 30 de Septiembre 2018, y el día 24 de Octubre 2018 realicé el tramite para solicitar la renovación, aún no ha llegado a mi domicilio alguna carta que acredite que me han otorgado la renovación, sigo en espera, la última vez que entré a España desde un vuelo procedente desde México fue el día 3 de Septiembre del 2018.

Cuando haga el viaje a Bulgaria planeo hacer escala en Italia (Ida y Vuelta) para transbordar, planeo regresar a España el día 3 de Diciembre. Quiero saber de alguien que sepa sobre el tema, que es lo que puedo hacer en estos días que tengo antes del viaje, si hay algún inconveniente, o si puedo volver a España haciendo escala en Italia, o si todavía me quedan días como turista al usar mi pasaporte para poder realizar ese viaje.
","Can I travel to another country in the European Union that is not in the Schengen area with an expired NIE?
I ask this question because in about 9 days, that is, November 28, I plan to take a trip to Bulgaria, my student NIE expired on September 30, 2018, and on October 24, 2018 I completed the process to request renewal , a letter has not yet arrived at my address proving that I have been granted the renewal, I am still waiting, the last time I entered Spain from a flight from Mexico was on September 3, 2018 .

When I make the trip to Bulgaria I plan to stop in Italy (round trip) to transfer, I plan to return to Spain on December 3rd. I want to know from someone who knows about the subject, what I can do in these days that I have before the trip, if there is any inconvenience, or if I can return to Spain with a stopover in Italy, or if I still have days left as a tourist at the moment . use my passport to be able to make that trip.","En atención a su consulta, le informamos que usted al ser mexicano puede permanecer en la Unión Europea durante un período de 90 días en condición de turista, no obstante, al haber solicitado la renovación de su autorización de estancia como estudiante, le recomendamos solicitar una carta de autorización de regreso, que es el documento que le permitirá volver a entrar a España en caso que le requieran el documento en algún puesto fronterizo.

Si desea mas información al respecto nos puede escribir en el siguiente enlace: https://www.molinaresabogados.com/consulta-web-gratuita

Cordial saludo

Molinares Abogados
","In response to your query, we inform you that, as a Mexican, you can remain in the European Union for a period of 90 days as a tourist. However, having requested the renewal of your authorization to stay as a student, we recommend that you request a return authorization letter, which is the document that will allow you to re-enter Spain in case the document is required at a border post.

If you want more information about this, you can write to us at the following link: https://www.molinaresabogados.com/consulta-web-gratuita

Best regard

Molinares Lawyers"
