annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
115,Tswana,Bogadi ke eng mme bo ntshiwa jang?,What is bogadi and how is it paid?,tn-01,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Patlo ya mosadi e dirwa jang?,How is a woman's hand in marriage asked for?,tn-02,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,"Letsema ke eng, le bolodiwa ke mang mme le dirwa fa go rileng?","What is ""letsema,""  (lit. ""volutarily working together"") who declares it and when is it done?",tn-03,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Mabele a lemiwa jang le ko kae a le mantsi mo Botswana mme a bewa mo go eng fa a sena go robiwa?,How and where is sorghum planted in large quantities in Botswana and how is it stored?,tn-04,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Mmino wa sekalaka wa dihosana ke eng mme go aparwa jang?,"What is the Kalanga dance ""Dihosana"" and why is it performed?",tn-05,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Mosadi yo o sa nyalwang ga a letlelelwe go tsena merero ya manyalo a setswana. Ke eng fa go ntse jalo?,The unmarried woman is not allowed to take part in traditonal tswana marital rites. Why is that so?,tn-06,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Pharologanyo fa gare ga setlankana/lease le setlankana se sesha sa Secure Land Title se se fiwang ke Lekgotla la Kabo Ditsha ke eng?,What is the difference between a tribal land certificate/lease and the new Secure land Title which is issued by the Land Board?,tn-07,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,"Molao wa Botswana wareng fa go tla mo go rueleng dipodi, dikgomo, ditonki le dinku mo motseng setoropo? Mabaka a molao ke eng?","What is the law regarding keeping herds of domestic animals like cows, donkeys, goats and sheep in township areas? What are the reasons behind that law?",tn-08,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Dibini tsa borankana di rwala eng mo maotong mme se dirwa ka eng?,What do traditional dancers wear on their legs and how is it made?,tn-09,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,"Go tewa jang fa gotwe ""monna ke selepe, o a adimanwa?""","What is the meaning behind the saying ""a man is an axe, he is shared?""",tn-10,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Thopi e jewa ke morafe ofe mme o ka re ba e apaya jang?,Which tribe eats sorghum cooked in pumpkin juice and how do they cook it?,tn-11,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,"Ka 2022 o ne o tlhoka eng gore o tlolele molelwane kafa Namibia mme seo se ile sa fetoga leng, ka mabaka afe?","What did you need to cross the border into Namibia in 2022, and when and why did that change?",tn-12,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Roy Sesana ke mang mme ke eng fa a ne a sekisa goromente?,Who was Roy sesana and why did he take the government to court?,tn-13,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,"Mokoto ke eng, o apewa jang le gone o apewa ke bomang e bile gantsi o apeelwa ko kae?","What is mokoto, how is it prepared, who prepares it and where is it usually prepared?",tn-14,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
115,Tswana,Lekgotla la kabo ditsha la re tsamaiso ya lone ya go fetisetsa setsha ko go yo mongwe/ba bangwe ke eng?,What is the Land Board's procedure for transferring land between two or more parties?,tn-15,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng kgomo e e tlhabiwang mo lenyalong goora mosadi e tshwanetse go nna namagadi?,Why is a cow which is slaughtered during wedding celebrations at the bride's place supposed to be a female?,tn-26,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke ka go reng fa ngwana a tlhokafetse mo lapeng batsadi ba gagwe le bo monnawe ba bo ba beolwa?,Why are parents and their younger children shaved after the death of their elderly child?,tn-27,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng mosadi yo o tlhokafaletsweng ke monna a tshwanelwa ke go patsama kana go ribama mo ntlung go fitlhelela go bolokwa?,Why is the wife of the deceased supposed to be confined indoors while lying down until the burial is conducted?,tn-28,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng batsadi ba  ngwana yo o  nyalwang ba sa letlelelwe go tsenelela moletlo wa kgoroso ya ngwana wa bone?,Why are the parents of the bride not allowed to attend the wedding celebrations for their daughter at the groom's place?,tn-29,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng go bewa lepakwana fa pele ga ntlu ya motsetsi yo o sa tswang go belega?,"What is the significance of the log, that is put at the door step of a recently delivered mother?",tn-30,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,ke eng fa malome  a tshwanelwa ke go fiwa kgomo fa kgaitsadie a nyalwa?,What is the significance of giving the uncle a cow from a bride price when his sister is getting married?,tn-31,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Serobe  se apewa jang?,How do you prepare Serobe dish?,tn-32,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng mosadi yo o sa nyalwang a sa tshwanelwa ke go neelwa magadi fa ngwana wa gagwe a nyalwa?,"Why a woman who is not married,is not given bride price when her daughter get married?",tn-33,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,"Ke mabaka afe  a puso ya Mmamosadinyana e ne e a neela gore e ka se neele lefatshe la Botswana tshireletso mo maburung a ko Aforika borwa, morago  ga go re dikgosi di kope tshireletso?",What were the reasons given by British government for not giving Botswana protection from South Africa after several requests were made?,tn-34,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng morago ga go bolaya kgomo mo lenyalong malome a neelwa tlhogo?,Whyu is the uncle given the head of a slaaughtered cow after his nieces wedding?,tn-35,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke ka go reng dikgomo tsa magadi di tshwanetse go nna namagadi gape palo ya tsone e sa tlhotse?,Why are the cows paid as bride price supposed to be even(not odd) in number and females?,tn-36,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng ngwana a sa tshwanelwa ke go tlhabelwa ke letsatsi a sa ntse a robetse?,What is the reason for not allowing children especially the boy child not to wake up after the sun set?,tn-37,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng mosadi o tlhokafaletsweng ke monna  a sa tshwanelwa ke go tsena mo lesakeng la dikgomo kgotsa dipudi pele ga a gatisiwa motshotelo kana boloko?,Why is the wife of a deceased husband not allowed to access a kraal of any livestock before she steps on cow dung?,tn-38,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng mosadi a tshwanela ke go huralela lebitla fa a latlhela mmu wa bofelo fa go bolokwa monna wa gagwe?,Why a woman of a deceased husband is supposed to pay her last respect by sprinkling the soil while staring at the opposite side of the grave?,tn-39,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,"Ke ka go reng ere fa ngwetsi  a goroswa goora monna,masika a monna a letsa megolokwane,ba dira o kare ba apaya le go feela le gone go ala diphate gore ngwetsi a tsamaye fa godimo ga tsone go fitlhelela a nna fatshe?","Why during the arrival of the bride at the groom's place,do the groom's relatives have to ululate,imitate doing chores like cooking and sweeping,and finally lay a mat on the ground for the bride to walk on until settling down?",tn-40,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Lefatshe la Botswana le ne le reng mabapi le kgotlhang gare ga Botswana le Namibia ka kgang ya Sedudu le gore ene ya rarabololwa jang?,"What reasons did Botswana provide to support its claim to Sedudu Island during the conflict with Namibia, and how was the dispute resolved?",tn-41,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Teemane ya Botswana e fetotse itsholelo ya Botswana ka tsela e fe?,How did the diamond industry in Botswana contribute to the economy of the country?,tn-42,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
999,Tswana,Ke eng se se bakileng gore palo ya Batswana mo Botswana e nne palo e ko tlase mme morafe wa Botswana o le montsi ko Aforika Borwa?,What led to a smaller population of Batswana in our country than the native Tswana speakers found in South Africa?,tn-43,tn,TRUE,FALSE,TRUE,1295,84,Niger-Kongo,Atlantic–Congo,agglutinative,Latin,SVO,"Botswana, South Africa, Zimbabwe",13.9M,TRUE
