annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
811,Wolof,Naka la ñuy defè lël?,How is 'lël' done?,wo-01,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Lan moy còssan Serer yi?,What is the origins of 'Serer'?,wo-02,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Lan mo wuttële Tukuleur yi ak Peulh yi?,What is the difference between 'Tukuleur' and 'Peulh'?,wo-03,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Lan moy còssan kankourang?,What is the origin of 'kankourang'?,wo-04,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Naka la ñuy féccé mbalax?,How to dance 'mbalax'?,wo-05,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Naka lañuy toggé Cébbu Jën?,How to cook 'Cébbu Jën'?,wo-06,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Lan moy còssan Mbalax?,What is the origin of 'Mbalax'?,wo-07,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Lutax xalé buy jooy guddi ñu naan dara la?,"When a baby cries a lot at night, why do people say that it's supernatural?",wo-08,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Lan motax ndaw yi di jël gaal gi ngir dem bitim rew?,Why do young people take canoes to go abroad?,wo-09,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
811,Wolof,Naka lañuy défé Jambadon?,How do we do 'Jambadon'?,wo-10,wo,TRUE,FALSE,TRUE,1690,532,Niger-Kongo,Atlantic–Congo,agglutinative,Latin primarily,SVO,Senegal,12.3M,TRUE
